"Status","Year","Ethnicity","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Male","Unknown","[c]","[c]","[c]","[c]"
