"Status","Year","Disability","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Dorset and Somerset","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Anglia","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Anglia","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
