"Status","Year","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","90","90","29200","29080"
"In post","2023","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","340","335","47990","43090"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","80","75","38690","33020"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","140","140","30690","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","45","45","31120","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Outside London","60","55","42180","37940"
"In post","2023","Asian","Crown Prosecution Service","London","385","360","41490","33130"
"In post","2023","Asian","Crown Prosecution Service","Outside London","455","425","38700","35000"
"In post","2023","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","London","45","40","27830","24900"
"In post","2023","Asian","Defence Equipment and Support","Outside London","295","280","37760","34300"
"In post","2023","Asian","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Outside London","90","85","39990","39890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","530","525","47640","41540"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","115","115","38730","37470"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","110","110","48640","52900"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","London","250","245","45800","42030"
"In post","2023","Asian","Department for Education (excl. agencies)","Outside London","450","445","39770","37590"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","205","200","42260","40260"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","130","130","38910","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","270","265","46040","41550"
"In post","2023","Asian","Department for International Trade","Outside London","30","25","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","200","195","46960","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","95","90","37720","37060"
"In post","2023","Asian","Department for Transport (excl. agencies)","London","310","305","48070","43750"
"In post","2023","Asian","Department for Transport (excl. agencies)","Outside London","45","45","41260","39430"
"In post","2023","Asian","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","London","2335","2100","33190","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Outside London","5445","4905","27560","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","30","30","28700","28120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","London","195","190","46280","41950"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Outside London","75","70","41850","38120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Outside London","135","120","26470","22500"
"In post","2023","Asian","Driver and Vehicle Standards Agency","London","35","35","31590","31260"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Outside London","120","115","29580","27450"
"In post","2023","Asian","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","London","25","25","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Outside London","75","75","41060","37590"
"In post","2023","Asian","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","London","10","10","[c]","[c]"
"In post","2023","Asian","FCDO Services","Outside London","40","40","37820","32750"
"In post","2023","Asian","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","London","35","35","43340","34830"
