"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","HEO","Male","[c]","[c]","[c]","[c]"
