"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Female","35","30","49680","44880"
"In post","2023","Analysis","Digital, Data and Technology","London","Male","60","60","48550","43650"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Female","480","465","50270","53500"
"In post","2023","Analysis","Economics","London","Male","870","865","51480","54130"
"In post","2023","Analysis","Economics","North East (England)","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","Male","30","30","39650","31560"
"In post","2023","Analysis","Economics","North West (England)","Female","30","30","38490","35000"
"In post","2023","Analysis","Economics","North West (England)","Male","75","70","39780","34700"
"In post","2023","Analysis","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Female","55","50","37270","31560"
"In post","2023","Analysis","Economics","Wales","Male","65","60","38240","31560"
"In post","2023","Analysis","Economics","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","Male","40","40","45650","42480"
"In post","2023","Analysis","Finance","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Female","10","10","[c]","[c]"
