"Status","Year","Age","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Female","Heterosexual / straight","335","325","23560","22520"
"In post","2023","16-19","Female","LGBO","55","55","23460","22520"
"In post","2023","16-19","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","16-19","Female","Unknown","290","275","23370","22520"
"In post","2023","16-19","Male","Heterosexual / straight","375","370","23360","22520"
"In post","2023","16-19","Male","LGBO","30","30","[c]","[c]"
"In post","2023","16-19","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Male","Unknown","320","310","22670","22490"
"In post","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Female","Heterosexual / straight","28505","27935","31430","29100"
"In post","2023","20-29","Female","LGBO","4150","4090","31140","28880"
"In post","2023","20-29","Female","Undeclared","2335","2295","32730","30810"
"In post","2023","20-29","Female","Unknown","12715","12435","29900","28120"
"In post","2023","20-29","Male","Heterosexual / straight","21415","21290","31790","29890"
"In post","2023","20-29","Male","LGBO","2815","2800","33170","30450"
"In post","2023","20-29","Male","Undeclared","1800","1785","33320","31560"
"In post","2023","20-29","Male","Unknown","11395","11310","30380","28130"
"In post","2023","20-29","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Female","Heterosexual / straight","42825","39535","36690","32810"
"In post","2023","30-39","Female","LGBO","3880","3760","36370","33480"
"In post","2023","30-39","Female","Undeclared","3405","3180","37920","34220"
"In post","2023","30-39","Female","Unknown","12320","11320","34420","29750"
"In post","2023","30-39","Male","Heterosexual / straight","34545","34245","37850","34290"
"In post","2023","30-39","Male","LGBO","3570","3540","38870","34700"
"In post","2023","30-39","Male","Undeclared","3585","3540","38870","35000"
"In post","2023","30-39","Male","Unknown","12200","12060","35930","32450"
"In post","2023","30-39","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Female","Heterosexual / straight","47570","43230","38370","33830"
"In post","2023","40-49","Female","LGBO","2170","2070","39180","34170"
"In post","2023","40-49","Female","Undeclared","4755","4295","37340","32520"
"In post","2023","40-49","Female","Unknown","11815","10480","35610","29100"
"In post","2023","40-49","Male","Heterosexual / straight","35405","34985","40970","35710"
"In post","2023","40-49","Male","LGBO","2340","2305","42570","35710"
"In post","2023","40-49","Male","Undeclared","4580","4505","39810","35000"
"In post","2023","40-49","Male","Unknown","9735","9570","38700","34170"
"In post","2023","40-49","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Female","Heterosexual / straight","55360","50900","35680","30250"
"In post","2023","50-59","Female","LGBO","1555","1470","37420","32260"
"In post","2023","50-59","Female","Undeclared","7515","6820","34400","29050"
"In post","2023","50-59","Female","Unknown","12685","11300","33430","28120"
"In post","2023","50-59","Male","Heterosexual / straight","43655","42675","40140","34880"
"In post","2023","50-59","Male","LGBO","2150","2085","39690","34170"
"In post","2023","50-59","Male","Undeclared","6995","6785","38840","34370"
"In post","2023","50-59","Male","Unknown","11690","11275","38240","33150"
"In post","2023","50-59","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Female","Heterosexual / straight","16075","12975","31460","28120"
"In post","2023","60-64","Female","LGBO","330","270","33150","28120"
"In post","2023","60-64","Female","Undeclared","2565","2030","31040","28120"
"In post","2023","60-64","Female","Unknown","3815","2985","30210","27650"
"In post","2023","60-64","Male","Heterosexual / straight","13735","11960","36680","32520"
"In post","2023","60-64","Male","LGBO","510","445","36730","31280"
"In post","2023","60-64","Male","Undeclared","2245","1885","36220","32490"
"In post","2023","60-64","Male","Unknown","3720","3140","35910","31940"
"In post","2023","60-64","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Female","Heterosexual / straight","4480","3360","29260","26760"
"In post","2023","65+","Female","LGBO","85","65","33590","28120"
"In post","2023","65+","Female","Undeclared","830","595","29700","27190"
"In post","2023","65+","Female","Unknown","1240","895","29940","26630"
"In post","2023","65+","Male","Heterosexual / straight","4885","3930","35040","29720"
"In post","2023","65+","Male","LGBO","135","110","31930","28120"
"In post","2023","65+","Male","Undeclared","825","650","36040","30410"
"In post","2023","65+","Male","Unknown","1385","1050","34750","29430"
"In post","2023","65+","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Female","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Female","Unknown","55","[c]","22060","21780"
"Leaver CS","2023","16-19","Male","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Male","Unknown","60","[c]","20300","20510"
"Leaver CS","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Female","Heterosexual / straight","3220","[c]","28690","27570"
"Leaver CS","2023","20-29","Female","LGBO","600","[c]","28380","27570"
"Leaver CS","2023","20-29","Female","Undeclared","325","[c]","29070","26900"
"Leaver CS","2023","20-29","Female","Unknown","2140","[c]","27430","25480"
"Leaver CS","2023","20-29","Male","Heterosexual / straight","2450","[c]","29160","27570"
"Leaver CS","2023","20-29","Male","LGBO","355","[c]","31160","28120"
"Leaver CS","2023","20-29","Male","Undeclared","270","[c]","30030","28020"
