"Status","Year","Disability","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","London","Heterosexual / straight","350","325","49900","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","LGBO","55","55","49040","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","Undeclared","40","35","52470","54170"
"In post","2023","Declared disabled","Attorney General's Departments","London","Unknown","30","30","48620","54700"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Heterosexual / straight","570","525","40340","34350"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","LGBO","60","55","40050","31430"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Undeclared","35","30","42650","38940"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Unknown","70","60","42670","36780"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","Heterosexual / straight","400","390","50930","43090"
"In post","2023","Declared disabled","Cabinet Office","London","LGBO","100","100","47600","41870"
"In post","2023","Declared disabled","Cabinet Office","London","Undeclared","60","60","50780","55900"
"In post","2023","Declared disabled","Cabinet Office","London","Unknown","175","175","35630","30130"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Heterosexual / straight","425","410","43210","38420"
"In post","2023","Declared disabled","Cabinet Office","Outside London","LGBO","65","65","43710","38460"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Undeclared","40","40","41830","38460"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Unknown","110","110","39640","30130"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
