"Status","Year","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Female","Heterosexual / straight","16275","14945","34910","31270"
"In post","2023","Asian","Female","LGBO","340","310","34160","30480"
"In post","2023","Asian","Female","Undeclared","1160","1025","32840","29590"
"In post","2023","Asian","Female","Unknown","1840","1580","33140","28490"
"In post","2023","Asian","Male","Heterosexual / straight","13415","13065","35580","31980"
"In post","2023","Asian","Male","LGBO","400","390","38220","34700"
"In post","2023","Asian","Male","Undeclared","680","655","34420","30950"
"In post","2023","Asian","Male","Unknown","1250","1195","35260","30710"
"In post","2023","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Female","Heterosexual / straight","9310","8855","34760","32520"
"In post","2023","Black","Female","LGBO","200","195","34300","31280"
"In post","2023","Black","Female","Undeclared","550","510","34250","32130"
"In post","2023","Black","Female","Unknown","835","755","34230","32520"
"In post","2023","Black","Male","Heterosexual / straight","5540","5450","35560","32520"
"In post","2023","Black","Male","LGBO","160","155","38290","32980"
"In post","2023","Black","Male","Undeclared","225","215","34360","31880"
"In post","2023","Black","Male","Unknown","465","445","35980","32520"
"In post","2023","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Female","Heterosexual / straight","4475","4190","36640","32520"
"In post","2023","Mixed","Female","LGBO","490","475","35260","31320"
"In post","2023","Mixed","Female","Undeclared","405","380","35850","32050"
"In post","2023","Mixed","Female","Unknown","365","330","35920","30130"
"In post","2023","Mixed","Male","Heterosexual / straight","3040","2975","38770","34300"
"In post","2023","Mixed","Male","LGBO","425","420","38700","34400"
"In post","2023","Mixed","Male","Undeclared","275","260","37500","32530"
"In post","2023","Mixed","Male","Unknown","245","240","38960","32690"
"In post","2023","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
