"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA","Female","35","25","22290","22760"
"In post","2023","Declared disabled","Asian","AA","Male","35","35","23210","23230"
"In post","2023","Declared disabled","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","AO","Female","500","410","23490","22500"
"In post","2023","Declared disabled","Asian","AO","Male","365","340","23940","22520"
"In post","2023","Declared disabled","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","EO","Female","750","660","29600","28370"
"In post","2023","Declared disabled","Asian","EO","Male","450","425","29450","28120"
"In post","2023","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6","Female","50","50","70650","69480"
"In post","2023","Declared disabled","Asian","G6","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G7","Female","150","145","56590","55720"
"In post","2023","Declared disabled","Asian","G7","Male","110","110","57550","56930"
"In post","2023","Declared disabled","Asian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HEO","Female","310","290","35440","35000"
"In post","2023","Declared disabled","Asian","HEO","Male","275","270","35590","35000"
"In post","2023","Declared disabled","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO","Female","195","190","42810","42510"
"In post","2023","Declared disabled","Asian","SEO","Male","175","175","43020","43000"
"In post","2023","Declared disabled","Asian","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Female","115","105","31120","29050"
"In post","2023","Declared disabled","Asian","Unknown","Male","55","50","30210","29050"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AA","Female","40","35","23970","23500"
"In post","2023","Declared disabled","Black","AA","Male","20","20","[c]","[c]"
