"Status","Year","Disability","Function_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Female","70","65","37330","37760"
"In post","2023","Declared disabled","Analysis","East Wales","Male","40","40","37530","32550"
"In post","2023","Declared disabled","Analysis","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
