"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Female","40","35","23250","22360"
"In post","2023","Declared disabled","Commercial","AO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Female","50","50","28330","28120"
"In post","2023","Declared disabled","Commercial","EO","Male","35","35","27890","27140"
"In post","2023","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Female","35","35","74760","72630"
"In post","2023","Declared disabled","Commercial","G6","Male","35","35","77900","73930"
"In post","2023","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Female","85","85","57730","56000"
"In post","2023","Declared disabled","Commercial","G7","Male","85","85","60470","57200"
"In post","2023","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HEO","Female","125","120","33700","33990"
"In post","2023","Declared disabled","Commercial","HEO","Male","70","65","33950","34170"
"In post","2023","Declared disabled","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Female","145","135","42450","41970"
"In post","2023","Declared disabled","Commercial","SEO","Male","100","100","42950","42250"
"In post","2023","Declared disabled","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Female","45","40","56610","56430"
"In post","2023","Declared disabled","Communications","G7","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Female","65","60","35300","34700"
"In post","2023","Declared disabled","Communications","HEO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Female","55","50","43100","42840"
"In post","2023","Declared disabled","Communications","SEO","Male","35","35","42650","42160"
"In post","2023","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6","Female","[c]","[c]","[c]","[c]"
