"Status","Year","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA","Heterosexual / straight","11505","10455","22070","22130"
"In post","2023","AA","LGBO","750","710","22520","23230"
"In post","2023","AA","Undeclared","1435","1240","21360","21380"
"In post","2023","AA","Unknown","5020","4530","22710","22860"
"In post","2023","AO","Heterosexual / straight","74085","66945","24630","22520"
"In post","2023","AO","LGBO","4910","4695","24980","22520"
"In post","2023","AO","Undeclared","8950","7915","24310","22500"
"In post","2023","AO","Unknown","29950","27075","24530","22520"
"In post","2023","EO","Heterosexual / straight","84540","78365","29030","28120"
"In post","2023","EO","LGBO","5405","5230","28840","28120"
"In post","2023","EO","Undeclared","10545","9615","29140","28120"
"In post","2023","EO","Unknown","26845","24930","29160","28120"
"In post","2023","G6","Heterosexual / straight","14820","14275","70810","69860"
"In post","2023","G6","LGBO","960","940","70120","68610"
"In post","2023","G6","Undeclared","1735","1655","71370","70250"
"In post","2023","G6","Unknown","3225","3090","71190","69940"
"In post","2023","G7","Heterosexual / straight","38470","37150","56670","55780"
"In post","2023","G7","LGBO","2800","2755","56350","55500"
"In post","2023","G7","Undeclared","4395","4250","56940","56030"
"In post","2023","G7","Unknown","8815","8490","57110","56430"
"In post","2023","HEO","Heterosexual / straight","57975","55585","35120","34670"
"In post","2023","HEO","LGBO","4320","4240","34720","34400"
"In post","2023","HEO","Undeclared","6885","6570","35330","34700"
"In post","2023","HEO","Unknown","15720","15205","35290","34730"
"In post","2023","SCS level","Heterosexual / straight","5350","5175","91950","83550"
"In post","2023","SCS level","LGBO","405","400","88780","80790"
"In post","2023","SCS level","Undeclared","490","470","91860","84150"
"In post","2023","SCS level","Unknown","1135","1095","95830","85930"
"In post","2023","SEO","Heterosexual / straight","44715","43165","43100","42140"
"In post","2023","SEO","LGBO","2900","2845","42450","41780"
"In post","2023","SEO","Undeclared","5595","5355","43440","42510"
"In post","2023","SEO","Unknown","9420","9110","43160","42510"
"In post","2023","Unknown","Heterosexual / straight","17735","16615","32140","29050"
"In post","2023","Unknown","LGBO","1320","1285","30020","26840"
"In post","2023","Unknown","Undeclared","1445","1340","34670","33050"
"In post","2023","Unknown","Unknown","5215","4900","33010","29050"
"Leaver CS","2023","AA","Heterosexual / straight","1455","[c]","21020","20150"
"Leaver CS","2023","AA","LGBO","110","[c]","20740","19930"
