"Status","Year","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","London","190","185","53850","47270"
"In post","2023","Declared disabled","Commercial","Outside London","680","645","43390","39460"
"In post","2023","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","135","130","47560","44360"
"In post","2023","Declared disabled","Communications","Outside London","200","190","37610","35330"
"In post","2023","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","240","220","34490","32520"
"In post","2023","Declared disabled","Counter Fraud","Outside London","1175","1050","29470","28120"
"In post","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","London","510","500","50380","46600"
"In post","2023","Declared disabled","Digital, Data and Technology","Outside London","1735","1670","40300","37590"
"In post","2023","Declared disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","London","105","100","51650","54330"
"In post","2023","Declared disabled","Economics","Outside London","30","30","39340","34620"
"In post","2023","Declared disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","225","215","48710","43650"
"In post","2023","Declared disabled","Finance","Outside London","735","690","38350","34640"
"In post","2023","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","430","415","48850","43710"
"In post","2023","Declared disabled","Human Resources","Outside London","1305","1235","37480","34300"
"In post","2023","Declared disabled","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","75","75","64570","66170"
"In post","2023","Declared disabled","Intelligence Analysis","London","110","105","41510","37620"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","180","170","30890","28480"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","70","65","44210","41300"
"In post","2023","Declared disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","100","100","49960","43050"
"In post","2023","Declared disabled","International Trade","Outside London","45","40","39180","38280"
"In post","2023","Declared disabled","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","100","95","41420","38260"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","230","220","31960","28120"
"In post","2023","Declared disabled","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","375","350","58610","60610"
"In post","2023","Declared disabled","Legal","Outside London","710","650","48140","49050"
"In post","2023","Declared disabled","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Outside London","115","105","58410","45970"
"In post","2023","Declared disabled","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","London","4125","3835","34710","32520"
"In post","2023","Declared disabled","Operational Delivery","Outside London","31940","28555","28400","28120"
"In post","2023","Declared disabled","Operational Delivery","Overseas","15","15","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Unknown","65","60","28630","28120"
"In post","2023","Declared disabled","Operational Research","London","35","35","48250","43760"
"In post","2023","Declared disabled","Operational Research","Outside London","110","100","40880","39890"
"In post","2023","Declared disabled","Other","London","235","225","40550","36090"
"In post","2023","Declared disabled","Other","Outside London","1670","1515","29530","27740"
"In post","2023","Declared disabled","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Planning","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Policy","London","1970","1920","50000","45940"
"In post","2023","Declared disabled","Policy","Outside London","1075","1030","42320","38070"
"In post","2023","Declared disabled","Policy","Overseas","130","130","49380","44240"
"In post","2023","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","London","470","455","49340","43760"
"In post","2023","Declared disabled","Project Delivery","Outside London","1425","1360","41500","38990"
"In post","2023","Declared disabled","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","London","100","95","46640","41820"
"In post","2023","Declared disabled","Property","Outside London","515","490","37100","34300"
"In post","2023","Declared disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Outside London","145","140","35340","31310"
"In post","2023","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Science and Engineering","London","55","55","44270","40290"
"In post","2023","Declared disabled","Science and Engineering","Outside London","1340","1290","39710","39890"
"In post","2023","Declared disabled","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","London","140","140","44860","39150"
"In post","2023","Declared disabled","Security","Outside London","650","630","33280","31830"
"In post","2023","Declared disabled","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Social Research","London","45","40","48990","44310"
"In post","2023","Declared disabled","Social Research","Outside London","115","105","40090","39300"
"In post","2023","Declared disabled","Statistics","London","110","105","46110","42040"
"In post","2023","Declared disabled","Statistics","Outside London","190","180","41970","39300"
"In post","2023","Declared disabled","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Tax","London","225","205","45720","42060"
"In post","2023","Declared disabled","Tax","Outside London","1305","1210","37620","35000"
"In post","2023","Declared disabled","Unknown","London","510","495","44090","36400"
"In post","2023","Declared disabled","Unknown","Outside London","2065","1970","38850","34700"
"In post","2023","Declared disabled","Unknown","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinarian","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","London","1060","1040","61420","56100"
"In post","2023","Declared non-disabled","Commercial","Outside London","3710","3575","44950","40580"
"In post","2023","Declared non-disabled","Commercial","Overseas","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","London","1110","1085","50610","46700"
"In post","2023","Declared non-disabled","Communications","Outside London","1420","1340","39400","37690"
"In post","2023","Declared non-disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Corporate Finance","London","35","35","53830","50240"
"In post","2023","Declared non-disabled","Corporate Finance","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","London","1365","1285","36930","32520"
"In post","2023","Declared non-disabled","Counter Fraud","Outside London","5355","4900","30200","28120"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data and Technology","London","3125","3065","52890","53550"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Outside London","11365","11030","42860","39460"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Overseas","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Economics","London","1005","985","53360","55130"
"In post","2023","Declared non-disabled","Economics","Outside London","335","325","44700","39650"
"In post","2023","Declared non-disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","London","1730","1680","52250","47060"
"In post","2023","Declared non-disabled","Finance","Outside London","5155","4910","40960","37710"
"In post","2023","Declared non-disabled","Finance","Overseas","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Geography","Outside London","290","275","33800","34370"
"In post","2023","Declared non-disabled","Human Resources","London","1900","1835","49660","44770"
"In post","2023","Declared non-disabled","Human Resources","Outside London","6215","5930","37460","34300"
"In post","2023","Declared non-disabled","Human Resources","Overseas","35","35","53040","43690"
"In post","2023","Declared non-disabled","Human Resources","Unknown","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Inspector of Education and Training","London","90","90","68820","72470"
"In post","2023","Declared non-disabled","Inspector of Education and Training","Outside London","855","835","67150","72470"
"In post","2023","Declared non-disabled","Intelligence Analysis","London","830","795","40610","37180"
