"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","AO","50","50","25510","25200"
"In post","2023","Commercial","London","EO","115","110","30780","30950"
"In post","2023","Commercial","London","G6","275","275","75870","72500"
"In post","2023","Commercial","London","G7","485","475","61150","58280"
"In post","2023","Commercial","London","HEO","290","285","35250","35410"
"In post","2023","Commercial","London","SCS level","165","160","120850","117940"
"In post","2023","Commercial","London","SEO","325","315","44910","43750"
"In post","2023","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA","25","25","21710","22920"
"In post","2023","Commercial","Outside London","AO","330","305","23450","22320"
"In post","2023","Commercial","Outside London","EO","640","610","27440","27140"
"In post","2023","Commercial","Outside London","G6","430","420","73590","71060"
"In post","2023","Commercial","Outside London","G7","1065","1035","58220","56000"
"In post","2023","Commercial","Outside London","HEO","1315","1265","33420","33830"
"In post","2023","Commercial","Outside London","SCS level","125","125","106190","100580"
"In post","2023","Commercial","Outside London","SEO","1710","1655","41650","41280"
"In post","2023","Commercial","Outside London","Unknown","190","185","42650","42620"
"In post","2023","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","10","10","68790","69790"
"In post","2023","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AO","30","30","25480","25610"
"In post","2023","Communications","London","EO","160","155","30150","29660"
"In post","2023","Communications","London","G6","195","185","70560","70500"
"In post","2023","Communications","London","G7","490","475","57740","56430"
"In post","2023","Communications","London","HEO","480","475","37150","36410"
"In post","2023","Communications","London","SCS level","90","90","90780","85000"
"In post","2023","Communications","London","SEO","550","540","44540","44070"
"In post","2023","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AO","140","130","22670","22220"
"In post","2023","Communications","Outside London","EO","355","335","27840","27470"
"In post","2023","Communications","Outside London","G6","90","85","66750","67680"
"In post","2023","Communications","Outside London","G7","285","275","54270","54010"
"In post","2023","Communications","Outside London","HEO","610","580","33880","33830"
"In post","2023","Communications","Outside London","SCS level","20","20","80670","79530"
"In post","2023","Communications","Outside London","SEO","595","565","41480","41240"
"In post","2023","Communications","Outside London","Unknown","20","20","37080","33340"
"In post","2023","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","EO","10","10","[c]","[c]"
"In post","2023","Corporate Finance","London","G6","10","10","87520","76420"
"In post","2023","Corporate Finance","London","G7","15","15","66260","58710"
"In post","2023","Corporate Finance","London","HEO","15","15","35260","34670"
"In post","2023","Corporate Finance","London","SCS level","5","5","[c]","[c]"
"In post","2023","Corporate Finance","London","SEO","15","15","44860","43950"
"In post","2023","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AO","330","290","25350","25610"
"In post","2023","Counter Fraud","London","EO","795","755","32210","32520"
"In post","2023","Counter Fraud","London","G6","55","50","73860","72800"
"In post","2023","Counter Fraud","London","G7","105","100","61170","61670"
"In post","2023","Counter Fraud","London","HEO","455","440","39130","39450"
"In post","2023","Counter Fraud","London","SCS level","15","15","93850","84930"
"In post","2023","Counter Fraud","London","SEO","220","210","44760","45560"
"In post","2023","Counter Fraud","Outside London","AA","15","15","21020","21250"
"In post","2023","Counter Fraud","Outside London","AO","1270","1100","22580","21690"
"In post","2023","Counter Fraud","Outside London","EO","4115","3755","28370","28120"
"In post","2023","Counter Fraud","Outside London","G6","55","50","69950","71300"
"In post","2023","Counter Fraud","Outside London","G7","130","125","55640","56910"
"In post","2023","Counter Fraud","Outside London","HEO","1600","1525","34880","34400"
"In post","2023","Counter Fraud","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SEO","425","410","41450","42140"
"In post","2023","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AO","55","55","26080","25900"
"In post","2023","Digital, Data and Technology","London","EO","420","410","30920","30560"
"In post","2023","Digital, Data and Technology","London","G6","595","585","72620","72300"
"In post","2023","Digital, Data and Technology","London","G7","1740","1710","59690","59290"
"In post","2023","Digital, Data and Technology","London","HEO","1055","1035","36670","36180"
"In post","2023","Digital, Data and Technology","London","SCS level","170","165","99700","94330"
"In post","2023","Digital, Data and Technology","London","SEO","1265","1245","44640","43760"
"In post","2023","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA","30","25","21950","22040"
"In post","2023","Digital, Data and Technology","Outside London","AO","495","480","22950","22220"
"In post","2023","Digital, Data and Technology","Outside London","EO","2920","2780","28280","28120"
"In post","2023","Digital, Data and Technology","Outside London","G6","1175","1160","68630","66940"
"In post","2023","Digital, Data and Technology","Outside London","G7","3750","3675","54970","54120"
"In post","2023","Digital, Data and Technology","Outside London","HEO","4395","4265","34400","34170"
"In post","2023","Digital, Data and Technology","Outside London","SCS level","220","215","92550","87180"
"In post","2023","Digital, Data and Technology","Outside London","SEO","4725","4615","41890","41480"
"In post","2023","Digital, Data and Technology","Outside London","Unknown","70","70","37330","36350"
"In post","2023","Digital, Data and Technology","Overseas","EO","15","15","43110","38680"
"In post","2023","Digital, Data and Technology","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","HEO","20","20","42770","43300"
"In post","2023","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","G7","15","15","55350","53000"
"In post","2023","Digital, Data and Technology","Unknown","HEO","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","SEO","10","10","[c]","[c]"
"In post","2023","Economics","London","AO","25","25","25020","23210"
"In post","2023","Economics","London","EO","115","115","28720","28940"
"In post","2023","Economics","London","G6","205","195","71600","70740"
"In post","2023","Economics","London","G7","550","540","58210","56640"
"In post","2023","Economics","London","HEO","460","455","36040","35410"
"In post","2023","Economics","London","SCS level","100","95","91710","83420"
"In post","2023","Economics","London","SEO","160","160","44410","44160"
"In post","2023","Economics","London","Unknown","[c]","[c]","[c]","[c]"
