"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Female","65","60","46230","43650"
"In post","2023","Analysis","Digital, Data and Technology","Male","115","115","45940","43650"
"In post","2023","Analysis","Economics","Female","645","625","47790","43750"
"In post","2023","Analysis","Economics","Male","1160","1150","48960","45170"
"In post","2023","Analysis","Finance","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Finance","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Human Resources","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Female","50","50","35590","32870"
"In post","2023","Analysis","Intelligence Analysis","Male","75","75","46280","43560"
"In post","2023","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Male","35","35","45830","38470"
"In post","2023","Analysis","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Female","400","370","33990","31560"
"In post","2023","Analysis","Operational Delivery","Male","365","355","35740","32550"
"In post","2023","Analysis","Operational Research","Female","335","315","44330","41780"
"In post","2023","Analysis","Operational Research","Male","460","450","46890","46110"
"In post","2023","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Female","275","255","47780","39770"
"In post","2023","Analysis","Other","Male","315","305","54230","43650"
"In post","2023","Analysis","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Female","120","115","48560","43520"
"In post","2023","Analysis","Policy","Male","135","135","48660","44280"
"In post","2023","Analysis","Project Delivery","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Female","455","430","38520","37310"
"In post","2023","Analysis","Science and Engineering","Male","885","865","43770","39910"
"In post","2023","Analysis","Social Research","Female","1030","970","44370","41340"
"In post","2023","Analysis","Social Research","Male","400","395","46040","41670"
"In post","2023","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Female","1260","1190","45200","42030"
"In post","2023","Analysis","Statistics","Male","1460","1435","44780","41050"
"In post","2023","Analysis","Statistics","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","55","50","44150","39430"
"In post","2023","Analysis","Unknown","Male","115","115","49400","45110"
"In post","2023","Commercial","Commercial","Female","3315","3175","45450","40750"
"In post","2023","Commercial","Commercial","Male","2945","2910","50920","43360"
"In post","2023","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
