"Status","Year","Disability","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Female","Heterosexual / straight","635","580","43480","38860"
"In post","2023","Declared disabled","Attorney General's Departments","Female","LGBO","65","60","41320","31920"
"In post","2023","Declared disabled","Attorney General's Departments","Female","Undeclared","45","40","47410","49050"
"In post","2023","Declared disabled","Attorney General's Departments","Female","Unknown","70","60","41810","33810"
"In post","2023","Declared disabled","Attorney General's Departments","Male","Heterosexual / straight","285","275","45040","45230"
"In post","2023","Declared disabled","Attorney General's Departments","Male","LGBO","50","50","48500","52880"
"In post","2023","Declared disabled","Attorney General's Departments","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Male","Unknown","30","30","51030","56450"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Female","Heterosexual / straight","485","465","44520","39350"
"In post","2023","Declared disabled","Cabinet Office","Female","LGBO","85","80","42210","38460"
"In post","2023","Declared disabled","Cabinet Office","Female","Undeclared","65","60","45440","40580"
"In post","2023","Declared disabled","Cabinet Office","Female","Unknown","170","170","34060","30130"
"In post","2023","Declared disabled","Cabinet Office","Male","Heterosexual / straight","345","340","50290","41930"
"In post","2023","Declared disabled","Cabinet Office","Male","LGBO","85","85","49790","47510"
"In post","2023","Declared disabled","Cabinet Office","Male","Undeclared","40","35","50140","51160"
"In post","2023","Declared disabled","Cabinet Office","Male","Unknown","115","115","41460","30130"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","600","560","41250","37460"
