"Status","Year","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","Heterosexual / straight","67895","65240","46190","41380"
"In post","2023","London","LGBO","5625","5535","47570","43000"
"In post","2023","London","Undeclared","9055","8640","45600","41360"
"In post","2023","London","Unknown","21160","20375","43190","37510"
"In post","2023","Outside London","Heterosexual / straight","278395","259635","34160","30320"
"In post","2023","Outside London","LGBO","17925","17350","32960","29080"
"In post","2023","Outside London","Undeclared","32185","29540","33810","29730"
"In post","2023","Outside London","Unknown","81315","75195","31510","28120"
"In post","2023","Overseas","Heterosexual / straight","2260","2250","52970","51500"
"In post","2023","Overseas","LGBO","175","175","52870","53970"
"In post","2023","Overseas","Undeclared","140","140","54130","50500"
"In post","2023","Overseas","Unknown","940","935","54560","55070"
"In post","2023","Unknown","Heterosexual / straight","645","610","36570","31280"
"In post","2023","Unknown","LGBO","45","45","38150","28120"
"In post","2023","Unknown","Undeclared","95","85","33220","28120"
"In post","2023","Unknown","Unknown","1930","1920","41070","38760"
"Leaver CS","2023","London","Heterosexual / straight","5985","[c]","43460","36800"
"Leaver CS","2023","London","LGBO","675","[c]","43920","39000"
"Leaver CS","2023","London","Undeclared","885","[c]","42670","38110"
"Leaver CS","2023","London","Unknown","2995","[c]","42290","34260"
"Leaver CS","2023","Outside London","Heterosexual / straight","19580","[c]","31940","27570"
"Leaver CS","2023","Outside London","LGBO","1525","[c]","30380","27570"
"Leaver CS","2023","Outside London","Undeclared","2415","[c]","31930","27650"
"Leaver CS","2023","Outside London","Unknown","11450","[c]","30730","26140"
"Leaver CS","2023","Overseas","Heterosexual / straight","80","[c]","51140","43890"
"Leaver CS","2023","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","Unknown","65","[c]","49800","48690"
"Leaver CS","2023","Unknown","Heterosexual / straight","75","[c]","32340","28120"
"Leaver CS","2023","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","55","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","280","[c]","36400","32550"
"Leaver Dept.","2023","London","Heterosexual / straight","3645","[c]","44960","39840"
"Leaver Dept.","2023","London","LGBO","455","[c]","43230","39600"
"Leaver Dept.","2023","London","Undeclared","540","[c]","44570","40600"
"Leaver Dept.","2023","London","Unknown","1885","[c]","41390","35150"
"Leaver Dept.","2023","Outside London","Heterosexual / straight","5215","[c]","32450","28120"
"Leaver Dept.","2023","Outside London","LGBO","480","[c]","31420","28120"
"Leaver Dept.","2023","Outside London","Undeclared","510","[c]","32690","28120"
"Leaver Dept.","2023","Outside London","Unknown","2430","[c]","32380","28200"
"Leaver Dept.","2023","Overseas","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","50","[c]","34710","32520"
"Leaver Dept.","2023","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","65","[c]","33490","32000"
"New entrant CS","2023","London","Heterosexual / straight","4440","[c]","37620","33800"
"New entrant CS","2023","London","LGBO","615","[c]","37170","34110"
"New entrant CS","2023","London","Undeclared","570","[c]","37010","34110"
"New entrant CS","2023","London","Unknown","4120","[c]","33920","29750"
"New entrant CS","2023","Outside London","Heterosexual / straight","23840","[c]","29550","25920"
"New entrant CS","2023","Outside London","LGBO","2695","[c]","27840","24840"
"New entrant CS","2023","Outside London","Undeclared","1605","[c]","30240","26650"
"New entrant CS","2023","Outside London","Unknown","18445","[c]","27580","24710"
"New entrant CS","2023","Overseas","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","Unknown","50","[c]","49510","45690"
"New entrant CS","2023","Unknown","Heterosexual / straight","75","[c]","30710","28120"
"New entrant CS","2023","Unknown","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","265","[c]","25060","22400"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
