"Status","Year","Ethnicity","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA","Female","Heterosexual / straight","225","185","22370","23000"
"In post","2023","Asian","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","AA","Female","Undeclared","35","30","22330","22520"
"In post","2023","Asian","AA","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Asian","AA","Male","Heterosexual / straight","300","285","22910","23230"
"In post","2023","Asian","AA","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","AA","Male","Undeclared","30","30","22480","23230"
"In post","2023","Asian","AA","Male","Unknown","30","25","[c]","[c]"
"In post","2023","Asian","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AO","Female","Heterosexual / straight","3710","3160","23480","22520"
"In post","2023","Asian","AO","Female","LGBO","95","85","24330","22520"
"In post","2023","Asian","AO","Female","Undeclared","365","300","23750","22520"
"In post","2023","Asian","AO","Female","Unknown","580","445","23420","22520"
"In post","2023","Asian","AO","Male","Heterosexual / straight","2975","2840","24270","22520"
"In post","2023","Asian","AO","Male","LGBO","70","70","23760","22520"
"In post","2023","Asian","AO","Male","Undeclared","160","150","23850","22520"
"In post","2023","Asian","AO","Male","Unknown","320","295","23510","22520"
"In post","2023","Asian","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Female","Heterosexual / straight","4865","4420","29370","28220"
"In post","2023","Asian","EO","Female","LGBO","95","85","29640","28130"
"In post","2023","Asian","EO","Female","Undeclared","365","315","29580","29660"
"In post","2023","Asian","EO","Female","Unknown","595","505","29760","28130"
"In post","2023","Asian","EO","Male","Heterosexual / straight","3870","3780","29250","28120"
"In post","2023","Asian","EO","Male","LGBO","80","80","29180","28120"
"In post","2023","Asian","EO","Male","Undeclared","190","180","29210","28120"
"In post","2023","Asian","EO","Male","Unknown","340","330","29480","28130"
"In post","2023","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6","Female","Heterosexual / straight","475","455","70250","68610"
"In post","2023","Asian","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","G6","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","G6","Female","Unknown","35","35","69580","68480"
"In post","2023","Asian","G6","Male","Heterosexual / straight","355","350","72090","70620"
"In post","2023","Asian","G6","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","G6","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","G6","Male","Unknown","35","35","71700","69940"
"In post","2023","Asian","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G7","Female","Heterosexual / straight","1575","1520","56880","55720"
"In post","2023","Asian","G7","Female","LGBO","35","35","55830","55370"
"In post","2023","Asian","G7","Female","Undeclared","85","80","56650","55910"
"In post","2023","Asian","G7","Female","Unknown","120","110","58310","57360"
"In post","2023","Asian","G7","Male","Heterosexual / straight","1325","1310","57640","56780"
"In post","2023","Asian","G7","Male","LGBO","65","65","56690","55500"
"In post","2023","Asian","G7","Male","Undeclared","60","60","58200","56870"
"In post","2023","Asian","G7","Male","Unknown","120","115","59060","57970"
"In post","2023","Asian","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
