"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Civil Service Fast Stream","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","42780","34670"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","45","45","43860","43250"
"In post","2023","Asian","Analysis","Department for International Trade","30","30","50050","55370"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","45180","44180"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","30","30","47980","43750"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","40","40","41510","39150"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Education and Skills Funding Agency","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Government Actuary's Department","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","100","95","47150","43100"
"In post","2023","Asian","Analysis","HM Treasury (excl. agencies)","30","30","39290","34540"
"In post","2023","Asian","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","40","40","43880","38620"
"In post","2023","Asian","Analysis","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","35","35","33690","28550"
"In post","2023","Asian","Analysis","Ministry of Defence (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","70","65","45800","43650"
"In post","2023","Asian","Analysis","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","35","35","45350","40000"
"In post","2023","Asian","Analysis","Office of Rail and Road","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","75","75","36920","37690"
"In post","2023","Asian","Analysis","Valuation Office Agency","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Building Digital UK","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Central Civil Service Fast Stream","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Commercial Service","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Equipment and Support","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","FCDO Services","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Government Commercial Organisation","70","70","71350","66270"
"In post","2023","Asian","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Medicines and Healthcare Products Regulatory Agency","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence (excl. agencies)","30","25","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","40","40","49660","37000"
"In post","2023","Asian","Commercial","UK Health Security Agency","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Transport (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Work and Pensions (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Revenue and Customs (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Medicines and Healthcare Products Regulatory Agency","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Ministry of Defence (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Ministry of Justice (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Export Finance","10","10","[c]","[c]"
"In post","2023","Asian","Communications","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Cabinet Office (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
