"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Heterosexual / straight","105","95","35100","29450"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Heterosexual / straight","245","220","27830","28120"
"In post","2023","Declared disabled","Angus and Dundee City","LGBO","55","50","28520","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Undeclared","30","30","24350","21690"
"In post","2023","Declared disabled","Angus and Dundee City","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Heterosexual / straight","95","85","33120","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","Heterosexual / straight","105","100","37690","32520"
"In post","2023","Declared disabled","Barnet","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","Unknown","[c]","[c]","[c]","[c]"
