"Status","Year","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Female","Heterosexual / straight","28110","25160","33140","28130"
"In post","2023","Declared disabled","Female","LGBO","3190","3050","34060","30810"
"In post","2023","Declared disabled","Female","Undeclared","3410","3000","32190","28120"
"In post","2023","Declared disabled","Female","Unknown","2200","1915","31620","28120"
"In post","2023","Declared disabled","Male","Heterosexual / straight","17260","16445","35290","31310"
"In post","2023","Declared disabled","Male","LGBO","2530","2455","35550","31310"
"In post","2023","Declared disabled","Male","Undeclared","2460","2315","34630","31180"
"In post","2023","Declared disabled","Male","Unknown","1630","1520","35570","31200"
"In post","2023","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Female","Heterosexual / straight","146380","133850","35630","31270"
"In post","2023","Declared non-disabled","Female","LGBO","7325","7075","35420","31510"
"In post","2023","Declared non-disabled","Female","Undeclared","11925","10630","34230","29570"
"In post","2023","Declared non-disabled","Female","Unknown","14115","11850","32370","28120"
"In post","2023","Declared non-disabled","Male","Heterosexual / straight","117515","114320","38490","34110"
"In post","2023","Declared non-disabled","Male","LGBO","7440","7305","39070","34170"
"In post","2023","Declared non-disabled","Male","Undeclared","9665","9220","37810","33830"
"In post","2023","Declared non-disabled","Male","Unknown","9820","9270","36650","32520"
"In post","2023","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Female","Heterosexual / straight","6600","6015","34720","30350"
"In post","2023","Undeclared","Female","LGBO","625","605","34150","31260"
"In post","2023","Undeclared","Female","Undeclared","4165","3780","35800","32160"
"In post","2023","Undeclared","Female","Unknown","1755","1560","37690","32920"
"In post","2023","Undeclared","Male","Heterosexual / straight","6045","5790","36810","32920"
"In post","2023","Undeclared","Male","LGBO","560","545","36690","32920"
"In post","2023","Undeclared","Male","Undeclared","6110","5870","38720","34850"
"In post","2023","Undeclared","Male","Unknown","2055","1895","39500","34170"
"In post","2023","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Female","Heterosexual / straight","14070","13245","38120","34280"
"In post","2023","Unknown","Female","LGBO","1080","1055","36090","32960"
"In post","2023","Unknown","Female","Undeclared","1940","1830","41140","36040"
"In post","2023","Unknown","Female","Unknown","36810","34375","33020","28480"
"In post","2023","Unknown","Male","Heterosexual / straight","13200","12900","39430","36040"
"In post","2023","Unknown","Male","LGBO","1015","1005","38920","34670"
"In post","2023","Unknown","Male","Undeclared","1805","1765","42830","39630"
"In post","2023","Unknown","Male","Unknown","36955","36030","35150","30560"
"In post","2023","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Female","Heterosexual / straight","2030","[c]","31040","27570"
"Leaver CS","2023","Declared disabled","Female","LGBO","295","[c]","31850","28120"
"Leaver CS","2023","Declared disabled","Female","Undeclared","260","[c]","29900","27570"
"Leaver CS","2023","Declared disabled","Female","Unknown","405","[c]","31430","27570"
"Leaver CS","2023","Declared disabled","Male","Heterosexual / straight","1350","[c]","33570","28120"
"Leaver CS","2023","Declared disabled","Male","LGBO","225","[c]","33480","28120"
"Leaver CS","2023","Declared disabled","Male","Undeclared","185","[c]","34600","29480"
"Leaver CS","2023","Declared disabled","Male","Unknown","295","[c]","32410","30400"
"Leaver CS","2023","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Female","Heterosexual / straight","10310","[c]","33410","28120"
"Leaver CS","2023","Declared non-disabled","Female","LGBO","750","[c]","33850","29100"
"Leaver CS","2023","Declared non-disabled","Female","Undeclared","925","[c]","32210","27760"
"Leaver CS","2023","Declared non-disabled","Female","Unknown","2335","[c]","29780","26120"
"Leaver CS","2023","Declared non-disabled","Male","Heterosexual / straight","8710","[c]","37250","31480"
"Leaver CS","2023","Declared non-disabled","Male","LGBO","610","[c]","37670","31920"
"Leaver CS","2023","Declared non-disabled","Male","Undeclared","780","[c]","36400","32120"
"Leaver CS","2023","Declared non-disabled","Male","Unknown","1875","[c]","35980","28120"
"Leaver CS","2023","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Female","Heterosexual / straight","530","[c]","31380","28120"
"Leaver CS","2023","Undeclared","Female","LGBO","65","[c]","31150","28120"
"Leaver CS","2023","Undeclared","Female","Undeclared","280","[c]","34210","28120"
"Leaver CS","2023","Undeclared","Female","Unknown","195","[c]","34620","28120"
"Leaver CS","2023","Undeclared","Male","Heterosexual / straight","530","[c]","36890","31270"
"Leaver CS","2023","Undeclared","Male","LGBO","50","[c]","37930","33330"
"Leaver CS","2023","Undeclared","Male","Undeclared","455","[c]","38240","33300"
"Leaver CS","2023","Undeclared","Male","Unknown","285","[c]","45180","37420"
"Leaver CS","2023","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Female","Heterosexual / straight","1130","[c]","35320","31320"
"Leaver CS","2023","Unknown","Female","LGBO","110","[c]","34760","30330"
"Leaver CS","2023","Unknown","Female","Undeclared","260","[c]","35570","31060"
"Leaver CS","2023","Unknown","Female","Unknown","4615","[c]","33210","27650"
"Leaver CS","2023","Unknown","Male","Heterosexual / straight","1140","[c]","37570","34130"
"Leaver CS","2023","Unknown","Male","LGBO","105","[c]","36590","32590"
"Leaver CS","2023","Unknown","Male","Undeclared","215","[c]","40710","39620"
"Leaver CS","2023","Unknown","Male","Unknown","4785","[c]","35210","29520"
"Leaver CS","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Female","Heterosexual / straight","625","[c]","35370","31660"
"Leaver Dept.","2023","Declared disabled","Female","LGBO","120","[c]","33540","31990"
"Leaver Dept.","2023","Declared disabled","Female","Undeclared","80","[c]","34790","31290"
"Leaver Dept.","2023","Declared disabled","Female","Unknown","80","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Male","Heterosexual / straight","380","[c]","37400","31900"
"Leaver Dept.","2023","Declared disabled","Male","LGBO","85","[c]","34740","29370"
"Leaver Dept.","2023","Declared disabled","Male","Undeclared","35","[c]","36340","34790"
"Leaver Dept.","2023","Declared disabled","Male","Unknown","65","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Female","Heterosexual / straight","3895","[c]","37010","32520"
"Leaver Dept.","2023","Declared non-disabled","Female","LGBO","275","[c]","36660","32570"
"Leaver Dept.","2023","Declared non-disabled","Female","Undeclared","265","[c]","36720","34100"
"Leaver Dept.","2023","Declared non-disabled","Female","Unknown","630","[c]","32810","28120"
"Leaver Dept.","2023","Declared non-disabled","Male","Heterosexual / straight","2785","[c]","39010","34000"
"Leaver Dept.","2023","Declared non-disabled","Male","LGBO","315","[c]","39460","34610"
"Leaver Dept.","2023","Declared non-disabled","Male","Undeclared","210","[c]","39330","33640"
"Leaver Dept.","2023","Declared non-disabled","Male","Unknown","470","[c]","36980","30890"
