"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","AA","Female","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA","Female","65","60","21800","23230"
"In post","2023","16-19","Declared non-disabled","AA","Male","60","60","21200","23230"
"In post","2023","16-19","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AO","Female","210","210","23820","22520"
"In post","2023","16-19","Declared non-disabled","AO","Male","190","185","23920","22520"
"In post","2023","16-19","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Female","40","40","27350","27970"
"In post","2023","16-19","Declared non-disabled","EO","Male","40","40","26910","26400"
"In post","2023","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Female","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","Female","50","50","22140","22180"
"In post","2023","16-19","Unknown","AA","Male","65","55","21550","22180"
"In post","2023","16-19","Unknown","AO","Female","210","200","23390","22420"
"In post","2023","16-19","Unknown","AO","Male","255","245","22530","22400"
"In post","2023","16-19","Unknown","EO","Female","45","45","26710","25900"
"In post","2023","16-19","Unknown","EO","Male","45","45","26750","25750"
"In post","2023","16-19","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","30","25","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","45","45","19740","18280"
"In post","2023","20-29","Declared disabled","AA","Female","105","100","22770","23230"
"In post","2023","20-29","Declared disabled","AA","Male","95","95","22450","23230"
"In post","2023","20-29","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","AO","Female","975","935","24180","22500"
"In post","2023","20-29","Declared disabled","AO","Male","730","715","24680","22520"
"In post","2023","20-29","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","EO","Female","970","945","28670","28120"
"In post","2023","20-29","Declared disabled","EO","Male","570","565","28100","28120"
"In post","2023","20-29","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","G6","Female","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","G6","Male","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","G7","Female","230","230","54930","54710"
"In post","2023","20-29","Declared disabled","G7","Male","130","130","55030","55120"
"In post","2023","20-29","Declared disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","HEO","Female","985","975","33280","33400"
"In post","2023","20-29","Declared disabled","HEO","Male","585","585","33570","33830"
"In post","2023","20-29","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","SEO","Female","375","375","41140","41360"
"In post","2023","20-29","Declared disabled","SEO","Male","240","240","41100","41100"
"In post","2023","20-29","Declared disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Female","440","430","26470","24890"
"In post","2023","20-29","Declared disabled","Unknown","Male","100","100","27420","25210"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","AA","Female","835","785","22630","23230"
"In post","2023","20-29","Declared non-disabled","AA","Male","640","630","22430","23230"
"In post","2023","20-29","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","AO","Female","7040","6780","24900","22520"
"In post","2023","20-29","Declared non-disabled","AO","Male","6145","6090","25600","22520"
