"Status","Year","Age","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Male","5","5","[c]","[c]"
"In post","2023","16-19","Debt","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Yorkshire and The Humber","Female","10","5","[c]","[c]"
"In post","2023","16-19","Debt","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
