"Status","Year","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","HEO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
