"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","AA","40","35","19000","19000"
"In post","2023","16-19","Department for Transport","Operational Delivery","AO","40","40","22550","22500"
"In post","2023","16-19","Department for Transport","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","AO","35","35","21820","21690"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","AA","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","AO","125","120","22700","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","AO","10","10","22960","22520"
"In post","2023","16-19","HM Revenue and Customs","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","AO","20","20","23120","22520"
"In post","2023","16-19","HM Treasury","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","AO","105","95","23050","22400"
"In post","2023","16-19","Home Office","Operational Delivery","EO","25","25","26810","25750"
"In post","2023","16-19","Home Office","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","AO","15","15","19690","19460"
"In post","2023","16-19","Ministry of Defence","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","AO","30","30","19880","18780"
"In post","2023","16-19","Ministry of Defence","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","AO","15","15","20620","19460"
"In post","2023","16-19","Ministry of Defence","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Ministry of Defence","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","AA","20","20","17820","18960"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","AO","70","70","19890","18780"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Unknown","15","15","18580","18280"
"In post","2023","16-19","Ministry of Defence","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","AA","115","115","23240","23230"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","AO","195","190","27880","28880"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Unknown","35","30","20180","19090"
"In post","2023","16-19","Ministry of Justice","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","AO","15","15","24200","24710"
"In post","2023","16-19","Scottish Government","Other","AA","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","AA","40","40","22610","22180"
"In post","2023","16-19","Scottish Government","Unknown","AO","5","5","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","EO","10","10","24840","24840"
"In post","2023","16-19","UK Statistics Authority","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Human Resources","AO","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","HEO","10","10","32560","32660"
"In post","2023","20-29","Attorney General's Departments","Communications","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","EO","20","20","27120","26620"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","HEO","15","15","33790","31180"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","AO","15","15","21480","20980"
"In post","2023","20-29","Attorney General's Departments","Finance","EO","15","15","27300","26900"
"In post","2023","20-29","Attorney General's Departments","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","AO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","EO","20","20","27450","27280"
"In post","2023","20-29","Attorney General's Departments","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","HEO","15","15","31980","31640"
"In post","2023","20-29","Attorney General's Departments","Human Resources","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","EO","170","170","29320","28200"
"In post","2023","20-29","Attorney General's Departments","Legal","G7","175","175","51570","52020"
"In post","2023","20-29","Attorney General's Departments","Legal","HEO","55","55","44530","45230"
"In post","2023","20-29","Attorney General's Departments","Legal","SEO","60","60","39580","38760"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","AO","540","530","23030","22870"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","EO","360","355","27660","27760"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","HEO","65","65","31990","31640"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","SEO","15","15","40100","38940"
"In post","2023","20-29","Attorney General's Departments","Other","EO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Other","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","SEO","10","10","39150","38940"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Commercial","EO","15","15","26590","26410"
"In post","2023","20-29","Cabinet Office","Commercial","G6","10","10","72630","72500"
"In post","2023","20-29","Cabinet Office","Commercial","G7","70","70","61500","57680"
"In post","2023","20-29","Cabinet Office","Commercial","HEO","130","130","31170","30680"
"In post","2023","20-29","Cabinet Office","Commercial","SEO","20","20","39200","40450"
"In post","2023","20-29","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Communications","G7","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Communications","HEO","30","30","34630","34740"
"In post","2023","20-29","Cabinet Office","Communications","SEO","10","10","41080","41870"
"In post","2023","20-29","Cabinet Office","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","EO","15","15","27260","28050"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","G6","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","G7","75","75","55240","56430"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","HEO","165","165","31550","30470"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","SEO","50","50","40650","41410"
"In post","2023","20-29","Cabinet Office","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Economics","G7","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Economics","HEO","10","10","35530","35440"
"In post","2023","20-29","Cabinet Office","Finance","EO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Finance","HEO","85","85","31540","30130"
"In post","2023","20-29","Cabinet Office","Finance","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Human Resources","AO","35","35","21820","21720"
"In post","2023","20-29","Cabinet Office","Human Resources","EO","45","45","26230","25170"
"In post","2023","20-29","Cabinet Office","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Human Resources","G7","15","15","53620","55790"
"In post","2023","20-29","Cabinet Office","Human Resources","HEO","45","45","32580","33020"
"In post","2023","20-29","Cabinet Office","Human Resources","SEO","15","15","39730","38460"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","EO","10","10","25320","26030"
"In post","2023","20-29","Cabinet Office","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","G7","40","40","56450","56430"
"In post","2023","20-29","Cabinet Office","Policy","HEO","35","30","35180","35650"
"In post","2023","20-29","Cabinet Office","Policy","SEO","45","45","41450","41870"
"In post","2023","20-29","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","HEO","230","230","30730","30130"
"In post","2023","20-29","Cabinet Office","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","EO","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","G7","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","HEO","40","40","30850","30130"
"In post","2023","20-29","Cabinet Office","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Science and Engineering","HEO","95","95","30290","30130"
"In post","2023","20-29","Cabinet Office","Security","AO","10","10","22090","21830"
"In post","2023","20-29","Cabinet Office","Security","EO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Security","G6","[c]","[c]","[c]","[c]"
