"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","AA/AO","AA","25","25","23500","23500"
"In post","2023","Analysis","London","AA/AO","AO","55","55","25120","24520"
"In post","2023","Analysis","London","EO","EO","355","350","29790","29660"
"In post","2023","Analysis","London","G6/G7","G6","520","495","75570","71050"
"In post","2023","Analysis","London","G6/G7","G7","1245","1205","58760","58150"
"In post","2023","Analysis","London","SCS level","SCS level","165","155","91420","83400"
"In post","2023","Analysis","London","SEO/HEO","HEO","1220","1205","36270","35850"
"In post","2023","Analysis","London","SEO/HEO","SEO","835","815","44800","44170"
"In post","2023","Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","AO","155","145","22250","22150"
"In post","2023","Analysis","Outside London","EO","EO","555","525","26480","25970"
"In post","2023","Analysis","Outside London","G6/G7","G6","290","280","68480","68260"
"In post","2023","Analysis","Outside London","G6/G7","G7","1435","1365","53500","51770"
"In post","2023","Analysis","Outside London","SCS level","SCS level","50","50","82330","75640"
"In post","2023","Analysis","Outside London","SEO/HEO","HEO","1720","1670","32280","31560"
"In post","2023","Analysis","Outside London","SEO/HEO","SEO","1685","1615","40070","39640"
"In post","2023","Analysis","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","AO","35","35","24520","23850"
"In post","2023","Commercial","London","EO","EO","120","115","30320","30120"
"In post","2023","Commercial","London","G6/G7","G6","290","285","75800","72500"
"In post","2023","Commercial","London","G6/G7","G7","565","555","60720","57450"
"In post","2023","Commercial","London","SCS level","SCS level","160","160","121540","117940"
"In post","2023","Commercial","London","SEO/HEO","HEO","295","290","34760","35300"
"In post","2023","Commercial","London","SEO/HEO","SEO","345","340","44380","43650"
"In post","2023","Commercial","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA/AO","AA","30","25","22000","22920"
"In post","2023","Commercial","Outside London","AA/AO","AO","290","275","23680","22500"
"In post","2023","Commercial","Outside London","EO","EO","620","590","27240","27080"
"In post","2023","Commercial","Outside London","G6/G7","G6","425","415","72560","70710"
"In post","2023","Commercial","Outside London","G6/G7","G7","1090","1065","57620","56000"
"In post","2023","Commercial","Outside London","SCS level","SCS level","130","130","107500","101040"
"In post","2023","Commercial","Outside London","SEO/HEO","HEO","1175","1135","33190","32810"
"In post","2023","Commercial","Outside London","SEO/HEO","SEO","1500","1455","41100","41250"
"In post","2023","Commercial","Outside London","Unknown","Unknown","165","160","42980","42620"
"In post","2023","Commercial","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","SEO","10","10","68790","69790"
"In post","2023","Commercial","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA/AO","AO","45","45","25580","25610"
"In post","2023","Communications","London","EO","EO","195","190","30430","30110"
"In post","2023","Communications","London","G6/G7","G6","205","200","70590","70650"
"In post","2023","Communications","London","G6/G7","G7","520","500","57720","56430"
"In post","2023","Communications","London","SCS level","SCS level","115","115","93510","86850"
"In post","2023","Communications","London","SEO/HEO","HEO","515","510","37110","36330"
"In post","2023","Communications","London","SEO/HEO","SEO","595","590","44490","43770"
"In post","2023","Communications","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA/AO","AO","125","115","22500","22220"
"In post","2023","Communications","Outside London","EO","EO","325","300","27750","27470"
"In post","2023","Communications","Outside London","G6/G7","G6","85","80","66480","67470"
"In post","2023","Communications","Outside London","G6/G7","G7","265","260","53840","53180"
"In post","2023","Communications","Outside London","SCS level","SCS level","20","15","78880","78740"
"In post","2023","Communications","Outside London","SEO/HEO","HEO","565","535","33520","33830"
"In post","2023","Communications","Outside London","SEO/HEO","SEO","550","520","40980","41050"
"In post","2023","Communications","Outside London","Unknown","Unknown","20","20","37080","33340"
"In post","2023","Communications","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA/AO","AO","445","400","25690","25610"
"In post","2023","Counter Fraud","London","EO","EO","1345","1280","32480","32520"
"In post","2023","Counter Fraud","London","G6/G7","G6","115","105","74670","77100"
"In post","2023","Counter Fraud","London","G6/G7","G7","275","260","63100","65230"
"In post","2023","Counter Fraud","London","SCS level","SCS level","25","25","92890","84160"
"In post","2023","Counter Fraud","London","SEO/HEO","HEO","955","925","39460","39480"
"In post","2023","Counter Fraud","London","SEO/HEO","SEO","450","440","45500","45960"
"In post","2023","Counter Fraud","Outside London","AA/AO","AA","15","15","22060","22200"
"In post","2023","Counter Fraud","Outside London","AA/AO","AO","1815","1570","22570","22520"
"In post","2023","Counter Fraud","Outside London","EO","EO","6090","5585","28420","28120"
"In post","2023","Counter Fraud","Outside London","G6/G7","G6","205","195","70700","71300"
"In post","2023","Counter Fraud","Outside London","G6/G7","G7","695","660","57170","57970"
"In post","2023","Counter Fraud","Outside London","SCS level","SCS level","25","20","80020","78250"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","HEO","3445","3270","34970","34700"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","SEO","1230","1170","42090","42510"
"In post","2023","Counter Fraud","Unknown","EO","EO","[c]","[c]","[c]","[c]"
