"Status","Year","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA/AO","Heterosexual / straight","145","140","22940","22520"
"In post","2023","Analysis","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","AA/AO","Unknown","65","60","23020","23100"
"In post","2023","Analysis","EO","Heterosexual / straight","560","535","27920","27840"
"In post","2023","Analysis","EO","LGBO","70","70","26910","26400"
"In post","2023","Analysis","EO","Undeclared","50","50","27980","27840"
"In post","2023","Analysis","EO","Unknown","235","225","27640","26310"
"In post","2023","Analysis","G6/G7","Heterosexual / straight","2525","2405","60260","58290"
"In post","2023","Analysis","G6/G7","LGBO","195","190","59470","57290"
"In post","2023","Analysis","G6/G7","Undeclared","230","220","61920","60230"
"In post","2023","Analysis","G6/G7","Unknown","550","530","57620","55740"
"In post","2023","Analysis","SCS level","Heterosexual / straight","170","160","88710","82210"
"In post","2023","Analysis","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","SEO/HEO","Heterosexual / straight","3525","3410","37800","38030"
"In post","2023","Analysis","SEO/HEO","LGBO","445","440","36790","36460"
"In post","2023","Analysis","SEO/HEO","Undeclared","360","350","37930","37760"
"In post","2023","Analysis","SEO/HEO","Unknown","1130","1110","36660","37300"
"In post","2023","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","Heterosexual / straight","205","190","23420","22500"
"In post","2023","Commercial","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2023","Commercial","AA/AO","Unknown","110","105","24380","22920"
"In post","2023","Commercial","EO","Heterosexual / straight","520","490","27680","27140"
"In post","2023","Commercial","EO","LGBO","40","40","27620","27140"
"In post","2023","Commercial","EO","Undeclared","55","50","27780","27400"
"In post","2023","Commercial","EO","Unknown","130","125","28020","27470"
"In post","2023","Commercial","G6/G7","Heterosexual / straight","1655","1620","63330","62010"
"In post","2023","Commercial","G6/G7","LGBO","90","85","61420","56910"
"In post","2023","Commercial","G6/G7","Undeclared","190","185","61790","59400"
"In post","2023","Commercial","G6/G7","Unknown","450","445","64340","65500"
"In post","2023","Commercial","SCS level","Heterosexual / straight","230","225","114070","107520"
"In post","2023","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","Unknown","45","45","120480","115590"
"In post","2023","Commercial","SEO/HEO","Heterosexual / straight","2435","2360","38330","38050"
"In post","2023","Commercial","SEO/HEO","LGBO","125","120","37630","37590"
"In post","2023","Commercial","SEO/HEO","Undeclared","275","260","39020","40570"
"In post","2023","Commercial","SEO/HEO","Unknown","505","495","37130","37300"
"In post","2023","Commercial","Unknown","Heterosexual / straight","130","125","43310","42620"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","AA/AO","Heterosexual / straight","115","110","23270","22500"
"In post","2023","Communications","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","EO","Heterosexual / straight","350","330","28670","28220"
"In post","2023","Communications","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Communications","EO","Undeclared","55","50","28840","28100"
"In post","2023","Communications","EO","Unknown","90","85","29280","28620"
"In post","2023","Communications","G6/G7","Heterosexual / straight","720","695","59890","57970"
"In post","2023","Communications","G6/G7","LGBO","65","65","60800","59290"
"In post","2023","Communications","G6/G7","Undeclared","75","75","60520","58870"
"In post","2023","Communications","G6/G7","Unknown","215","205","59520","56530"
"In post","2023","Communications","SCS level","Heterosexual / straight","90","90","91100","84210"
"In post","2023","Communications","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","SEO/HEO","Heterosexual / straight","1430","1370","39120","39290"
"In post","2023","Communications","SEO/HEO","LGBO","145","145","39710","40570"
"In post","2023","Communications","SEO/HEO","Undeclared","165","160","38840","38940"
"In post","2023","Communications","SEO/HEO","Unknown","490","480","39200","39460"
"In post","2023","Communications","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","Heterosexual / straight","1455","1285","23180","22520"
"In post","2023","Counter Fraud","AA/AO","LGBO","95","85","23190","22520"
"In post","2023","Counter Fraud","AA/AO","Undeclared","250","210","23120","22520"
"In post","2023","Counter Fraud","AA/AO","Unknown","480","405","23210","22520"
"In post","2023","Counter Fraud","EO","Heterosexual / straight","4875","4510","29110","28120"
"In post","2023","Counter Fraud","EO","LGBO","300","295","29070","28120"
"In post","2023","Counter Fraud","EO","Undeclared","580","520","29150","28130"
"In post","2023","Counter Fraud","EO","Unknown","1680","1540","29320","28130"
"In post","2023","Counter Fraud","G6/G7","Heterosexual / straight","910","870","62300","57970"
"In post","2023","Counter Fraud","G6/G7","LGBO","55","50","60290","57970"
"In post","2023","Counter Fraud","G6/G7","Undeclared","155","145","62890","58920"
"In post","2023","Counter Fraud","G6/G7","Unknown","175","165","60910","57970"
"In post","2023","Counter Fraud","SCS level","Heterosexual / straight","35","35","84310","81120"
"In post","2023","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","Heterosexual / straight","4065","3875","37810","35070"
"In post","2023","Counter Fraud","SEO/HEO","LGBO","240","240","37220","35000"
"In post","2023","Counter Fraud","SEO/HEO","Undeclared","525","495","38270","36990"
"In post","2023","Counter Fraud","SEO/HEO","Unknown","1260","1205","38120","36380"
"In post","2023","Debt","AA/AO","Heterosexual / straight","3445","3045","22490","22520"
"In post","2023","Debt","AA/AO","LGBO","270","255","22420","22520"
"In post","2023","Debt","AA/AO","Undeclared","375","325","22520","22520"
"In post","2023","Debt","AA/AO","Unknown","1845","1670","22850","22520"
"In post","2023","Debt","EO","Heterosexual / straight","865","785","28710","28120"
"In post","2023","Debt","EO","LGBO","80","80","28580","28120"
"In post","2023","Debt","EO","Undeclared","95","85","29320","28130"
"In post","2023","Debt","EO","Unknown","330","305","29060","28130"
"In post","2023","Debt","G6/G7","Heterosexual / straight","40","40","61680","57970"
"In post","2023","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SEO/HEO","Heterosexual / straight","300","275","36970","35000"
"In post","2023","Debt","SEO/HEO","LGBO","15","10","[c]","[c]"
"In post","2023","Debt","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Debt","SEO/HEO","Unknown","65","65","36980","35000"
"In post","2023","Digital, Data & Technology","AA/AO","Heterosexual / straight","615","590","22850","22220"
"In post","2023","Digital, Data & Technology","AA/AO","LGBO","45","45","21920","21690"
"In post","2023","Digital, Data & Technology","AA/AO","Undeclared","85","85","22390","22220"
"In post","2023","Digital, Data & Technology","AA/AO","Unknown","140","135","22990","22520"
"In post","2023","Digital, Data & Technology","EO","Heterosexual / straight","2555","2435","28470","28120"
"In post","2023","Digital, Data & Technology","EO","LGBO","185","180","27910","27650"
"In post","2023","Digital, Data & Technology","EO","Undeclared","375","365","28720","28120"
"In post","2023","Digital, Data & Technology","EO","Unknown","870","835","28650","28120"
"In post","2023","Digital, Data & Technology","G6/G7","Heterosexual / straight","5280","5175","59060","57500"
"In post","2023","Digital, Data & Technology","G6/G7","LGBO","370","365","58480","56430"
"In post","2023","Digital, Data & Technology","G6/G7","Undeclared","715","700","59590","57970"
"In post","2023","Digital, Data & Technology","G6/G7","Unknown","1330","1305","59780","57970"
"In post","2023","Digital, Data & Technology","SCS level","Heterosexual / straight","280","280","95700","89600"
"In post","2023","Digital, Data & Technology","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","SCS level","Unknown","75","75","103830","99320"
"In post","2023","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","8785","8545","38710","38470"
"In post","2023","Digital, Data & Technology","SEO/HEO","LGBO","605","600","37470","37420"
"In post","2023","Digital, Data & Technology","SEO/HEO","Undeclared","1300","1250","39090","38940"
"In post","2023","Digital, Data & Technology","SEO/HEO","Unknown","2590","2540","38450","38030"
"In post","2023","Digital, Data & Technology","Unknown","Heterosexual / straight","80","75","37510","33990"
"In post","2023","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Finance","AA/AO","Heterosexual / straight","1140","990","22790","22520"
"In post","2023","Finance","AA/AO","LGBO","45","45","23060","22520"
"In post","2023","Finance","AA/AO","Undeclared","165","140","22550","22520"
"In post","2023","Finance","AA/AO","Unknown","600","510","23090","22520"
"In post","2023","Finance","EO","Heterosexual / straight","1405","1330","28340","28070"
"In post","2023","Finance","EO","LGBO","80","75","27970","28120"
"In post","2023","Finance","EO","Undeclared","180","165","28490","28120"
"In post","2023","Finance","EO","Unknown","360","345","28520","28120"
"In post","2023","Finance","G6/G7","Heterosexual / straight","2185","2125","59960","58110"
"In post","2023","Finance","G6/G7","LGBO","105","100","59980","59000"
"In post","2023","Finance","G6/G7","Undeclared","245","235","60560","59180"
"In post","2023","Finance","G6/G7","Unknown","400","390","62040","59290"
"In post","2023","Finance","SCS level","Heterosexual / straight","255","250","91210","82390"
"In post","2023","Finance","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Finance","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Finance","SCS level","Unknown","45","45","91760","86480"
"In post","2023","Finance","SEO/HEO","Heterosexual / straight","4075","3915","38730","38470"
"In post","2023","Finance","SEO/HEO","LGBO","195","190","37340","35790"
"In post","2023","Finance","SEO/HEO","Undeclared","480","460","39500","38470"
"In post","2023","Finance","SEO/HEO","Unknown","810","790","38600","38470"
"In post","2023","Finance","Unknown","Heterosexual / straight","50","50","56050","54510"
"In post","2023","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Grants Management","AA/AO","Heterosexual / straight","910","820","22130","22150"
"In post","2023","Grants Management","AA/AO","LGBO","90","90","22130","22150"
"In post","2023","Grants Management","AA/AO","Undeclared","130","125","22130","22150"
"In post","2023","Grants Management","AA/AO","Unknown","290","265","22110","22150"
"In post","2023","Grants Management","EO","Heterosexual / straight","445","415","26070","25920"
"In post","2023","Grants Management","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Grants Management","EO","Undeclared","70","65","26170","25920"
"In post","2023","Grants Management","EO","Unknown","110","100","26240","25920"
"In post","2023","Grants Management","G6/G7","Heterosexual / straight","70","70","54510","50740"
"In post","2023","Grants Management","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Grants Management","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Grants Management","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Grants Management","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Grants Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","SEO/HEO","Heterosexual / straight","285","270","33580","31490"
"In post","2023","Grants Management","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Grants Management","SEO/HEO","Undeclared","35","30","33700","31640"
"In post","2023","Grants Management","SEO/HEO","Unknown","85","80","34230","32250"
"In post","2023","Human Resources","AA/AO","Heterosexual / straight","905","830","22590","22220"
"In post","2023","Human Resources","AA/AO","LGBO","45","45","22740","22490"
"In post","2023","Human Resources","AA/AO","Undeclared","95","90","22490","22220"
"In post","2023","Human Resources","AA/AO","Unknown","200","190","22910","22220"
"In post","2023","Human Resources","EO","Heterosexual / straight","2630","2490","28570","28120"
"In post","2023","Human Resources","EO","LGBO","135","130","27700","27890"
"In post","2023","Human Resources","EO","Undeclared","335","320","29010","28120"
"In post","2023","Human Resources","EO","Unknown","495","475","28820","28120"
"In post","2023","Human Resources","G6/G7","Heterosexual / straight","2165","2100","59100","57970"
"In post","2023","Human Resources","G6/G7","LGBO","160","160","58360","56070"
"In post","2023","Human Resources","G6/G7","Undeclared","155","150","59420","58320"
"In post","2023","Human Resources","G6/G7","Unknown","285","275","60220","57970"
"In post","2023","Human Resources","SCS level","Heterosexual / straight","215","205","90270","82400"
"In post","2023","Human Resources","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Human Resources","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Human Resources","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Human Resources","SEO/HEO","Heterosexual / straight","4770","4570","37840","37300"
"In post","2023","Human Resources","SEO/HEO","LGBO","315","305","36910","35650"
"In post","2023","Human Resources","SEO/HEO","Undeclared","435","415","38090","36920"
"In post","2023","Human Resources","SEO/HEO","Unknown","920","890","40850","38470"
"In post","2023","Human Resources","Unknown","Heterosexual / straight","85","80","39600","38290"
"In post","2023","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Human Resources","Unknown","Unknown","15","10","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Heterosexual / straight","180","175","58980","58080"
"In post","2023","Internal Audit","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","Heterosexual / straight","330","310","41680","42510"
"In post","2023","Internal Audit","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","Undeclared","40","40","41470","42700"
"In post","2023","Internal Audit","SEO/HEO","Unknown","35","35","41950","42040"
"In post","2023","Legal","AA/AO","Heterosexual / straight","1315","1230","23210","22870"
"In post","2023","Legal","AA/AO","LGBO","100","100","22880","22870"
"In post","2023","Legal","AA/AO","Undeclared","75","70","23330","22870"
"In post","2023","Legal","AA/AO","Unknown","345","295","23680","22870"
