"Status","Year","Age","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Heterosexual / straight","65","60","23670","22520"
"In post","2023","16-19","Declared non-disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","Heterosexual / straight","450","440","23770","22870"
"In post","2023","16-19","Declared non-disabled","White","LGBO","55","55","24120","22520"
"In post","2023","16-19","Declared non-disabled","White","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","Unknown","5","5","[c]","[c]"
