"Status","Year","Disability","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Analysis","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Female","80","70","32180","32260"
"In post","2023","Declared disabled","Asian","Counter Fraud","Male","75","75","32790","32390"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Female","55","50","24730","22520"
"In post","2023","Declared disabled","Asian","Debt","Male","40","35","24070","22520"
"In post","2023","Declared disabled","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Female","55","50","41700","38490"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Male","90","90","41730","37680"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Female","45","45","39510","38080"
"In post","2023","Declared disabled","Asian","Finance","Male","45","40","40610","37850"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Female","85","80","39310","38470"
"In post","2023","Declared disabled","Asian","Human Resources","Male","30","30","37430","36940"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Female","95","90","42290","35000"
"In post","2023","Declared disabled","Asian","Legal","Male","40","35","43620","35000"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Female","1470","1290","31060","28120"
"In post","2023","Declared disabled","Asian","No function","Male","995","940","31740","28130"
"In post","2023","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Female","80","75","43890","41430"
"In post","2023","Declared disabled","Asian","Project Delivery","Male","60","55","42190","39400"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Female","45","40","36610","32960"
"In post","2023","Declared disabled","Asian","Unknown","Male","40","40","36980","33080"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Female","90","80","31310","32520"
"In post","2023","Declared disabled","Black","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Female","45","45","40870","37660"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Male","35","35","43240","39790"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Female","55","50","43730","41060"
"In post","2023","Declared disabled","Black","Human Resources","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Female","60","55","41990","36920"
"In post","2023","Declared disabled","Black","Legal","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","No function","Female","1235","1140","32460","30930"
"In post","2023","Declared disabled","Black","No function","Male","415","405","33160","32260"
"In post","2023","Declared disabled","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Female","60","60","44540","40600"
"In post","2023","Declared disabled","Black","Project Delivery","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Female","30","30","31240","31280"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Male","35","35","43730","40930"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Female","50","50","42250","38930"
"In post","2023","Declared disabled","Mixed","Human Resources","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","No function","Female","700","640","32390","29000"
"In post","2023","Declared disabled","Mixed","No function","Male","400","380","34130","30320"
"In post","2023","Declared disabled","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Female","40","40","37560","35000"
"In post","2023","Declared disabled","Mixed","Project Delivery","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Female","45","45","36410","32520"
"In post","2023","Declared disabled","Mixed","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Male","[c]","[c]","[c]","[c]"
