"Status","Year","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO","Female","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","G6","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","G7","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","G7","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","HEO","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AO","Female","40","30","21960","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","AO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Female","175","155","25990","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Male","120","120","25780","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G7","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G7","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","HEO","Female","275","245","33880","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","HEO","Male","170","160","34170","32340"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO","Female","80","75","43590","41850"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO","Male","85","80","44140","43780"
"In post","2023","Animal and Plant Health Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AO","Female","610","560","22900","22150"
"In post","2023","Animal and Plant Health Agency","AO","Male","330","325","23110","22150"
"In post","2023","Animal and Plant Health Agency","EO","Female","490","465","27190","25920"
"In post","2023","Animal and Plant Health Agency","EO","Male","340","330","27350","26030"
"In post","2023","Animal and Plant Health Agency","G6","Female","30","30","62850","61980"
"In post","2023","Animal and Plant Health Agency","G6","Male","35","35","63420","62720"
"In post","2023","Animal and Plant Health Agency","G7","Female","110","105","51820","50370"
"In post","2023","Animal and Plant Health Agency","G7","Male","95","95","52700","53300"
"In post","2023","Animal and Plant Health Agency","HEO","Female","310","295","31830","30640"
"In post","2023","Animal and Plant Health Agency","HEO","Male","210","205","31930","31000"
"In post","2023","Animal and Plant Health Agency","SCS level","Female","[c]","[c]","[c]","[c]"
