"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","London","EO","20","15","[c]","[c]"
"In post","2023","Asian","Commercial","London","G6/G7","75","75","64660","64820"
"In post","2023","Asian","Commercial","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","London","SEO/HEO","100","95","38930","38620"
"In post","2023","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","G6/G7","45","45","60610","58950"
"In post","2023","Asian","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","SEO/HEO","110","105","36360","34300"
"In post","2023","Asian","Commercial","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Communications","London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Communications","London","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","SEO/HEO","75","70","40600","41020"
"In post","2023","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","EO","15","10","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","AA/AO","120","105","25230","25610"
"In post","2023","Asian","Counter Fraud","London","EO","180","165","32240","32520"
"In post","2023","Asian","Counter Fraud","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","SEO/HEO","85","80","40500","39450"
"In post","2023","Asian","Counter Fraud","Outside London","AA/AO","95","80","22660","21690"
"In post","2023","Asian","Counter Fraud","Outside London","EO","265","255","28580","28120"
"In post","2023","Asian","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Outside London","SEO/HEO","100","95","35670","34700"
"In post","2023","Asian","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","EO","85","85","31010","30340"
"In post","2023","Asian","Digital, Data and Technology","London","G6/G7","335","335","62530","61150"
"In post","2023","Asian","Digital, Data and Technology","London","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","SEO/HEO","410","405","40930","41580"
"In post","2023","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Outside London","AA/AO","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Outside London","EO","185","180","27740","27650"
"In post","2023","Asian","Digital, Data and Technology","Outside London","G6/G7","240","240","57540","56100"
"In post","2023","Asian","Digital, Data and Technology","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Outside London","SEO/HEO","485","480","37880","37780"
"In post","2023","Asian","Digital, Data and Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Economics","London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Economics","London","G6/G7","75","75","61300","59370"
"In post","2023","Asian","Economics","London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Economics","London","SEO/HEO","80","80","37920","36400"
"In post","2023","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","SEO/HEO","30","30","36310","35000"
"In post","2023","Asian","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","AA/AO","25","20","[c]","[c]"
"In post","2023","Asian","Finance","London","EO","70","70","30420","30200"
"In post","2023","Asian","Finance","London","G6/G7","135","130","62420","60740"
"In post","2023","Asian","Finance","London","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Finance","London","SEO/HEO","280","270","41430","41370"
"In post","2023","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Outside London","AA/AO","50","45","23320","22520"
"In post","2023","Asian","Finance","Outside London","EO","95","95","27500","27440"
"In post","2023","Asian","Finance","Outside London","G6/G7","70","70","56550","55610"
"In post","2023","Asian","Finance","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Outside London","SEO/HEO","210","205","37520","37590"
"In post","2023","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","AA/AO","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","London","EO","90","90","30300","29750"
"In post","2023","Asian","Human Resources","London","G6/G7","85","80","61550","59610"
"In post","2023","Asian","Human Resources","London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","London","SEO/HEO","190","185","39650","39150"
"In post","2023","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","AA/AO","35","35","22650","22220"
"In post","2023","Asian","Human Resources","Outside London","EO","70","65","27090","26940"
"In post","2023","Asian","Human Resources","Outside London","G6/G7","30","30","55770","53800"
"In post","2023","Asian","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","SEO/HEO","145","140","36500","35880"
"In post","2023","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","AA/AO","15","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","EO","85","80","30470","30160"
"In post","2023","Asian","Intelligence Analysis","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","SEO/HEO","40","35","38990","36740"
"In post","2023","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","EO","35","30","26870","26130"
"In post","2023","Asian","Intelligence Analysis","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
