"Status","Year","Age","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Female","45","45","21500","20980"
"In post","2023","16-19","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Female","15","15","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Male","20","20","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","Female","55","50","21200","22500"
"In post","2023","16-19","Department for Transport","Male","40","35","22690","22500"
"In post","2023","16-19","Department for Work and Pensions","Female","40","40","23090","21690"
"In post","2023","16-19","Department for Work and Pensions","Male","35","35","23000","21690"
"In post","2023","16-19","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Female","90","90","22990","22520"
"In post","2023","16-19","HM Revenue and Customs","Male","105","100","23530","22520"
"In post","2023","16-19","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Female","75","70","23820","22400"
"In post","2023","16-19","Home Office","Male","60","60","24130","22400"
"In post","2023","16-19","Ministry of Defence","Female","60","60","20720","19620"
"In post","2023","16-19","Ministry of Defence","Male","175","175","20000","18780"
"In post","2023","16-19","Ministry of Justice","Female","200","195","25160","23230"
"In post","2023","16-19","Ministry of Justice","Male","145","145","26200","27270"
"In post","2023","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Female","40","40","23170","22920"
"In post","2023","16-19","Scottish Government","Male","40","35","23090","23130"
"In post","2023","16-19","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Female","15","15","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Male","15","15","[c]","[c]"
"In post","2023","16-19","Welsh Government","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Female","1205","1190","30750","27760"
"In post","2023","20-29","Attorney General's Departments","Male","520","515","31270","27760"
"In post","2023","20-29","Cabinet Office","Female","1735","1725","34510","30140"
"In post","2023","20-29","Cabinet Office","Male","1245","1245","35460","32250"
"In post","2023","20-29","Chancellor's other departments","Female","25","25","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Male","45","45","38730","36480"
"In post","2023","20-29","Charity Commission","Female","50","50","28600","27960"
"In post","2023","20-29","Charity Commission","Male","25","25","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Female","90","90","37890","34110"
"In post","2023","20-29","Competition and Markets Authority","Male","85","80","39230","34110"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Female","1620","1610","37810","35790"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Male","1495","1495","38890","37420"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","Female","370","370","40040","35620"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","Male","295","295","40670","36250"
"In post","2023","20-29","Department for Education","Female","1020","1010","37370","36760"
