"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared non-disabled","Security","500","[c]","33250","28120"
"Leaver CS","2023","Declared non-disabled","Unknown","1010","[c]","42780","38160"
"Leaver CS","2023","Undeclared","Analysis","40","[c]","43410","37590"
"Leaver CS","2023","Undeclared","Commercial","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Counter Fraud","45","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Debt","35","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Digital, Data & Technology","85","[c]","43840","40530"
"Leaver CS","2023","Undeclared","Finance","55","[c]","42320","38350"
"Leaver CS","2023","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Human Resources","85","[c]","33260","30620"
"Leaver CS","2023","Undeclared","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Legal","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","No function","1765","[c]","33080","28120"
"Leaver CS","2023","Undeclared","Project Delivery","60","[c]","46950","40000"
"Leaver CS","2023","Undeclared","Property","35","[c]","33800","32950"
"Leaver CS","2023","Undeclared","Security","70","[c]","33350","33150"
"Leaver CS","2023","Undeclared","Unknown","40","[c]","39480","36000"
"Leaver CS","2023","Unknown","Analysis","390","[c]","35200","30710"
"Leaver CS","2023","Unknown","Commercial","270","[c]","56050","56000"
"Leaver CS","2023","Unknown","Communications","120","[c]","39240","37610"
"Leaver CS","2023","Unknown","Counter Fraud","155","[c]","34970","28120"
"Leaver CS","2023","Unknown","Debt","235","[c]","22060","21690"
"Leaver CS","2023","Unknown","Digital, Data & Technology","625","[c]","43640","39520"
"Leaver CS","2023","Unknown","Finance","190","[c]","38760","34550"
"Leaver CS","2023","Unknown","Grants Management","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Human Resources","315","[c]","35350","30650"
"Leaver CS","2023","Unknown","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Legal","190","[c]","42070","38220"
"Leaver CS","2023","Unknown","No function","7380","[c]","32010","26780"
"Leaver CS","2023","Unknown","Project Delivery","290","[c]","40450","38790"
"Leaver CS","2023","Unknown","Property","185","[c]","32120","26890"
"Leaver CS","2023","Unknown","Security","270","[c]","30420","27500"
"Leaver CS","2023","Unknown","Unknown","1720","[c]","36960","32480"
"Leaver Dept.","2023","Declared disabled","Analysis","40","[c]","39140","36590"
"Leaver Dept.","2023","Declared disabled","Commercial","35","[c]","39240","38630"
"Leaver Dept.","2023","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","50","[c]","28910","28120"
"Leaver Dept.","2023","Declared disabled","Debt","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","75","[c]","43230","38690"
"Leaver Dept.","2023","Declared disabled","Finance","45","[c]","41520","34170"
"Leaver Dept.","2023","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","100","[c]","38040","34550"
"Leaver Dept.","2023","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Legal","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","No function","930","[c]","34220","29080"
"Leaver Dept.","2023","Declared disabled","Project Delivery","50","[c]","35320","34300"
"Leaver Dept.","2023","Declared disabled","Property","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Security","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","55","[c]","41000","37380"
"Leaver Dept.","2023","Declared non-disabled","Analysis","300","[c]","44070","39470"
"Leaver Dept.","2023","Declared non-disabled","Commercial","150","[c]","39750","39600"
"Leaver Dept.","2023","Declared non-disabled","Communications","170","[c]","42090","39070"
"Leaver Dept.","2023","Declared non-disabled","Counter Fraud","205","[c]","31130","28120"
"Leaver Dept.","2023","Declared non-disabled","Debt","115","[c]","23180","21690"
"Leaver Dept.","2023","Declared non-disabled","Digital, Data & Technology","420","[c]","42430","38470"
"Leaver Dept.","2023","Declared non-disabled","Finance","270","[c]","45370","39150"
"Leaver Dept.","2023","Declared non-disabled","Grants Management","55","[c]","25040","22150"
"Leaver Dept.","2023","Declared non-disabled","Human Resources","510","[c]","37250","32950"
"Leaver Dept.","2023","Declared non-disabled","Internal Audit","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Legal","165","[c]","46370","43920"
"Leaver Dept.","2023","Declared non-disabled","No function","5620","[c]","36200","31060"
"Leaver Dept.","2023","Declared non-disabled","Project Delivery","280","[c]","42580","39150"
"Leaver Dept.","2023","Declared non-disabled","Property","130","[c]","38380","34170"
"Leaver Dept.","2023","Declared non-disabled","Security","140","[c]","35060","33020"
"Leaver Dept.","2023","Declared non-disabled","Unknown","310","[c]","40550","36900"
"Leaver Dept.","2023","Undeclared","Analysis","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Commercial","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Counter Fraud","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Debt","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Digital, Data & Technology","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Finance","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Human Resources","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Legal","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","No function","460","[c]","36190","31290"
"Leaver Dept.","2023","Undeclared","Project Delivery","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Property","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Security","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Analysis","195","[c]","37100","34000"
"Leaver Dept.","2023","Unknown","Commercial","95","[c]","39500","37630"
"Leaver Dept.","2023","Unknown","Communications","100","[c]","38110","34430"
"Leaver Dept.","2023","Unknown","Counter Fraud","65","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Debt","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Digital, Data & Technology","225","[c]","40320","37590"
"Leaver Dept.","2023","Unknown","Finance","130","[c]","40100","33250"
"Leaver Dept.","2023","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Human Resources","125","[c]","37760","32400"
"Leaver Dept.","2023","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Legal","90","[c]","41810","32660"
"Leaver Dept.","2023","Unknown","No function","2030","[c]","37820","33790"
"Leaver Dept.","2023","Unknown","Project Delivery","185","[c]","36470","33250"
"Leaver Dept.","2023","Unknown","Property","45","[c]","31740","25830"
"Leaver Dept.","2023","Unknown","Security","65","[c]","31660","27500"
"Leaver Dept.","2023","Unknown","Unknown","955","[c]","36340","32000"
"New entrant CS","2023","Declared disabled","Analysis","120","[c]","33260","31560"
"New entrant CS","2023","Declared disabled","Commercial","65","[c]","39750","33830"
"New entrant CS","2023","Declared disabled","Communications","35","[c]","39040","37540"
"New entrant CS","2023","Declared disabled","Counter Fraud","75","[c]","28510","27240"
"New entrant CS","2023","Declared disabled","Debt","120","[c]","22270","21690"
"New entrant CS","2023","Declared disabled","Digital, Data & Technology","235","[c]","37220","34170"
"New entrant CS","2023","Declared disabled","Finance","65","[c]","36270","31110"
"New entrant CS","2023","Declared disabled","Grants Management","55","[c]","22810","22150"
"New entrant CS","2023","Declared disabled","Human Resources","110","[c]","31090","28180"
"New entrant CS","2023","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Legal","145","[c]","31460","26900"
"New entrant CS","2023","Declared disabled","No function","2200","[c]","26850","23640"
"New entrant CS","2023","Declared disabled","Project Delivery","125","[c]","32690","30650"
"New entrant CS","2023","Declared disabled","Property","55","[c]","34510","30620"
"New entrant CS","2023","Declared disabled","Security","45","[c]","31660","28120"
"New entrant CS","2023","Declared disabled","Unknown","340","[c]","30670","29100"
"New entrant CS","2023","Declared non-disabled","Analysis","690","[c]","34490","32300"
"New entrant CS","2023","Declared non-disabled","Commercial","315","[c]","45990","37300"
"New entrant CS","2023","Declared non-disabled","Communications","250","[c]","38720","35320"
"New entrant CS","2023","Declared non-disabled","Counter Fraud","445","[c]","28560","27650"
"New entrant CS","2023","Declared non-disabled","Debt","910","[c]","22720","22520"
"New entrant CS","2023","Declared non-disabled","Digital, Data & Technology","1605","[c]","40250","37500"
"New entrant CS","2023","Declared non-disabled","Finance","400","[c]","34920","32080"
"New entrant CS","2023","Declared non-disabled","Grants Management","250","[c]","22860","22150"
"New entrant CS","2023","Declared non-disabled","Human Resources","445","[c]","35190","31640"
"New entrant CS","2023","Declared non-disabled","Internal Audit","30","[c]","45790","43160"
"New entrant CS","2023","Declared non-disabled","Legal","1020","[c]","35680","29660"
"New entrant CS","2023","Declared non-disabled","No function","14365","[c]","28300","25290"
"New entrant CS","2023","Declared non-disabled","Project Delivery","690","[c]","39560","34400"
"New entrant CS","2023","Declared non-disabled","Property","375","[c]","34010","27650"
"New entrant CS","2023","Declared non-disabled","Security","210","[c]","30820","27500"
"New entrant CS","2023","Declared non-disabled","Unknown","1270","[c]","33860","29100"
"New entrant CS","2023","Undeclared","Analysis","45","[c]","34790","33300"
"New entrant CS","2023","Undeclared","Commercial","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Communications","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Counter Fraud","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Debt","40","[c]","22410","22520"
"New entrant CS","2023","Undeclared","Digital, Data & Technology","75","[c]","41570","38300"
"New entrant CS","2023","Undeclared","Finance","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Grants Management","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Human Resources","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Legal","40","[c]","34490","27760"
"New entrant CS","2023","Undeclared","No function","745","[c]","27910","24330"
"New entrant CS","2023","Undeclared","Project Delivery","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Property","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Security","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","55","[c]","29630","29100"
"New entrant CS","2023","Unknown","Analysis","630","[c]","32440","31060"
"New entrant CS","2023","Unknown","Commercial","345","[c]","32790","30320"
"New entrant CS","2023","Unknown","Communications","260","[c]","37590","35400"
"New entrant CS","2023","Unknown","Counter Fraud","115","[c]","29980","28120"
"New entrant CS","2023","Unknown","Debt","610","[c]","22930","22520"
"New entrant CS","2023","Unknown","Digital, Data & Technology","1285","[c]","38620","34400"
"New entrant CS","2023","Unknown","Finance","360","[c]","31550","28770"
"New entrant CS","2023","Unknown","Grants Management","75","[c]","23510","22150"
"New entrant CS","2023","Unknown","Human Resources","595","[c]","32230","28840"
"New entrant CS","2023","Unknown","Internal Audit","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Legal","345","[c]","35120","29660"
"New entrant CS","2023","Unknown","No function","18695","[c]","27810","25750"
"New entrant CS","2023","Unknown","Project Delivery","965","[c]","36260","33500"
"New entrant CS","2023","Unknown","Property","465","[c]","30490","27080"
"New entrant CS","2023","Unknown","Security","710","[c]","29600","27500"
"New entrant CS","2023","Unknown","Unknown","3040","[c]","30930","29100"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
