"Status","Year","Age","Disability","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","AA","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","AO","25","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","AO","55","50","22650","22520"
"In post","2023","16-19","Declared non-disabled","Asian","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","AA","115","110","21420","23230"
"In post","2023","16-19","Declared non-disabled","White","AO","330","320","24140","22520"
"In post","2023","16-19","Declared non-disabled","White","EO","60","60","27160","27650"
"In post","2023","16-19","Declared non-disabled","White","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Undeclared","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","AA","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","White","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","AO","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AA","105","100","21860","22180"
"In post","2023","16-19","Unknown","Unknown","AO","355","345","23190","22500"
"In post","2023","16-19","Unknown","Unknown","EO","55","55","26660","25750"
"In post","2023","16-19","Unknown","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","60","55","20230","19090"
"In post","2023","16-19","Unknown","White","AA","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","White","AO","85","80","21870","22360"
"In post","2023","16-19","Unknown","White","EO","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","White","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","White","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","AA","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","AO","115","110","23500","22400"
"In post","2023","20-29","Declared disabled","Asian","EO","140","140","29060","28120"
"In post","2023","20-29","Declared disabled","Asian","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","HEO","125","125","33980","34170"
"In post","2023","20-29","Declared disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","SEO","35","35","41770","41450"
"In post","2023","20-29","Declared disabled","Asian","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","AA","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","AO","50","50","26300","25480"
"In post","2023","20-29","Declared disabled","Black","EO","80","80","30310","31270"
"In post","2023","20-29","Declared disabled","Black","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","HEO","45","45","34640","34310"
"In post","2023","20-29","Declared disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","SEO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","AA","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","AO","75","70","24680","22520"
"In post","2023","20-29","Declared disabled","Mixed","EO","75","75","28730","28120"
"In post","2023","20-29","Declared disabled","Mixed","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","HEO","100","100","33290","33200"
"In post","2023","20-29","Declared disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","SEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","AO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","EO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","HEO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","AO","30","30","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","EO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","SEO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","AA","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","AO","45","40","25540","24010"
"In post","2023","20-29","Declared disabled","Unknown","EO","45","45","28920","28120"
"In post","2023","20-29","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","HEO","30","30","32690","31920"
"In post","2023","20-29","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","SEO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","AA","170","165","22440","23230"
"In post","2023","20-29","Declared disabled","White","AO","1385","1340","24350","22520"
"In post","2023","20-29","Declared disabled","White","EO","1165","1145","28210","28120"
"In post","2023","20-29","Declared disabled","White","G6","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","G7","305","300","54800","54710"
"In post","2023","20-29","Declared disabled","White","HEO","1220","1210","33300","33520"
"In post","2023","20-29","Declared disabled","White","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","SEO","510","505","41080","41200"
"In post","2023","20-29","Declared disabled","White","Unknown","465","455","26640","24570"
"In post","2023","20-29","Declared non-disabled","Asian","AA","60","50","22520","23000"
"In post","2023","20-29","Declared non-disabled","Asian","AO","1640","1575","23420","22520"
"In post","2023","20-29","Declared non-disabled","Asian","EO","1690","1660","28910","28120"
"In post","2023","20-29","Declared non-disabled","Asian","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Asian","G7","235","235","56140","55190"
"In post","2023","20-29","Declared non-disabled","Asian","HEO","1035","1025","35020","34700"
"In post","2023","20-29","Declared non-disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Asian","SEO","410","410","41890","41870"
"In post","2023","20-29","Declared non-disabled","Asian","Unknown","195","190","25480","23640"
"In post","2023","20-29","Declared non-disabled","Black","AA","30","30","24880","23360"
"In post","2023","20-29","Declared non-disabled","Black","AO","425","415","26300","25600"
"In post","2023","20-29","Declared non-disabled","Black","EO","525","520","29940","29660"
"In post","2023","20-29","Declared non-disabled","Black","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Black","G7","70","70","56510","55540"
"In post","2023","20-29","Declared non-disabled","Black","HEO","315","310","35320","35010"
"In post","2023","20-29","Declared non-disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Black","SEO","115","115","42040","41440"
"In post","2023","20-29","Declared non-disabled","Black","Unknown","135","130","27540","27640"
"In post","2023","20-29","Declared non-disabled","Mixed","AA","45","40","22700","23230"
"In post","2023","20-29","Declared non-disabled","Mixed","AO","430","420","25800","24070"
"In post","2023","20-29","Declared non-disabled","Mixed","EO","375","365","28870","28120"
"In post","2023","20-29","Declared non-disabled","Mixed","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Mixed","G7","135","135","55690","55120"
"In post","2023","20-29","Declared non-disabled","Mixed","HEO","365","365","34610","34400"
"In post","2023","20-29","Declared non-disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Mixed","SEO","160","155","42060","41550"
"In post","2023","20-29","Declared non-disabled","Mixed","Unknown","150","145","25810","24570"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","AO","90","90","25990","24960"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","EO","100","100","29230","28370"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","G7","30","30","56480","55120"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","HEO","75","75","34920","34700"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","SEO","35","35","41130","41870"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Undeclared","AA","15","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Undeclared","AO","135","130","24740","22520"
"In post","2023","20-29","Declared non-disabled","Undeclared","EO","120","120","28820","28120"
"In post","2023","20-29","Declared non-disabled","Undeclared","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Undeclared","G7","45","45","55890","55540"
"In post","2023","20-29","Declared non-disabled","Undeclared","HEO","95","95","34380","34170"
"In post","2023","20-29","Declared non-disabled","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Undeclared","SEO","60","60","41030","41360"
"In post","2023","20-29","Declared non-disabled","Undeclared","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","AA","35","30","21600","22080"
"In post","2023","20-29","Declared non-disabled","Unknown","AO","205","195","24590","23190"
"In post","2023","20-29","Declared non-disabled","Unknown","EO","195","190","28540","28120"
"In post","2023","20-29","Declared non-disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","HEO","120","120","34050","33830"
"In post","2023","20-29","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","SEO","50","50","41550","41450"
"In post","2023","20-29","Declared non-disabled","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","White","AA","1290","1245","22520","23230"
"In post","2023","20-29","Declared non-disabled","White","AO","10260","10045","25460","22870"
"In post","2023","20-29","Declared non-disabled","White","EO","8260","8160","28290","28120"
"In post","2023","20-29","Declared non-disabled","White","G6","160","160","66930","66490"
"In post","2023","20-29","Declared non-disabled","White","G7","2425","2420","55240","55120"
"In post","2023","20-29","Declared non-disabled","White","HEO","7325","7290","34020","34110"
"In post","2023","20-29","Declared non-disabled","White","SCS level","5","5","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","White","SEO","3570","3555","41430","41360"
"In post","2023","20-29","Declared non-disabled","White","Unknown","2675","2630","26560","24570"
"In post","2023","20-29","Undeclared","Asian","AA","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Asian","AO","65","60","22890","22500"
"In post","2023","20-29","Undeclared","Asian","EO","60","60","28560","28120"
"In post","2023","20-29","Undeclared","Asian","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Asian","G7","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Asian","HEO","65","65","34640","34190"
