"Status","Year","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","395","370","38290","31330"
"In post","2023","Attorney General's Departments","East Midlands (England)","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Unknown","85","75","42830","49050"
"In post","2023","Attorney General's Departments","East of England","Heterosexual / straight","430","395","41490","35550"
"In post","2023","Attorney General's Departments","East of England","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Undeclared","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Unknown","90","80","47910","54100"
"In post","2023","Attorney General's Departments","London","Heterosexual / straight","3375","3205","49970","52020"
"In post","2023","Attorney General's Departments","London","LGBO","270","260","51530","52020"
"In post","2023","Attorney General's Departments","London","Undeclared","285","275","52310","54100"
"In post","2023","Attorney General's Departments","London","Unknown","895","820","54800","57710"
"In post","2023","Attorney General's Departments","North East (England)","Heterosexual / straight","285","265","39710","35000"
"In post","2023","Attorney General's Departments","North East (England)","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Undeclared","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Unknown","75","65","40750","34280"
"In post","2023","Attorney General's Departments","North West (England)","Heterosexual / straight","830","785","39530","33810"
"In post","2023","Attorney General's Departments","North West (England)","LGBO","50","50","40290","35120"
"In post","2023","Attorney General's Departments","North West (England)","Undeclared","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Unknown","185","165","43110","38850"
"In post","2023","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Heterosexual / straight","580","550","42670","36780"
"In post","2023","Attorney General's Departments","South East (England)","LGBO","45","45","33040","28200"
"In post","2023","Attorney General's Departments","South East (England)","Undeclared","40","35","42370","40540"
"In post","2023","Attorney General's Departments","South East (England)","Unknown","125","110","47140","54100"
"In post","2023","Attorney General's Departments","South West (England)","Heterosexual / straight","315","295","42370","42490"
"In post","2023","Attorney General's Departments","South West (England)","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Undeclared","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Unknown","65","60","50960","55470"
"In post","2023","Attorney General's Departments","Wales","Heterosexual / straight","325","305","41040","38940"
"In post","2023","Attorney General's Departments","Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","Unknown","85","70","44100","51270"
"In post","2023","Attorney General's Departments","West Midlands (England)","Heterosexual / straight","470","445","40760","38760"
"In post","2023","Attorney General's Departments","West Midlands (England)","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","Undeclared","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","Unknown","130","115","44410","51880"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Heterosexual / straight","780","735","41940","38940"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","LGBO","45","45","38110","31180"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Undeclared","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Unknown","195","175","44550","49050"
"In post","2023","Cabinet Office","East Midlands (England)","Heterosexual / straight","60","55","54330","54250"
"In post","2023","Cabinet Office","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Heterosexual / straight","175","165","48460","40620"
"In post","2023","Cabinet Office","East of England","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Unknown","45","45","46060","40620"
"In post","2023","Cabinet Office","London","Heterosexual / straight","3150","3090","55740","56430"
"In post","2023","Cabinet Office","London","LGBO","365","360","50280","55790"
"In post","2023","Cabinet Office","London","Undeclared","370","360","54060","56430"
"In post","2023","Cabinet Office","London","Unknown","1700","1685","44490","32960"
"In post","2023","Cabinet Office","North East (England)","Heterosexual / straight","320","295","32380","26300"
"In post","2023","Cabinet Office","North East (England)","LGBO","25","25","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","Unknown","55","55","35590","29550"
"In post","2023","Cabinet Office","North West (England)","Heterosexual / straight","725","710","47590","40750"
"In post","2023","Cabinet Office","North West (England)","LGBO","50","50","43090","39860"
"In post","2023","Cabinet Office","North West (England)","Undeclared","40","40","46530","50860"
"In post","2023","Cabinet Office","North West (England)","Unknown","245","240","42780","34320"
"In post","2023","Cabinet Office","Northern Ireland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Scotland","Heterosexual / straight","340","335","41680","33020"
"In post","2023","Cabinet Office","Scotland","LGBO","45","45","33830","32640"
"In post","2023","Cabinet Office","Scotland","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Scotland","Unknown","90","90","43290","32800"
"In post","2023","Cabinet Office","South East (England)","Heterosexual / straight","150","145","52770","41740"
"In post","2023","Cabinet Office","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","South East (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office","South East (England)","Unknown","60","55","39040","30590"
"In post","2023","Cabinet Office","South West (England)","Heterosexual / straight","220","215","58460","54430"
