"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA/AO","Heterosexual / straight","1015","920","26590","25610"
"In post","2023","Declared disabled","London","AA/AO","LGBO","85","80","28600","26400"
"In post","2023","Declared disabled","London","AA/AO","Undeclared","155","140","26460","25610"
"In post","2023","Declared disabled","London","AA/AO","Unknown","115","100","26420","26400"
"In post","2023","Declared disabled","London","EO","Heterosexual / straight","1765","1640","31680","32430"
"In post","2023","Declared disabled","London","EO","LGBO","200","195","31100","31280"
"In post","2023","Declared disabled","London","EO","Undeclared","275","250","31390","31450"
"In post","2023","Declared disabled","London","EO","Unknown","175","160","31830","32520"
"In post","2023","Declared disabled","London","G6/G7","Heterosexual / straight","1785","1720","62260","60460"
"In post","2023","Declared disabled","London","G6/G7","LGBO","335","330","60650","58770"
"In post","2023","Declared disabled","London","G6/G7","Undeclared","225","220","62930","61270"
"In post","2023","Declared disabled","London","G6/G7","Unknown","135","130","64050","63470"
"In post","2023","Declared disabled","London","SCS level","Heterosexual / straight","255","245","94530","85200"
"In post","2023","Declared disabled","London","SCS level","LGBO","45","45","90750","80700"
"In post","2023","Declared disabled","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","London","SEO/HEO","Heterosexual / straight","2430","2360","40440","39790"
"In post","2023","Declared disabled","London","SEO/HEO","LGBO","480","475","39140","39150"
"In post","2023","Declared disabled","London","SEO/HEO","Undeclared","310","305","40350","39790"
"In post","2023","Declared disabled","London","SEO/HEO","Unknown","310","305","35800","34690"
"In post","2023","Declared disabled","London","Unknown","Heterosexual / straight","355","340","35810","33820"
"In post","2023","Declared disabled","London","Unknown","LGBO","40","40","38090","34820"
"In post","2023","Declared disabled","London","Unknown","Undeclared","50","50","37040","33820"
"In post","2023","Declared disabled","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Outside London","AA/AO","Heterosexual / straight","11280","9850","23230","22150"
"In post","2023","Declared disabled","Outside London","AA/AO","LGBO","1270","1200","23730","22400"
"In post","2023","Declared disabled","Outside London","AA/AO","Undeclared","1620","1385","23070","21780"
"In post","2023","Declared disabled","Outside London","AA/AO","Unknown","1130","950","23270","22400"
"In post","2023","Declared disabled","Outside London","EO","Heterosexual / straight","10915","9800","28410","28120"
"In post","2023","Declared disabled","Outside London","EO","LGBO","1240","1185","28180","28120"
"In post","2023","Declared disabled","Outside London","EO","Undeclared","1450","1285","28390","28120"
"In post","2023","Declared disabled","Outside London","EO","Unknown","945","825","29370","28120"
"In post","2023","Declared disabled","Outside London","G6/G7","Heterosexual / straight","3050","2925","58580","56870"
"In post","2023","Declared disabled","Outside London","G6/G7","LGBO","370","360","57390","55170"
"In post","2023","Declared disabled","Outside London","G6/G7","Undeclared","340","325","58980","56180"
"In post","2023","Declared disabled","Outside London","G6/G7","Unknown","285","270","58140","56450"
"In post","2023","Declared disabled","Outside London","SCS level","Heterosexual / straight","175","170","90640","83210"
"In post","2023","Declared disabled","Outside London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Heterosexual / straight","9025","8550","37580","35690"
"In post","2023","Declared disabled","Outside London","SEO/HEO","LGBO","1200","1165","36750","35000"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Undeclared","1100","1045","37560","35550"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Unknown","625","590","36920","35020"
"In post","2023","Declared disabled","Outside London","Unknown","Heterosexual / straight","3110","2885","31200","29050"
"In post","2023","Declared disabled","Outside London","Unknown","LGBO","405","390","29330","26840"
"In post","2023","Declared disabled","Outside London","Unknown","Undeclared","275","255","33330","32050"
"In post","2023","Declared disabled","Outside London","Unknown","Unknown","45","45","32440","29120"
"In post","2023","Declared disabled","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Heterosexual / straight","40","40","59270","57850"
"In post","2023","Declared disabled","Overseas","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Heterosexual / straight","70","70","39660","35810"
"In post","2023","Declared disabled","Overseas","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Heterosexual / straight","30","30","27840","28120"
"In post","2023","Declared disabled","Unknown","EO","LGBO","5","5","[c]","[c]"
