"Status","Year","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Female","60","55","39660","37680"
"In post","2023","Analysis","East Midlands (England)","Male","60","60","42240","40720"
"In post","2023","Analysis","East of England","Female","190","180","34720","30820"
"In post","2023","Analysis","East of England","Male","205","200","40220","37310"
"In post","2023","Analysis","London","Female","2020","1930","49230","44920"
"In post","2023","Analysis","London","Male","2400","2365","51000","46250"
"In post","2023","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Female","170","160","39610","38470"
"In post","2023","Analysis","North East (England)","Male","185","185","40340","37690"
"In post","2023","Analysis","North West (England)","Female","280","270","41930","40240"
"In post","2023","Analysis","North West (England)","Male","370","365","41150","37680"
"In post","2023","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Female","80","75","42590","35200"
"In post","2023","Analysis","Scotland","Male","95","90","44180","38170"
"In post","2023","Analysis","South East (England)","Female","495","460","40780","39300"
"In post","2023","Analysis","South East (England)","Male","680","660","43540","39890"
"In post","2023","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Female","395","365","39200","37310"
"In post","2023","Analysis","South West (England)","Male","610","600","42430","39890"
"In post","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","Female","640","605","38490","37760"
"In post","2023","Analysis","Wales","Male","520","510","40070","37760"
"In post","2023","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Female","85","85","39920","34300"
"In post","2023","Analysis","West Midlands (England)","Male","100","100","42000","38500"
"In post","2023","Analysis","Yorkshire and The Humber","Female","320","295","42790","41010"
"In post","2023","Analysis","Yorkshire and The Humber","Male","330","320","44560","41640"
"In post","2023","Commercial","East Midlands (England)","Female","85","85","40980","37590"
"In post","2023","Commercial","East Midlands (England)","Male","55","50","48350","44890"
"In post","2023","Commercial","East of England","Female","150","140","43950","40620"
"In post","2023","Commercial","East of England","Male","100","95","49090","41000"
"In post","2023","Commercial","London","Female","865","845","54590","52770"
"In post","2023","Commercial","London","Male","945","935","61960","56200"
"In post","2023","Commercial","North East (England)","Female","70","70","44190","39090"
"In post","2023","Commercial","North East (England)","Male","65","65","47690","43270"
"In post","2023","Commercial","North West (England)","Female","425","410","45520","40450"
"In post","2023","Commercial","North West (England)","Male","355","350","47760","40750"
"In post","2023","Commercial","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","Female","205","200","40990","37030"
"In post","2023","Commercial","Scotland","Male","185","185","44050","39620"
"In post","2023","Commercial","South East (England)","Female","335","320","40200","37300"
"In post","2023","Commercial","South East (England)","Male","230","230","46850","41600"
"In post","2023","Commercial","South West (England)","Female","985","925","41580","39890"
"In post","2023","Commercial","South West (England)","Male","860","845","45850","42620"
"In post","2023","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Female","210","195","36240","32950"
"In post","2023","Commercial","Wales","Male","195","190","38200","33790"
"In post","2023","Commercial","West Midlands (England)","Female","195","185","43720","38970"
"In post","2023","Commercial","West Midlands (England)","Male","185","180","48910","38660"
"In post","2023","Commercial","Yorkshire and The Humber","Female","300","285","47400","40010"
"In post","2023","Commercial","Yorkshire and The Humber","Male","230","230","50870","44910"
"In post","2023","Communications","East Midlands (England)","Female","75","70","40170","37260"
"In post","2023","Communications","East Midlands (England)","Male","45","45","40200","40570"
"In post","2023","Communications","East of England","Female","45","40","36920","34300"
"In post","2023","Communications","East of England","Male","30","30","[c]","[c]"
"In post","2023","Communications","London","Female","1320","1280","48700","44450"
"In post","2023","Communications","London","Male","875","875","50110","44800"
"In post","2023","Communications","North East (England)","Female","90","85","36360","35000"
"In post","2023","Communications","North East (England)","Male","50","50","38130","35000"
"In post","2023","Communications","North West (England)","Female","180","170","38460","34400"
"In post","2023","Communications","North West (England)","Male","100","100","40230","37590"
"In post","2023","Communications","Northern Ireland","Female","20","20","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Female","60","60","39780","38100"
"In post","2023","Communications","Scotland","Male","40","40","41600","39590"
"In post","2023","Communications","South East (England)","Female","165","155","36200","34300"
"In post","2023","Communications","South East (England)","Male","130","125","36550","33910"
"In post","2023","Communications","South West (England)","Female","175","160","37970","37300"
"In post","2023","Communications","South West (England)","Male","135","130","37170","34640"
"In post","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Female","170","155","37460","34780"
"In post","2023","Communications","Wales","Male","100","100","38600","33980"
"In post","2023","Communications","West Midlands (England)","Female","95","90","40340","37830"
"In post","2023","Communications","West Midlands (England)","Male","50","50","39630","34700"
"In post","2023","Communications","Yorkshire and The Humber","Female","115","105","42420","39770"
"In post","2023","Communications","Yorkshire and The Humber","Male","75","75","40890","40260"
"In post","2023","Counter Fraud","East Midlands (England)","Female","505","450","32790","28130"
"In post","2023","Counter Fraud","East Midlands (England)","Male","485","465","35650","34700"
"In post","2023","Counter Fraud","East of England","Female","405","365","30010","29460"
"In post","2023","Counter Fraud","East of England","Male","325","315","31200","30120"
"In post","2023","Counter Fraud","London","Female","1810","1680","37330","32540"
"In post","2023","Counter Fraud","London","Male","1800","1750","40950","39450"
"In post","2023","Counter Fraud","North East (England)","Female","735","665","31470","28120"
"In post","2023","Counter Fraud","North East (England)","Male","535","510","33440","28130"
"In post","2023","Counter Fraud","North West (England)","Female","1315","1190","33270","28130"
"In post","2023","Counter Fraud","North West (England)","Male","1255","1210","35690","34170"
"In post","2023","Counter Fraud","Northern Ireland","Female","210","195","34230","34400"
"In post","2023","Counter Fraud","Northern Ireland","Male","240","235","35050","34700"
"In post","2023","Counter Fraud","Scotland","Female","870","775","30610","28130"
"In post","2023","Counter Fraud","Scotland","Male","730","695","32580","28130"
"In post","2023","Counter Fraud","South East (England)","Female","755","675","30300","28130"
"In post","2023","Counter Fraud","South East (England)","Male","475","450","32710","30120"
"In post","2023","Counter Fraud","South West (England)","Female","465","415","32480","28120"
"In post","2023","Counter Fraud","South West (England)","Male","380","360","35480","29730"
"In post","2023","Counter Fraud","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Wales","Female","565","495","29730","28120"
"In post","2023","Counter Fraud","Wales","Male","505","485","31970","28130"
"In post","2023","Counter Fraud","West Midlands (England)","Female","730","650","31830","28130"
"In post","2023","Counter Fraud","West Midlands (England)","Male","580","550","33710","29730"
"In post","2023","Counter Fraud","Yorkshire and The Humber","Female","745","665","31890","28130"
"In post","2023","Counter Fraud","Yorkshire and The Humber","Male","695","670","34520","29730"
"In post","2023","Debt","East Midlands (England)","Female","425","365","23460","22520"
"In post","2023","Debt","East Midlands (England)","Male","230","225","23500","22520"
"In post","2023","Debt","East of England","Female","120","95","26460","25610"
"In post","2023","Debt","East of England","Male","35","35","27400","25610"
"In post","2023","Debt","London","Female","390","345","29430","26920"
"In post","2023","Debt","London","Male","245","230","30090","26920"
"In post","2023","Debt","North East (England)","Female","640","550","23330","22520"
"In post","2023","Debt","North East (England)","Male","385","370","23840","22520"
"In post","2023","Debt","North West (England)","Female","430","380","24840","22520"
"In post","2023","Debt","North West (England)","Male","320","310","24480","22520"
"In post","2023","Debt","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","Debt","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Scotland","Female","860","750","24540","22520"
"In post","2023","Debt","Scotland","Male","635","610","24060","22520"
"In post","2023","Debt","South East (England)","Female","40","30","29240","29730"
"In post","2023","Debt","South East (England)","Male","40","30","30360","29730"
"In post","2023","Debt","South West (England)","Female","105","85","23400","21690"
"In post","2023","Debt","South West (England)","Male","50","45","23970","21690"
"In post","2023","Debt","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Wales","Female","270","245","24890","22520"
"In post","2023","Debt","Wales","Male","245","235","25920","22520"
"In post","2023","Debt","West Midlands (England)","Female","780","675","23720","22520"
"In post","2023","Debt","West Midlands (England)","Male","455","430","23540","22520"
"In post","2023","Debt","Yorkshire and The Humber","Female","605","505","24700","22520"
"In post","2023","Debt","Yorkshire and The Humber","Male","435","410","24350","22520"
"In post","2023","Digital, Data & Technology","East Midlands (England)","Female","200","195","38570","34850"
"In post","2023","Digital, Data & Technology","East Midlands (England)","Male","300","295","37930","34520"
"In post","2023","Digital, Data & Technology","East of England","Female","230","215","35960","34300"
"In post","2023","Digital, Data & Technology","East of England","Male","425","415","37300","35400"
"In post","2023","Digital, Data & Technology","London","Female","2235","2170","48650","44090"
"In post","2023","Digital, Data & Technology","London","Male","3330","3295","51150","46870"
"In post","2023","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","North East (England)","Female","995","940","41390","38470"
"In post","2023","Digital, Data & Technology","North East (England)","Male","1730","1695","43980","40860"
"In post","2023","Digital, Data & Technology","North West (England)","Female","1435","1370","41040","38470"
"In post","2023","Digital, Data & Technology","North West (England)","Male","2375","2340","43580","39640"
"In post","2023","Digital, Data & Technology","Northern Ireland","Female","40","40","34430","34700"
"In post","2023","Digital, Data & Technology","Northern Ireland","Male","60","60","37220","34700"
"In post","2023","Digital, Data & Technology","Overseas","Female","25","25","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","Male","50","50","41930","41010"
"In post","2023","Digital, Data & Technology","Scotland","Female","340","330","40080","37950"
"In post","2023","Digital, Data & Technology","Scotland","Male","775","760","40330","37680"
"In post","2023","Digital, Data & Technology","South East (England)","Female","645","610","37840","34400"
"In post","2023","Digital, Data & Technology","South East (England)","Male","955","935","41160","37760"
"In post","2023","Digital, Data & Technology","South West (England)","Female","1400","1305","38800","37420"
"In post","2023","Digital, Data & Technology","South West (England)","Male","2575","2520","41310","39650"
"In post","2023","Digital, Data & Technology","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","Wales","Female","775","735","39830","37760"
"In post","2023","Digital, Data & Technology","Wales","Male","1545","1525","43940","41100"
"In post","2023","Digital, Data & Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","West Midlands (England)","Female","730","705","41260","37680"
"In post","2023","Digital, Data & Technology","West Midlands (England)","Male","1200","1185","42230","39460"
"In post","2023","Digital, Data & Technology","Yorkshire and The Humber","Female","745","710","43360","39460"
"In post","2023","Digital, Data & Technology","Yorkshire and The Humber","Male","1205","1180","44450","41270"
"In post","2023","Finance","East Midlands (England)","Female","205","190","35740","34170"
"In post","2023","Finance","East Midlands (England)","Male","130","130","39440","35000"
"In post","2023","Finance","East of England","Female","185","175","37190","34300"
"In post","2023","Finance","East of England","Male","130","125","41790","37940"
"In post","2023","Finance","London","Female","1550","1485","48380","43760"
"In post","2023","Finance","London","Male","1605","1590","52400","48070"
"In post","2023","Finance","North East (England)","Female","490","445","38910","35000"
"In post","2023","Finance","North East (England)","Male","405","395","41760","38470"
"In post","2023","Finance","North West (England)","Female","880","810","37210","34210"
"In post","2023","Finance","North West (England)","Male","665","645","40290","37590"
"In post","2023","Finance","Northern Ireland","Female","35","35","40160","38640"
"In post","2023","Finance","Northern Ireland","Male","15","15","[c]","[c]"
"In post","2023","Finance","Overseas","Female","30","30","49330","48980"
"In post","2023","Finance","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Finance","Scotland","Female","780","670","30820","26900"
"In post","2023","Finance","Scotland","Male","385","360","32080","27740"
"In post","2023","Finance","South East (England)","Female","755","705","36210","33830"
"In post","2023","Finance","South East (England)","Male","500","490","37520","34400"
"In post","2023","Finance","South West (England)","Female","780","730","39840","34960"
"In post","2023","Finance","South West (England)","Male","645","635","43830","41200"
"In post","2023","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Finance","Wales","Female","270","250","35350","31660"
"In post","2023","Finance","Wales","Male","215","210","40950","38470"
"In post","2023","Finance","West Midlands (England)","Female","370","350","39040","37300"
"In post","2023","Finance","West Midlands (England)","Male","235","230","42210","37680"
"In post","2023","Finance","Yorkshire and The Humber","Female","855","765","36020","34170"
"In post","2023","Finance","Yorkshire and The Humber","Male","730","710","39500","37590"
"In post","2023","Grants Management","East Midlands (England)","Female","40","40","27010","25920"
"In post","2023","Grants Management","East Midlands (England)","Male","45","45","26310","22150"
"In post","2023","Grants Management","East of England","Female","25","25","[c]","[c]"
"In post","2023","Grants Management","East of England","Male","30","30","[c]","[c]"
"In post","2023","Grants Management","London","Female","35","35","51890","48960"
"In post","2023","Grants Management","London","Male","25","25","[c]","[c]"
"In post","2023","Grants Management","North East (England)","Female","260","235","26290","22150"
"In post","2023","Grants Management","North East (England)","Male","205","200","24640","22150"
"In post","2023","Grants Management","North West (England)","Female","650","560","25210","22150"
"In post","2023","Grants Management","North West (England)","Male","345","335","25160","22150"
"In post","2023","Grants Management","South East (England)","Female","100","90","26710","22150"
"In post","2023","Grants Management","South East (England)","Male","95","90","30660","26460"
"In post","2023","Grants Management","South West (England)","Female","155","135","26210","25920"
"In post","2023","Grants Management","South West (England)","Male","135","130","28110","25920"
"In post","2023","Grants Management","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","West Midlands (England)","Female","110","100","24800","22150"
"In post","2023","Grants Management","West Midlands (England)","Male","75","70","26660","25920"
"In post","2023","Grants Management","Yorkshire and The Humber","Female","130","120","27140","25920"
"In post","2023","Grants Management","Yorkshire and The Humber","Male","150","150","26350","22150"
"In post","2023","Human Resources","East Midlands (England)","Female","465","440","37640","34700"
"In post","2023","Human Resources","East Midlands (England)","Male","235","230","36860","34700"
"In post","2023","Human Resources","East of England","Female","325","305","34620","32160"
"In post","2023","Human Resources","East of England","Male","190","185","36830","32460"
"In post","2023","Human Resources","London","Female","2100","2015","48240","43650"
"In post","2023","Human Resources","London","Male","975","960","48630","43650"
"In post","2023","Human Resources","North East (England)","Female","565","520","33790","32260"
"In post","2023","Human Resources","North East (England)","Male","295","285","34590","33020"
"In post","2023","Human Resources","North West (England)","Female","1090","1030","38530","34970"
"In post","2023","Human Resources","North West (England)","Male","580","565","37290","34300"
"In post","2023","Human Resources","Northern Ireland","Female","40","40","33970","30020"
"In post","2023","Human Resources","Northern Ireland","Male","35","35","33920","34300"
"In post","2023","Human Resources","Overseas","Female","165","165","54840","55970"
"In post","2023","Human Resources","Overseas","Male","75","75","60960","60090"
"In post","2023","Human Resources","Scotland","Female","595","560","34930","33020"
"In post","2023","Human Resources","Scotland","Male","355","345","36510","34300"
"In post","2023","Human Resources","South East (England)","Female","805","760","35710","33830"
"In post","2023","Human Resources","South East (England)","Male","595","585","37800","34300"
"In post","2023","Human Resources","South West (England)","Female","960","895","37440","34300"
"In post","2023","Human Resources","South West (England)","Male","655","645","37490","34300"
"In post","2023","Human Resources","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Human Resources","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Human Resources","Wales","Female","630","585","36670","32550"
"In post","2023","Human Resources","Wales","Male","290","285","36520","32570"
"In post","2023","Human Resources","West Midlands (England)","Female","535","505","37140","33110"
"In post","2023","Human Resources","West Midlands (England)","Male","460","445","35390","32410"
"In post","2023","Human Resources","Yorkshire and The Humber","Female","775","725","38100","34170"
"In post","2023","Human Resources","Yorkshire and The Humber","Male","590","570","34460","29570"
"In post","2023","Internal Audit","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","East of England","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","East of England","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","London","Female","85","80","52570","51400"
"In post","2023","Internal Audit","London","Male","110","110","55240","53320"
"In post","2023","Internal Audit","North East (England)","Female","20","20","[c]","[c]"
"In post","2023","Internal Audit","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","Internal Audit","North West (England)","Female","35","30","46150","42770"
