"Status","Year","Age","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA/AO","Female","275","270","23360","22520"
"In post","2023","16-19","Declared non-disabled","AA/AO","Male","250","245","23260","22520"
"In post","2023","16-19","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Female","40","40","27350","27970"
"In post","2023","16-19","Declared non-disabled","EO","Male","40","40","26910","26400"
"In post","2023","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Female","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Female","260","250","23150","22400"
"In post","2023","16-19","Unknown","AA/AO","Male","315","305","22330","22400"
"In post","2023","16-19","Unknown","EO","Female","45","45","26710","25900"
"In post","2023","16-19","Unknown","EO","Male","45","45","26750","25750"
"In post","2023","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","30","25","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","45","45","19740","18280"
"In post","2023","20-29","Declared disabled","AA/AO","Female","1080","1035","24040","22520"
"In post","2023","20-29","Declared disabled","AA/AO","Male","825","810","24420","22520"
"In post","2023","20-29","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
