"Status","Year","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","Female","3115","2880","50580","52790"
"In post","2023","Attorney General's Departments","London","Male","1715","1680","52030","52790"
"In post","2023","Attorney General's Departments","Outside London","Female","3995","3645","39700","33300"
"In post","2023","Attorney General's Departments","Outside London","Male","1905","1855","44870","49050"
"In post","2023","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Female","2965","2895","49210","41870"
"In post","2023","Cabinet Office","London","Male","2620","2600","54850","56200"
"In post","2023","Cabinet Office","Outside London","Female","2400","2300","42630","38050"
"In post","2023","Cabinet Office","Outside London","Male","2060","2030","47230","39860"
"In post","2023","Cabinet Office","Unknown","Female","85","85","47110","38460"
"In post","2023","Cabinet Office","Unknown","Male","90","85","38950","33020"
"In post","2023","Chancellor's other departments","London","Female","150","140","58000","50010"
"In post","2023","Chancellor's other departments","London","Male","200","195","65970","58170"
"In post","2023","Chancellor's other departments","Outside London","Female","30","30","52060","45120"
"In post","2023","Chancellor's other departments","Outside London","Male","45","45","49510","46000"
"In post","2023","Charity Commission","London","Female","50","45","47360","42880"
"In post","2023","Charity Commission","London","Male","35","30","43320","38800"
"In post","2023","Charity Commission","Outside London","Female","250","235","33890","30170"
"In post","2023","Charity Commission","Outside London","Male","165","165","33940","30170"
"In post","2023","Competition and Markets Authority","London","Female","395","375","60630","57540"
"In post","2023","Competition and Markets Authority","London","Male","400","390","65120","60850"
"In post","2023","Competition and Markets Authority","Outside London","Female","60","55","56890","55540"
"In post","2023","Competition and Markets Authority","Outside London","Male","60","60","58700","55950"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","2880","2775","49950","50080"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","2855","2825","52320","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Female","4345","4015","35790","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Male","4305","4185","39820","37750"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Female","920","890","49500","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Male","725","720","51050","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Female","145","140","40890","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Male","155","155","43650","37130"
"In post","2023","Department for Education","London","Female","1520","1440","51550","55020"
"In post","2023","Department for Education","London","Male","880","870","53370","55020"
"In post","2023","Department for Education","Outside London","Female","3590","3405","41730","37590"
"In post","2023","Department for Education","Outside London","Male","2495","2465","44380","38390"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Female","1420","1365","45860","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Male","1225","1210","46500","40710"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Female","5970","5520","33490","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Male","4450","4355","35570","30820"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","Female","1340","1320","48300","42460"
"In post","2023","Department for International Trade","London","Male","1350","1340","50220","44520"
"In post","2023","Department for International Trade","Outside London","Female","335","320","42070","39700"
"In post","2023","Department for International Trade","Outside London","Male","335","330","44260","42170"
"In post","2023","Department for International Trade","Overseas","Female","50","50","55940","54040"
"In post","2023","Department for International Trade","Overseas","Male","125","125","58140","56140"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Female","1110","1070","50960","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Male","1075","1060","51240","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Female","1045","970","42020","37540"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Male","955","915","46020","44090"
"In post","2023","Department for Transport","London","Female","1415","1365","50320","45180"
"In post","2023","Department for Transport","London","Male","1970","1930","49960","45180"
"In post","2023","Department for Transport","Outside London","Female","6055","5275","28070","22500"
"In post","2023","Department for Transport","Outside London","Male","6925","6665","32330","27450"
"In post","2023","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","London","Female","5850","5265","35500","32520"
"In post","2023","Department for Work and Pensions","London","Male","3340","3245","37920","32520"
"In post","2023","Department for Work and Pensions","Outside London","Female","49975","42765","28360","28120"
"In post","2023","Department for Work and Pensions","Outside London","Male","28260","27015","30490","28120"
"In post","2023","Department for Work and Pensions","Unknown","Female","190","180","33660","28120"
"In post","2023","Department for Work and Pensions","Unknown","Male","150","145","34450","28120"
"In post","2023","Department of Health and Social Care","London","Female","3530","3375","48840","41950"
"In post","2023","Department of Health and Social Care","London","Male","1920","1875","52370","51050"
"In post","2023","Department of Health and Social Care","Outside London","Female","3055","2855","43460","38610"
"In post","2023","Department of Health and Social Care","Outside London","Male","1755","1710","48190","42480"
"In post","2023","Department of Health and Social Care","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","Female","70","65","54960","60180"
"In post","2023","Estyn","Outside London","Male","50","50","67010","78500"
"In post","2023","Food Standards Agency","London","Female","120","115","46740","41160"
"In post","2023","Food Standards Agency","London","Male","105","105","44430","41160"
"In post","2023","Food Standards Agency","Outside London","Female","615","590","39120","37720"
"In post","2023","Food Standards Agency","Outside London","Male","740","715","36760","31730"
"In post","2023","Food Standards Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","London","Female","2355","2275","50620","48350"
"In post","2023","Foreign, Commonwealth and Development Office","London","Male","2210","2190","53100","53500"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","Female","950","900","38790","34950"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","Male","1055","1030","41870","38920"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","Female","965","965","53090","53970"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","Male","1265","1260","52320","53970"
"In post","2023","HM Land Registry","London","Female","215","200","41380","38410"
"In post","2023","HM Land Registry","London","Male","180","175","44470","38410"
