"Status","Year","Organisation","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","Male","45","45","36120","31940"
"In post","2023","Active Travel England","Department for Transport","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","35","35","30520","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Female","100","95","41920","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Male","75","75","46160","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","Female","85","75","30220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","Male","55","50","33050","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","Female","80","75","32090","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","Male","65","60","32500","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","Female","50","45","31460","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","Male","45","40","34290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","Female","60","55","31230","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","50","45","33580","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","35","30","34340","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Male","35","30","33110","32110"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","Female","50","50","33980","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","Male","35","35","33840","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","Female","80","75","32930","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","Male","65","65","33380","31840"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Female","40","40","38510","33830"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Male","45","45","37120","32720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","Female","30","30","32020","28440"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","Male","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","Female","210","195","28120","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","Male","120","115","29010","25420"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","Female","100","90","30750","26280"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","Male","55","55","34100","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","Female","480","455","33080","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","Male","320","315","35040","30590"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","Female","285","265","29760","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","Male","200","190","29330","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","Female","225","200","28350","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","Male","115","115","31510","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","Female","200","180","28720","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","Male","120","115","33150","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Female","155","145","28650","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Male","155","150","30580","25920"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","Male","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","Female","75","75","46830","52760"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","Male","65","65","50980","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North East (England)","Male","[c]","[c]","[c]","[c]"
