"Status","Year","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Female","Heterosexual / straight","3015","2875","45120","40220"
"In post","2023","Commercial","Female","LGBO","140","140","43830","38470"
"In post","2023","Commercial","Female","Undeclared","300","280","43400","41870"
"In post","2023","Commercial","Female","Unknown","635","610","44320","39040"
"In post","2023","Commercial","Male","Heterosexual / straight","2375","2335","51020","43300"
"In post","2023","Commercial","Male","LGBO","160","160","45190","40820"
"In post","2023","Commercial","Male","Undeclared","280","275","48280","42620"
"In post","2023","Commercial","Male","Unknown","675","670","49810","43270"
"In post","2023","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Female","Heterosexual / straight","1735","1640","43630","40790"
"In post","2023","Communications","Female","LGBO","110","110","41270","39730"
"In post","2023","Communications","Female","Undeclared","165","160","42650","40300"
"In post","2023","Communications","Female","Unknown","470","455","44320","41550"
"In post","2023","Communications","Male","Heterosexual / straight","1020","1010","44280","41000"
"In post","2023","Communications","Male","LGBO","135","135","44710","41870"
"In post","2023","Communications","Male","Undeclared","140","140","42950","39690"
"In post","2023","Communications","Male","Unknown","330","330","44420","41020"
"In post","2023","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Female","Heterosexual / straight","35","30","46230","43890"
"In post","2023","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Corporate Finance","Male","Heterosexual / straight","30","30","57350","54180"
"In post","2023","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Female","Heterosexual / straight","3765","3400","30590","28120"
"In post","2023","Counter Fraud","Female","LGBO","220","210","31030","28120"
"In post","2023","Counter Fraud","Female","Undeclared","425","370","29950","28120"
"In post","2023","Counter Fraud","Female","Unknown","980","855","31090","28120"
"In post","2023","Counter Fraud","Male","Heterosexual / straight","2765","2645","33040","29710"
"In post","2023","Counter Fraud","Male","LGBO","190","185","31760","28130"
"In post","2023","Counter Fraud","Male","Undeclared","395","370","32990","29710"
"In post","2023","Counter Fraud","Male","Unknown","860","815","33560","31280"
"In post","2023","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Female","Heterosexual / straight","5565","5305","43630","40040"
"In post","2023","Digital, Data and Technology","Female","LGBO","460","450","43310","39000"
"In post","2023","Digital, Data and Technology","Female","Undeclared","690","660","44150","41400"
"In post","2023","Digital, Data and Technology","Female","Unknown","1415","1360","43280","39520"
"In post","2023","Digital, Data and Technology","Male","Heterosexual / straight","9850","9700","45500","41870"
"In post","2023","Digital, Data and Technology","Male","LGBO","620","615","43890","40120"
"In post","2023","Digital, Data and Technology","Male","Undeclared","1420","1395","44310","41760"
"In post","2023","Digital, Data and Technology","Male","Unknown","3130","3090","43930","39790"
"In post","2023","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Female","Heterosexual / straight","555","530","50130","49400"
"In post","2023","Economics","Female","LGBO","65","60","43630","39300"
"In post","2023","Economics","Female","Undeclared","60","60","45100","40530"
"In post","2023","Economics","Female","Unknown","125","125","45710","41550"
"In post","2023","Economics","Male","Heterosexual / straight","910","900","49850","52120"
"In post","2023","Economics","Male","LGBO","90","90","48680","45370"
"In post","2023","Economics","Male","Undeclared","110","105","52780","54690"
"In post","2023","Economics","Male","Unknown","245","245","47990","40980"
"In post","2023","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Female","Heterosexual / straight","4250","3990","41640","38020"
"In post","2023","Finance","Female","LGBO","145","140","39910","35000"
"In post","2023","Finance","Female","Undeclared","425","390","40850","36990"
"In post","2023","Finance","Female","Unknown","775","730","39490","35000"
"In post","2023","Finance","Male","Heterosexual / straight","3320","3260","45630","41780"
"In post","2023","Finance","Male","LGBO","185","180","44030","39170"
"In post","2023","Finance","Male","Undeclared","405","395","44980","42050"
"In post","2023","Finance","Male","Unknown","715","700","42100","38470"
"In post","2023","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","Female","Heterosexual / straight","105","95","33680","34370"
"In post","2023","Geography","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Geography","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Geography","Female","Unknown","40","35","29160","27610"
"In post","2023","Geography","Male","Heterosexual / straight","200","195","34380","34370"
"In post","2023","Geography","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Geography","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Geography","Male","Unknown","85","85","30980","29880"
"In post","2023","Geography","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Geography","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Female","Heterosexual / straight","6425","6060","40470","37000"
"In post","2023","Human Resources","Female","LGBO","300","290","39490","34710"
"In post","2023","Human Resources","Female","Undeclared","500","475","38140","34300"
"In post","2023","Human Resources","Female","Unknown","1030","985","39660","35650"
"In post","2023","Human Resources","Male","Heterosexual / straight","3365","3300","39390","34580"
"In post","2023","Human Resources","Male","LGBO","290","290","44000","39080"
"In post","2023","Human Resources","Male","Undeclared","435","425","37650","34300"
"In post","2023","Human Resources","Male","Unknown","655","645","38950","34330"
"In post","2023","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","Female","Heterosexual / straight","700","685","63750","52750"
"In post","2023","Inspector of Education and Training","Female","LGBO","35","35","64530","66170"
"In post","2023","Inspector of Education and Training","Female","Undeclared","30","30","67450","59460"
"In post","2023","Inspector of Education and Training","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Inspector of Education and Training","Male","Heterosexual / straight","250","245","74010","77470"
"In post","2023","Inspector of Education and Training","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Inspector of Education and Training","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Female","Heterosexual / straight","1065","995","33170","30000"
"In post","2023","Intelligence Analysis","Female","LGBO","65","65","32480","30300"
"In post","2023","Intelligence Analysis","Female","Undeclared","150","140","33240","30950"
"In post","2023","Intelligence Analysis","Female","Unknown","195","185","33830","30950"
"In post","2023","Intelligence Analysis","Male","Heterosexual / straight","1280","1250","36630","33830"
"In post","2023","Intelligence Analysis","Male","LGBO","50","50","39000","35200"
"In post","2023","Intelligence Analysis","Male","Undeclared","200","195","37010","33990"
"In post","2023","Intelligence Analysis","Male","Unknown","230","225","36090","33830"
"In post","2023","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Female","Heterosexual / straight","320","300","45770","43160"
"In post","2023","Internal Audit","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Internal Audit","Female","Undeclared","40","40","47380","43960"
"In post","2023","Internal Audit","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Internal Audit","Male","Heterosexual / straight","270","260","50690","48780"
"In post","2023","Internal Audit","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Internal Audit","Male","Undeclared","35","35","51560","48160"
"In post","2023","Internal Audit","Male","Unknown","35","35","44560","41990"
"In post","2023","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","Female","Heterosexual / straight","660","640","48040","42680"
"In post","2023","International Trade","Female","LGBO","40","40","43870","41550"
"In post","2023","International Trade","Female","Undeclared","45","45","48560","44320"
"In post","2023","International Trade","Female","Unknown","270","265","47370","42720"
"In post","2023","International Trade","Male","Heterosexual / straight","665","660","50170","44340"
"In post","2023","International Trade","Male","LGBO","110","105","50770","46620"
"In post","2023","International Trade","Male","Undeclared","70","65","53930","55370"
"In post","2023","International Trade","Male","Unknown","295","290","47870","42300"
"In post","2023","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Female","Heterosexual / straight","995","940","35000","32520"
"In post","2023","Knowledge and Information Management","Female","LGBO","70","65","33640","29840"
"In post","2023","Knowledge and Information Management","Female","Undeclared","155","145","34520","32520"
"In post","2023","Knowledge and Information Management","Female","Unknown","175","160","35900","33510"
"In post","2023","Knowledge and Information Management","Male","Heterosexual / straight","730","710","37700","34170"
"In post","2023","Knowledge and Information Management","Male","LGBO","75","75","38520","35010"
"In post","2023","Knowledge and Information Management","Male","Undeclared","145","140","38750","34300"
"In post","2023","Knowledge and Information Management","Male","Unknown","155","155","37500","34170"
"In post","2023","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Female","Heterosexual / straight","5000","4590","53020","52790"
"In post","2023","Legal","Female","LGBO","210","205","50200","52020"
"In post","2023","Legal","Female","Undeclared","485","440","51710","52020"
"In post","2023","Legal","Female","Unknown","1400","1255","52610","54800"
"In post","2023","Legal","Male","Heterosexual / straight","2870","2795","52510","52360"
"In post","2023","Legal","Male","LGBO","265","260","56940","56430"
"In post","2023","Legal","Male","Undeclared","380","365","52000","51890"
"In post","2023","Legal","Male","Unknown","935","900","51700","53670"
"In post","2023","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Female","Heterosexual / straight","1230","1085","52280","41190"
"In post","2023","Medicine","Female","LGBO","40","35","48400","38280"
"In post","2023","Medicine","Female","Undeclared","150","135","60760","51330"
"In post","2023","Medicine","Female","Unknown","345","290","55210","41190"
"In post","2023","Medicine","Male","Heterosexual / straight","465","425","68200","63900"
"In post","2023","Medicine","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Medicine","Male","Undeclared","65","60","74000","68490"
"In post","2023","Medicine","Male","Unknown","145","125","69060","59480"
"In post","2023","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","Female","Heterosexual / straight","109355","97655","29550","28120"
"In post","2023","Operational Delivery","Female","LGBO","6525","6240","29850","28120"
"In post","2023","Operational Delivery","Female","Undeclared","12265","10660","29040","27820"
"In post","2023","Operational Delivery","Female","Unknown","31870","28075","27610","25880"
"In post","2023","Operational Delivery","Male","Heterosexual / straight","73500","70590","31730","28880"
"In post","2023","Operational Delivery","Male","LGBO","5135","4990","30230","28120"
"In post","2023","Operational Delivery","Male","Undeclared","9400","8855","31560","28130"
"In post","2023","Operational Delivery","Male","Unknown","24380","23175","29260","27890"
"In post","2023","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","Female","Heterosexual / straight","340","315","45400","42510"
"In post","2023","Operational Research","Female","LGBO","35","35","38690","35700"
"In post","2023","Operational Research","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Operational Research","Female","Unknown","100","100","34740","31630"
"In post","2023","Operational Research","Male","Heterosexual / straight","415","400","47600","47740"
"In post","2023","Operational Research","Male","LGBO","35","30","42580","39890"
"In post","2023","Operational Research","Male","Undeclared","50","50","46300","45110"
"In post","2023","Operational Research","Male","Unknown","160","160","38790","37920"
"In post","2023","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
