"Status","Year","Disability","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","Female","40","35","26210","25360"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","Male","20","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","Male","[c]","[c]","[c]","[c]"
