"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA","Heterosexual / straight","55","50","22850","23000"
"In post","2023","Declared disabled","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","AA","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","AO","Heterosexual / straight","710","625","23740","22490"
"In post","2023","Declared disabled","Asian","AO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","AO","Undeclared","65","55","23420","22400"
"In post","2023","Declared disabled","Asian","AO","Unknown","75","55","23360","22520"
"In post","2023","Declared disabled","Asian","EO","Heterosexual / straight","1020","930","29560","28130"
"In post","2023","Declared disabled","Asian","EO","LGBO","35","35","29490","28130"
"In post","2023","Declared disabled","Asian","EO","Undeclared","80","70","29520","28120"
"In post","2023","Declared disabled","Asian","EO","Unknown","65","55","29430","28120"
"In post","2023","Declared disabled","Asian","G6","Heterosexual / straight","70","70","71620","71110"
"In post","2023","Declared disabled","Asian","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G7","Heterosexual / straight","230","220","57010","56190"
"In post","2023","Declared disabled","Asian","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","HEO","Heterosexual / straight","470","450","35740","35030"
"In post","2023","Declared disabled","Asian","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","HEO","Undeclared","35","30","35460","35000"
"In post","2023","Declared disabled","Asian","HEO","Unknown","60","55","33970","34100"
"In post","2023","Declared disabled","Asian","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO","Heterosexual / straight","320","310","42820","42860"
"In post","2023","Declared disabled","Asian","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Heterosexual / straight","155","145","30730","29050"
"In post","2023","Declared disabled","Asian","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AA","Heterosexual / straight","50","45","24060","23500"
"In post","2023","Declared disabled","Black","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AO","Heterosexual / straight","355","320","25380","25480"
"In post","2023","Declared disabled","Black","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","AO","Undeclared","40","35","25630","25480"
"In post","2023","Declared disabled","Black","AO","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Heterosexual / straight","640","595","30610","30930"
"In post","2023","Declared disabled","Black","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Undeclared","40","35","30370","30070"
"In post","2023","Declared disabled","Black","EO","Unknown","45","40","31250","32520"
"In post","2023","Declared disabled","Black","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G7","Heterosexual / straight","120","120","57390","55720"
"In post","2023","Declared disabled","Black","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","HEO","Heterosexual / straight","255","250","36240","36180"
"In post","2023","Declared disabled","Black","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO","Heterosexual / straight","170","170","43840","43300"
"In post","2023","Declared disabled","Black","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Heterosexual / straight","275","265","33170","30840"
"In post","2023","Declared disabled","Black","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AO","Heterosexual / straight","215","190","24040","22400"
"In post","2023","Declared disabled","Mixed","AO","LGBO","50","50","25500","22960"
"In post","2023","Declared disabled","Mixed","AO","Undeclared","35","35","24250","22150"
"In post","2023","Declared disabled","Mixed","AO","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","EO","Heterosexual / straight","285","265","29580","28120"
"In post","2023","Declared disabled","Mixed","EO","LGBO","70","70","28640","28120"
"In post","2023","Declared disabled","Mixed","EO","Undeclared","50","45","28940","28120"
"In post","2023","Declared disabled","Mixed","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Heterosexual / straight","30","30","70930","68470"
"In post","2023","Declared disabled","Mixed","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G7","Heterosexual / straight","110","105","57130","55690"
"In post","2023","Declared disabled","Mixed","G7","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G7","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","HEO","Heterosexual / straight","180","175","35300","34700"
"In post","2023","Declared disabled","Mixed","HEO","LGBO","50","50","34900","34710"
"In post","2023","Declared disabled","Mixed","HEO","Undeclared","30","30","35050","34760"
"In post","2023","Declared disabled","Mixed","HEO","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO","Heterosexual / straight","110","105","42610","41870"
"In post","2023","Declared disabled","Mixed","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Heterosexual / straight","135","130","31970","29210"
"In post","2023","Declared disabled","Mixed","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AO","Heterosexual / straight","35","30","24790","24490"
"In post","2023","Declared disabled","Other ethnicity","AO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","EO","Heterosexual / straight","75","70","29860","29460"
"In post","2023","Declared disabled","Other ethnicity","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","HEO","Heterosexual / straight","60","60","36160","35410"
"In post","2023","Declared disabled","Other ethnicity","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AO","Heterosexual / straight","100","90","23800","22400"
"In post","2023","Declared disabled","Undeclared","AO","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AO","Undeclared","345","300","23810","22150"
"In post","2023","Declared disabled","Undeclared","AO","Unknown","75","65","22960","21690"
"In post","2023","Declared disabled","Undeclared","EO","Heterosexual / straight","150","135","29180","28120"
"In post","2023","Declared disabled","Undeclared","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","EO","Undeclared","435","400","28940","28120"
"In post","2023","Declared disabled","Undeclared","EO","Unknown","95","85","30390","28130"
"In post","2023","Declared disabled","Undeclared","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G6","Undeclared","35","35","70810","70470"
"In post","2023","Declared disabled","Undeclared","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G7","Undeclared","110","105","56700","55770"
"In post","2023","Declared disabled","Undeclared","G7","Unknown","85","85","53720","49260"
"In post","2023","Declared disabled","Undeclared","HEO","Heterosexual / straight","55","55","35490","34390"
"In post","2023","Declared disabled","Undeclared","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","HEO","Undeclared","220","205","35010","34330"
"In post","2023","Declared disabled","Undeclared","HEO","Unknown","50","45","35640","34870"
"In post","2023","Declared disabled","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SEO","Heterosexual / straight","45","40","42460","42040"
"In post","2023","Declared disabled","Undeclared","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SEO","Undeclared","150","145","42530","42140"
"In post","2023","Declared disabled","Undeclared","SEO","Unknown","40","40","41240","39890"
"In post","2023","Declared disabled","Undeclared","Unknown","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Undeclared","100","95","34720","33050"
"In post","2023","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","Unknown","40","35","22690","22180"
"In post","2023","Declared disabled","Unknown","AO","Heterosexual / straight","90","80","23790","22520"
"In post","2023","Declared disabled","Unknown","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AO","Unknown","250","220","24480","22520"
"In post","2023","Declared disabled","Unknown","EO","Heterosexual / straight","55","50","29550","29100"
"In post","2023","Declared disabled","Unknown","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Unknown","305","285","31040","29130"
"In post","2023","Declared disabled","Unknown","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","Unknown","85","80","57860","56650"
"In post","2023","Declared disabled","Unknown","HEO","Heterosexual / straight","50","45","35270","35000"
"In post","2023","Declared disabled","Unknown","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","HEO","Unknown","155","145","35730","35000"
"In post","2023","Declared disabled","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO","Heterosexual / straight","35","35","45680","42510"
"In post","2023","Declared disabled","Unknown","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO","Unknown","80","75","43640","42140"
"In post","2023","Declared disabled","Unknown","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","40","35","34500","30810"
"In post","2023","Declared disabled","White","AA","Heterosexual / straight","1375","1220","21730","21380"
"In post","2023","Declared disabled","White","AA","LGBO","160","150","22510","23230"
"In post","2023","Declared disabled","White","AA","Undeclared","190","155","21120","19930"
"In post","2023","Declared disabled","White","AA","Unknown","95","75","22580","22520"
"In post","2023","Declared disabled","White","AO","Heterosexual / straight","9265","8090","23670","22220"
"In post","2023","Declared disabled","White","AO","LGBO","1055","995","24120","22400"
"In post","2023","Declared disabled","White","AO","Undeclared","1035","890","23530","21780"
"In post","2023","Declared disabled","White","AO","Unknown","660","555","23460","22500"
"In post","2023","Declared disabled","White","EO","Heterosexual / straight","10490","9430","28670","28120"
"In post","2023","Declared disabled","White","EO","LGBO","1260","1210","28500","28120"
"In post","2023","Declared disabled","White","EO","Undeclared","1085","955","28710","28120"
"In post","2023","Declared disabled","White","EO","Unknown","585","500","28930","28120"
"In post","2023","Declared disabled","White","G6","Heterosexual / straight","1060","1020","70650","69930"
"In post","2023","Declared disabled","White","G6","LGBO","140","135","69690","67770"
"In post","2023","Declared disabled","White","G6","Undeclared","95","90","73120","71300"
"In post","2023","Declared disabled","White","G6","Unknown","55","50","72210","70550"
"In post","2023","Declared disabled","White","G7","Heterosexual / straight","3130","3000","56220","55780"
"In post","2023","Declared disabled","White","G7","LGBO","480","465","55650","55300"
"In post","2023","Declared disabled","White","G7","Undeclared","265","255","56970","56110"
"In post","2023","Declared disabled","White","G7","Unknown","145","135","58050","57290"
"In post","2023","Declared disabled","White","HEO","Heterosexual / straight","5755","5440","34810","34300"
"In post","2023","Declared disabled","White","HEO","LGBO","940","915","34650","34400"
"In post","2023","Declared disabled","White","HEO","Undeclared","520","500","34920","34400"
"In post","2023","Declared disabled","White","HEO","Unknown","370","355","33200","33540"
"In post","2023","Declared disabled","White","SCS level","Heterosexual / straight","390","375","93020","83880"
"In post","2023","Declared disabled","White","SCS level","LGBO","55","55","88710","80830"
"In post","2023","Declared disabled","White","SCS level","Undeclared","30","25","[c]","[c]"
"In post","2023","Declared disabled","White","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","White","SEO","Heterosexual / straight","4020","3850","42830","42050"
"In post","2023","Declared disabled","White","SEO","LGBO","545","535","41920","41620"
"In post","2023","Declared disabled","White","SEO","Undeclared","360","345","42830","41800"
"In post","2023","Declared disabled","White","SEO","Unknown","130","120","42490","42300"
"In post","2023","Declared disabled","White","Unknown","Heterosexual / straight","2835","2630","31520","29050"
"In post","2023","Declared disabled","White","Unknown","LGBO","395","385","30000","27640"
