"Status","Year","Disability","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Heterosexual / straight","75","70","50310","46600"
"In post","2023","Declared disabled","Analysis","Economics","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","LGBO","[c]","[c]","[c]","[c]"
