"Status","Year","Disability","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Active Travel England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Active Travel England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Active Travel England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Female","[c]","[c]","[c]","[c]"
