"Status","Year","Disability","Organisation","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","30","30","27410","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","30","25","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire CC","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inverness and Nairn, Moray, and Badenoch and Strathspey","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Mid Lancashire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire CC","20","15","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Perth and Kinross, and Stirling","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scottish Borders","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Shropshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Ayrshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West Wales","25","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Staffordshire CC","15","15","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Suffolk CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Tyneside","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Surrey","90","85","32830","29120"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Worcestershire CC","30","30","31400","26400"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","York","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Westminster","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Birmingham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Bristol, City of","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Glasgow City","50","45","39780","33020"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Greater Manchester South West","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Leeds","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Liverpool","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Manchester","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Milton Keynes","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Norwich and East Norfolk","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Sheffield","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Tower Hamlets","165","160","52110","56430"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Tyneside","65","55","28190","24860"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Westminster","260","255","48330","41870"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","York","95","90","34600","34020"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Birmingham","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Bristol, City of","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Central Hampshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","City of Edinburgh","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Glasgow City","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Greater Manchester South West","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Hackney and Newham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Lambeth","[c]","[c]","[c]","[c]"
