"Status","Year","Age","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Male","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Female","10","5","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Male","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Female","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Female","10","10","[c]","[c]"
"In post","2023","16-19","Asian","No function","Male","35","30","23830","22520"
"In post","2023","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","Male","[c]","[c]","[c]","[c]"
