"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","AA/AO","Heterosexual / straight","12310","10785","23510","22220"
"In post","2023","Declared disabled","AA/AO","LGBO","1355","1280","24030","22500"
"In post","2023","Declared disabled","AA/AO","Undeclared","1775","1525","23360","21780"
"In post","2023","Declared disabled","AA/AO","Unknown","1245","1050","23550","22520"
"In post","2023","Declared disabled","EO","Heterosexual / straight","12715","11475","28870","28120"
"In post","2023","Declared disabled","EO","LGBO","1445","1385","28580","28120"
"In post","2023","Declared disabled","EO","Undeclared","1735","1545","28870","28120"
"In post","2023","Declared disabled","EO","Unknown","1120","985","29760","28120"
"In post","2023","Declared disabled","G6/G7","Heterosexual / straight","4880","4690","59920","57970"
"In post","2023","Declared disabled","G6/G7","LGBO","715","695","58920","56430"
"In post","2023","Declared disabled","G6/G7","Undeclared","570","545","60590","58180"
"In post","2023","Declared disabled","G6/G7","Unknown","430","410","60140","58970"
"In post","2023","Declared disabled","SCS level","Heterosexual / straight","440","425","92650","83620"
"In post","2023","Declared disabled","SCS level","LGBO","65","65","88780","81210"
"In post","2023","Declared disabled","SCS level","Undeclared","40","40","85490","82000"
"In post","2023","Declared disabled","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Heterosexual / straight","11555","11005","38190","37520"
"In post","2023","Declared disabled","SEO/HEO","LGBO","1695","1655","37450","36330"
"In post","2023","Declared disabled","SEO/HEO","Undeclared","1420","1355","38210","37420"
"In post","2023","Declared disabled","SEO/HEO","Unknown","955","915","36540","35000"
"In post","2023","Declared disabled","Unknown","Heterosexual / straight","3470","3225","31680","29050"
"In post","2023","Declared disabled","Unknown","LGBO","445","430","30140","29050"
"In post","2023","Declared disabled","Unknown","Undeclared","325","305","33900","33050"
"In post","2023","Declared disabled","Unknown","Unknown","55","55","34240","30810"
"In post","2023","Declared non-disabled","AA/AO","Heterosexual / straight","64030","58195","24400","22520"
"In post","2023","Declared non-disabled","AA/AO","LGBO","3590","3440","24920","22520"
"In post","2023","Declared non-disabled","AA/AO","Undeclared","5670","4955","23590","22400"
"In post","2023","Declared non-disabled","AA/AO","Unknown","7700","6365","23630","22180"
"In post","2023","Declared non-disabled","EO","Heterosexual / straight","62190","57720","28880","28120"
"In post","2023","Declared non-disabled","EO","LGBO","3165","3070","28800","28120"
"In post","2023","Declared non-disabled","EO","Undeclared","5735","5190","28900","28120"
"In post","2023","Declared non-disabled","EO","Unknown","7655","6650","29160","28120"
"In post","2023","Declared non-disabled","G6/G7","Heterosexual / straight","41770","40295","60720","58820"
"In post","2023","Declared non-disabled","G6/G7","LGBO","2520","2480","60310","57970"
"In post","2023","Declared non-disabled","G6/G7","Undeclared","3010","2895","61250","59290"
"In post","2023","Declared non-disabled","G6/G7","Unknown","2915","2745","61410","59890"
"In post","2023","Declared non-disabled","SCS level","Heterosexual / straight","4295","4160","91440","83530"
"In post","2023","Declared non-disabled","SCS level","LGBO","300","290","88270","80680"
