"Status","Year","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Female","19610","17865","34610","30840"
"In post","2023","Asian","Male","15745","15310","35570","31950"
"In post","2023","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Female","10900","10320","34690","32520"
"In post","2023","Black","Male","6390","6265","35620","32520"
"In post","2023","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Female","5735","5370","36420","32410"
"In post","2023","Mixed","Male","3985","3895","38680","34170"
"In post","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Female","1510","1415","37880","33090"
"In post","2023","Other ethnicity","Male","1315","1280","40180","34850"
"In post","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Female","7835","7030","34960","30810"
"In post","2023","Undeclared","Male","11425","10950","38780","34700"
"In post","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Female","38815","36105","33150","28370"
"In post","2023","Unknown","Male","38170","37175","35250","30880"
"In post","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Female","199300","180905","35190","30410"
"In post","2023","White","Male","159030","153770","38320","34050"
"In post","2023","White","Unknown","5","5","[c]","[c]"
"Leaver CS","2023","Asian","Female","1455","[c]","32900","29290"
"Leaver CS","2023","Asian","Male","1310","[c]","34640","30190"
"Leaver CS","2023","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Female","1200","[c]","33050","31060"
"Leaver CS","2023","Black","Male","655","[c]","35160","32300"
"Leaver CS","2023","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Female","580","[c]","34240","29660"
"Leaver CS","2023","Mixed","Male","425","[c]","35850","31060"
"Leaver CS","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Female","175","[c]","34230","29290"
"Leaver CS","2023","Other ethnicity","Male","140","[c]","41620","32320"
"Leaver CS","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Female","640","[c]","32630","28120"
"Leaver CS","2023","Undeclared","Male","955","[c]","37370","33090"
"Leaver CS","2023","Unknown","Female","4880","[c]","32370","26910"
"Leaver CS","2023","Unknown","Male","4875","[c]","34630","28490"
"Leaver CS","2023","White","Female","15560","[c]","32990","28120"
"Leaver CS","2023","White","Male","13230","[c]","37240","31460"
"Leaver CS","2023","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","Female","760","[c]","36230","32520"
"Leaver Dept.","2023","Asian","Male","620","[c]","35310","32520"
"Leaver Dept.","2023","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Black","Female","410","[c]","33890","32520"
"Leaver Dept.","2023","Black","Male","205","[c]","34780","32020"
"Leaver Dept.","2023","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Mixed","Female","285","[c]","36990","33570"
"Leaver Dept.","2023","Mixed","Male","190","[c]","40150","35650"
"Leaver Dept.","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Other ethnicity","Female","60","[c]","37430","32520"
"Leaver Dept.","2023","Other ethnicity","Male","55","[c]","39850","36180"
"Leaver Dept.","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Female","190","[c]","33720","31130"
"Leaver Dept.","2023","Undeclared","Male","255","[c]","39720","35900"
"Leaver Dept.","2023","Unknown","Female","1815","[c]","36610","32000"
"Leaver Dept.","2023","Unknown","Male","1560","[c]","37860","33170"
"Leaver Dept.","2023","White","Female","5200","[c]","36940","32410"
"Leaver Dept.","2023","White","Male","3755","[c]","39540","34170"
"Leaver Dept.","2023","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Asian","Female","2005","[c]","29640","26400"
"New entrant CS","2023","Asian","Male","1825","[c]","30660","27320"
"New entrant CS","2023","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Black","Female","1040","[c]","30340","27640"
"New entrant CS","2023","Black","Male","785","[c]","31870","29000"
"New entrant CS","2023","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Mixed","Female","750","[c]","29470","26940"
"New entrant CS","2023","Mixed","Male","485","[c]","31990","28880"
"New entrant CS","2023","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Other ethnicity","Female","175","[c]","30470","27820"
"New entrant CS","2023","Other ethnicity","Male","150","[c]","32020","28880"
"New entrant CS","2023","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Female","230","[c]","30830","25920"
"New entrant CS","2023","Undeclared","Male","445","[c]","34420","29660"
"New entrant CS","2023","Unknown","Female","11230","[c]","27930","25480"
"New entrant CS","2023","Unknown","Male","10140","[c]","29230","25880"
"New entrant CS","2023","White","Female","15295","[c]","29850","26310"
"New entrant CS","2023","White","Male","12205","[c]","32130","28880"
