"Status","Year","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA/AO","Heterosexual / straight","235","215","23450","22500"
"In post","2023","Commercial","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","Undeclared","35","30","22840","22500"
"In post","2023","Commercial","AA/AO","Unknown","125","115","24210","22920"
"In post","2023","Commercial","EO","Heterosexual / straight","515","490","27870","27260"
"In post","2023","Commercial","EO","LGBO","40","40","27640","27470"
"In post","2023","Commercial","EO","Undeclared","60","55","28280","27650"
"In post","2023","Commercial","EO","Unknown","135","130","28270","27630"
"In post","2023","Commercial","G6/G7","Heterosexual / straight","1570","1535","64240","65360"
"In post","2023","Commercial","G6/G7","LGBO","80","80","62820","61480"
"In post","2023","Commercial","G6/G7","Undeclared","175","170","62130","59000"
"In post","2023","Commercial","G6/G7","Unknown","440","430","64130","65500"
"In post","2023","Commercial","SCS level","Heterosexual / straight","230","225","113370","107430"
"In post","2023","Commercial","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","Unknown","45","45","118750","115300"
"In post","2023","Commercial","SEO/HEO","Heterosexual / straight","2685","2595","38660","38470"
"In post","2023","Commercial","SEO/HEO","LGBO","150","145","38520","38120"
"In post","2023","Commercial","SEO/HEO","Undeclared","280","270","39630","40510"
"In post","2023","Commercial","SEO/HEO","Unknown","545","535","37420","37590"
"In post","2023","Commercial","Unknown","Heterosexual / straight","150","150","43120","42620"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Communications","AA/AO","Heterosexual / straight","120","115","23220","22500"
"In post","2023","Communications","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Communications","EO","Heterosexual / straight","355","335","28530","28070"
"In post","2023","Communications","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Communications","EO","Undeclared","55","50","28430","27740"
"In post","2023","Communications","EO","Unknown","75","75","28890","28610"
"In post","2023","Communications","G6/G7","Heterosexual / straight","720","695","59880","58510"
"In post","2023","Communications","G6/G7","LGBO","60","60","60640","59340"
"In post","2023","Communications","G6/G7","Undeclared","75","75","60510","59480"
"In post","2023","Communications","G6/G7","Unknown","205","200","59580","56870"
"In post","2023","Communications","SCS level","Heterosexual / straight","75","75","89270","84210"
"In post","2023","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","SEO/HEO","Heterosexual / straight","1465","1405","39200","39590"
"In post","2023","Communications","SEO/HEO","LGBO","145","140","39530","39690"
"In post","2023","Communications","SEO/HEO","Undeclared","150","145","39580","39690"
"In post","2023","Communications","SEO/HEO","Unknown","475","465","39170","39440"
"In post","2023","Communications","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","Heterosexual / straight","1085","955","23150","21690"
"In post","2023","Counter Fraud","AA/AO","LGBO","70","65","23080","21690"
"In post","2023","Counter Fraud","AA/AO","Undeclared","185","155","22900","21690"
"In post","2023","Counter Fraud","AA/AO","Unknown","275","230","23180","22520"
"In post","2023","Counter Fraud","EO","Heterosexual / straight","3380","3115","28960","28120"
"In post","2023","Counter Fraud","EO","LGBO","205","195","28940","28120"
"In post","2023","Counter Fraud","EO","Undeclared","380","345","28880","28120"
"In post","2023","Counter Fraud","EO","Unknown","945","850","29150","28120"
"In post","2023","Counter Fraud","G6/G7","Heterosexual / straight","235","225","62490","60220"
"In post","2023","Counter Fraud","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","Undeclared","35","35","62790","58930"
"In post","2023","Counter Fraud","G6/G7","Unknown","60","60","62400","62720"
"In post","2023","Counter Fraud","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","Heterosexual / straight","1815","1735","37190","35000"
"In post","2023","Counter Fraud","SEO/HEO","LGBO","120","120","37110","35000"
"In post","2023","Counter Fraud","SEO/HEO","Undeclared","215","205","37850","36010"
"In post","2023","Counter Fraud","SEO/HEO","Unknown","550","525","38120","37520"
"In post","2023","Digital, Data and Technology","AA/AO","Heterosexual / straight","390","375","23230","22220"
"In post","2023","Digital, Data and Technology","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","Undeclared","50","50","23120","22370"
