"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Female","150","135","23260","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Male","60","60","23450","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Female","180","160","28620","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Male","65","60","29180","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Female","60","55","71200","69610"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Male","30","30","75200","72490"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Female","270","240","57450","56450"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Male","155","150","57690","56450"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Female","75","70","34860","33810"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Male","40","40","34390","33100"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Female","55","55","40110","38940"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AO","Female","45","40","22320","21720"
"In post","2023","Declared disabled","Cabinet Office","AO","Male","35","35","22780","21780"
"In post","2023","Declared disabled","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Female","90","80","27200","27270"
"In post","2023","Declared disabled","Cabinet Office","EO","Male","45","40","27470","28370"
"In post","2023","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6","Female","55","50","70850","66670"
"In post","2023","Declared disabled","Cabinet Office","G6","Male","65","65","72300","67500"
"In post","2023","Declared disabled","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
