"Status","Year","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","Male","15","10","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","Female","40","30","21960","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Female","175","155","25990","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Male","120","120","25780","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","Female","30","30","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","350","320","36030","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","255","240","37500","35190"
"In post","2023","Animal and Plant Health Agency","AA/AO","Female","615","560","22900","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","Male","335","330","23100","22150"
"In post","2023","Animal and Plant Health Agency","EO","Female","490","465","27190","25920"
"In post","2023","Animal and Plant Health Agency","EO","Male","340","330","27350","26030"
"In post","2023","Animal and Plant Health Agency","G6/G7","Female","140","135","54280","54330"
"In post","2023","Animal and Plant Health Agency","G6/G7","Male","135","130","55700","54840"
"In post","2023","Animal and Plant Health Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","Female","595","560","35460","34960"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","Male","425","415","36090","37300"
"In post","2023","Animal and Plant Health Agency","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","EO","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","Female","55","55","56000","53500"
"In post","2023","Building Digital UK","G6/G7","Male","55","55","56290","53430"
"In post","2023","Building Digital UK","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","Female","35","35","34950","35040"
"In post","2023","Building Digital UK","SEO/HEO","Male","45","45","35500","35620"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","Female","230","205","22440","21720"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","Male","190","185","22760","21780"
"In post","2023","Cabinet Office (excl. agencies)","EO","Female","450","420","27230","27430"
"In post","2023","Cabinet Office (excl. agencies)","EO","Male","310","305","26900","27110"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","Female","1160","1120","58900","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","Male","1110","1095","59410","56430"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","Female","215","205","91900","81830"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","Male","245","240","98780","91750"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","Female","1110","1075","37520","36680"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","Male","905","895","37560","36510"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","Female","995","995","30680","30130"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","Male","665","665","30760","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","85","75","25960","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","65","60","26030","25940"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Female","50","50","51890","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Male","80","80","53240","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Female","180","170","33600","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Male","165","160","34150","31690"
"In post","2023","Charity Commission","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","EO","Female","75","75","25640","25300"
"In post","2023","Charity Commission","EO","Male","45","40","25840","25300"
"In post","2023","Charity Commission","G6/G7","Female","55","50","55960","52240"
"In post","2023","Charity Commission","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","Female","155","145","33930","30410"
"In post","2023","Charity Commission","SEO/HEO","Male","115","115","33880","30170"
"In post","2023","Companies House","AA/AO","Female","285","240","22610","23240"
"In post","2023","Companies House","AA/AO","Male","150","150","22620","23080"
"In post","2023","Companies House","EO","Female","160","145","27380","25700"
"In post","2023","Companies House","EO","Male","135","135","28870","28070"
"In post","2023","Companies House","G6/G7","Female","50","50","58820","58610"
"In post","2023","Companies House","G6/G7","Male","50","50","57700","55830"
"In post","2023","Companies House","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","Female","180","170","38760","39300"
"In post","2023","Companies House","SEO/HEO","Male","190","185","40450","40680"
"In post","2023","Competition and Markets Authority","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","Female","35","35","28560","28000"
"In post","2023","Competition and Markets Authority","EO","Male","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","Female","230","220","67240","66140"
"In post","2023","Competition and Markets Authority","G6/G7","Male","240","235","67590","66600"
"In post","2023","Competition and Markets Authority","SCS level","Female","55","50","109130","102320"
"In post","2023","Competition and Markets Authority","SCS level","Male","70","70","110250","102320"
"In post","2023","Competition and Markets Authority","SEO/HEO","Female","120","115","37830","35920"
"In post","2023","Competition and Markets Authority","SEO/HEO","Male","110","110","38700","35920"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","Female","75","65","21680","21780"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","Male","60","55","21590","21780"
"In post","2023","Criminal Injuries Compensation Authority","EO","Female","50","45","25940","25830"
"In post","2023","Criminal Injuries Compensation Authority","EO","Male","40","40","26050","25830"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","Female","50","45","32280","31270"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","Male","50","50","32970","31270"
"In post","2023","Crown Commercial Service","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Crown Commercial Service","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","EO","Female","55","50","26540","26410"
"In post","2023","Crown Commercial Service","EO","Male","40","40","26570","26410"
"In post","2023","Crown Commercial Service","G6/G7","Female","105","105","56070","53160"
"In post","2023","Crown Commercial Service","G6/G7","Male","85","85","57230","56060"
"In post","2023","Crown Commercial Service","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Crown Commercial Service","SEO/HEO","Female","240","230","36250","35150"
"In post","2023","Crown Commercial Service","SEO/HEO","Male","195","195","37300","40150"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","Female","565","505","24020","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","Male","215","205","23940","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","Female","305","290","30180","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","Male","100","100","30480","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","Female","520","480","62030","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","Male","220","220","61320","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","Female","340","320","37370","37940"
