"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","Westminster","15","15","37970","37510"
"In post","2023","Attorney General's Departments","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","York","10","10","43620","38940"
"In post","2023","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","Westminster","65","65","43150","40540"
"In post","2023","Attorney General's Departments","Communications","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","Westminster","10","10","47560","40360"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","Westminster","235","230","47500","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
