"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Female","60","60","32790","30130"
"In post","2023","Analysis","Cabinet Office","Male","75","75","34550","32960"
"In post","2023","Analysis","Chancellor's other departments","Female","80","70","68500","67430"
"In post","2023","Analysis","Chancellor's other departments","Male","135","130","69370","60700"
"In post","2023","Analysis","Charity Commission","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","50","45","64570","58050"
"In post","2023","Analysis","Competition and Markets Authority","Male","95","90","62420","57860"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Female","135","130","42620","37460"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Male","190","190","42620","37510"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Female","60","60","49810","54390"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Male","85","85","50150","53030"
"In post","2023","Analysis","Department for Education","Female","340","320","45690","43690"
"In post","2023","Analysis","Department for Education","Male","260","255","47480","46600"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Female","255","235","33490","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Male","290","285","37210","31690"
"In post","2023","Analysis","Department for International Trade","Female","105","100","46660","41550"
"In post","2023","Analysis","Department for International Trade","Male","155","150","50210","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Female","110","105","47060","47230"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Male","160","160","48420","49700"
"In post","2023","Analysis","Department for Transport","Female","190","180","47420","43750"
"In post","2023","Analysis","Department for Transport","Male","225","220","47720","47420"
"In post","2023","Analysis","Department for Work and Pensions","Female","330","300","45280","40120"
"In post","2023","Analysis","Department for Work and Pensions","Male","355","345","45380","39150"
"In post","2023","Analysis","Department of Health and Social Care","Female","125","120","44580","41480"
"In post","2023","Analysis","Department of Health and Social Care","Male","115","115","46920","43240"
"In post","2023","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Female","355","335","48930","45170"
"In post","2023","Analysis","HM Revenue and Customs","Male","480","470","48880","44930"
"In post","2023","Analysis","HM Treasury","Female","95","90","44550","40860"
"In post","2023","Analysis","HM Treasury","Male","135","135","47690","43320"
"In post","2023","Analysis","Home Office","Female","285","270","44350","43000"
"In post","2023","Analysis","Home Office","Male","295","290","46750","43420"
"In post","2023","Analysis","Ministry of Defence","Female","420","400","42160","39890"
"In post","2023","Analysis","Ministry of Defence","Male","950","930","44870","44460"
"In post","2023","Analysis","Ministry of Justice","Female","385","370","46960","43650"
"In post","2023","Analysis","Ministry of Justice","Male","375","370","45960","43650"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","90","80","42730","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","85","80","42660","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","55","55","44760","38070"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","110","110","48950","46250"
"In post","2023","Analysis","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Male","40","40","54760","53410"
"In post","2023","Analysis","Scottish Government","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Male","10","10","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Female","1090","1025","39100","37760"
"In post","2023","Analysis","UK Statistics Authority","Male","825","805","40160","37760"
"In post","2023","Analysis","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Male","30","30","61260","52660"
"In post","2023","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","Female","30","25","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","Female","1065","1040","60550","56430"
"In post","2023","Commercial","Cabinet Office","Male","1060","1055","68200","65500"
"In post","2023","Commercial","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","Female","130","120","42060","41360"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","Male","100","100","45620","46540"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Department for Education","Female","155","155","42860","39090"
"In post","2023","Commercial","Department for Education","Male","135","130","44670","41590"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","Female","155","145","35370","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","Male","90","90","39900","37300"
"In post","2023","Commercial","Department for International Trade","Female","25","25","[c]","[c]"
