"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","G6","15","15","69030","66700"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","G7","45","45","56810","55720"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","HEO","60","55","34590","35410"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","SEO","55","50","42780","43650"
"In post","2023","Analysis","Economics","AA/AO","AO","60","60","23030","22520"
"In post","2023","Analysis","Economics","EO","EO","170","165","27780","28510"
"In post","2023","Analysis","Economics","G6/G7","G6","205","195","71670","70210"
"In post","2023","Analysis","Economics","G6/G7","G7","550","535","57420","55740"
"In post","2023","Analysis","Economics","SCS level","SCS level","85","80","92190","84240"
"In post","2023","Analysis","Economics","SEO/HEO","HEO","560","555","35340","35000"
"In post","2023","Analysis","Economics","SEO/HEO","SEO","175","175","43320","43650"
"In post","2023","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO/HEO","HEO","15","10","35440","34850"
"In post","2023","Analysis","Finance","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
