"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Female","210","195","38680","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Male","110","110","37690","31490"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","130","115","37140","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","50","50","43320","51270"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Female","140","120","42130","32660"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Male","55","55","52010","55170"
"In post","2023","Attorney General's Departments","East of England","East Anglia","Female","105","90","34250","28850"
"In post","2023","Attorney General's Departments","East of England","East Anglia","Male","50","45","45560","49050"
"In post","2023","Attorney General's Departments","East of England","Essex","Female","165","150","42260","38460"
"In post","2023","Attorney General's Departments","East of England","Essex","Male","50","45","45160","38660"
"In post","2023","Attorney General's Departments","London","Inner London - East","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - West","Female","3040","2810","50900","52790"
"In post","2023","Attorney General's Departments","London","Inner London - West","Male","1670","1635","52260","52790"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - South","Female","40","35","39060","32660"
"In post","2023","Attorney General's Departments","London","Outer London - South","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","Female","185","165","35740","28850"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","Male","100","95","45760","49050"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","Female","80","70","39220","31590"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","Male","35","30","41650","38760"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","Female","270","250","39490","32130"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","Male","130","125","44750","49050"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","Female","130","120","39420","35000"
