"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA/AO","AA","70","60","22760","23000"
"In post","2023","Declared disabled","Asian","AA/AO","AO","865","750","23680","22500"
"In post","2023","Declared disabled","Asian","EO","EO","1200","1090","29550","28130"
"In post","2023","Declared disabled","Asian","G6/G7","G6","75","75","71560","70920"
"In post","2023","Declared disabled","Asian","G6/G7","G7","265","255","57000","56080"
"In post","2023","Declared disabled","Asian","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO/HEO","HEO","585","560","35510","35000"
"In post","2023","Declared disabled","Asian","SEO/HEO","SEO","375","365","42910","42510"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","165","155","30820","29050"
"In post","2023","Declared disabled","Black","AA/AO","AA","60","55","23900","23500"
"In post","2023","Declared disabled","Black","AA/AO","AO","435","390","25400","25480"
"In post","2023","Declared disabled","Black","EO","EO","750","695","30630","30930"
"In post","2023","Declared disabled","Black","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","G6/G7","G7","155","150","57770","55900"
"In post","2023","Declared disabled","Black","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO/HEO","HEO","305","295","36130","36070"
"In post","2023","Declared disabled","Black","SEO/HEO","SEO","195","190","43830","43420"
"In post","2023","Declared disabled","Black","Unknown","Unknown","305","295","33510","30840"
"In post","2023","Declared disabled","Mixed","AA/AO","AA","35","30","22580","23000"
"In post","2023","Declared disabled","Mixed","AA/AO","AO","315","285","24250","22450"
"In post","2023","Declared disabled","Mixed","EO","EO","430","400","29350","28120"
"In post","2023","Declared disabled","Mixed","G6/G7","G6","50","45","70290","68370"
"In post","2023","Declared disabled","Mixed","G6/G7","G7","155","150","56940","55690"
"In post","2023","Declared disabled","Mixed","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO/HEO","HEO","290","280","34800","34470"
"In post","2023","Declared disabled","Mixed","SEO/HEO","SEO","155","150","42790","42040"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","170","160","31930","29210"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","AO","60","55","24840","23280"
"In post","2023","Declared disabled","Other ethnicity","EO","EO","110","105","29800","29000"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","G7","50","45","55440","55350"
