"Status","Year","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","10590","10080","43060","37670"
"In post","2023","Declared disabled","Outside London","49900","45485","31920","28120"
"In post","2023","Declared disabled","Overseas","185","185","49120","44760"
"In post","2023","Declared disabled","Unknown","120","110","34170","28120"
"In post","2023","Declared non-disabled","London","63450","60820","46440","41480"
"In post","2023","Declared non-disabled","Outside London","258205","240200","34130","29730"
"In post","2023","Declared non-disabled","Overseas","1950","1945","51790","48980"
"In post","2023","Declared non-disabled","Unknown","590","560","35920","28880"
"In post","2023","Undeclared","London","5890","5645","46260","41120"
"In post","2023","Undeclared","Outside London","21835","20230","34120","31350"
"In post","2023","Undeclared","Overseas","140","140","54080","53970"
"In post","2023","Undeclared","Unknown","50","50","34730","31200"
"In post","2023","Unknown","London","23810","23240","44340","39790"
"In post","2023","Unknown","Outside London","79880","75805","32570","28130"
"In post","2023","Unknown","Overseas","1235","1230","56510","55830"
"In post","2023","Unknown","Unknown","1955","1935","41280","39260"
"Leaver CS","2023","Declared disabled","London","905","[c]","41650","34020"
"Leaver CS","2023","Declared disabled","Outside London","4120","[c]","29730","27570"
"Leaver CS","2023","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","London","5790","[c]","43810","37410"
"Leaver CS","2023","Declared non-disabled","Outside London","20390","[c]","31810","27570"
"Leaver CS","2023","Declared non-disabled","Overseas","40","[c]","52370","43750"
"Leaver CS","2023","Declared non-disabled","Unknown","70","[c]","32420","28120"
"Leaver CS","2023","Undeclared","London","535","[c]","44020","37900"
"Leaver CS","2023","Undeclared","Outside London","1850","[c]","32170","27570"
"Leaver CS","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","3310","[c]","42040","35410"
"Leaver CS","2023","Unknown","Outside London","8610","[c]","31830","26880"
"Leaver CS","2023","Unknown","Overseas","105","[c]","49480","48610"
"Leaver CS","2023","Unknown","Unknown","335","[c]","36560","32700"
"Leaver Dept.","2023","Declared disabled","London","550","[c]","42850","37790"
"Leaver Dept.","2023","Declared disabled","Outside London","905","[c]","31230","28120"
"Leaver Dept.","2023","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","London","3415","[c]","45340","40050"
"Leaver Dept.","2023","Declared non-disabled","Outside London","5365","[c]","32300","28120"
"Leaver Dept.","2023","Declared non-disabled","Overseas","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","45","[c]","34080","32520"
"Leaver Dept.","2023","Undeclared","London","270","[c]","44900","41160"
"Leaver Dept.","2023","Undeclared","Outside London","420","[c]","31990","28120"
"Leaver Dept.","2023","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","2285","[c]","41340","35410"
"Leaver Dept.","2023","Unknown","Outside London","1935","[c]","33400","30650"
"Leaver Dept.","2023","Unknown","Overseas","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","100","[c]","33500","32000"
"New entrant CS","2023","Declared disabled","London","615","[c]","35180","31140"
"New entrant CS","2023","Declared disabled","Outside London","3165","[c]","27870","24070"
"New entrant CS","2023","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","London","3575","[c]","38230","33850"
"New entrant CS","2023","Declared non-disabled","Outside London","19625","[c]","29420","25920"
"New entrant CS","2023","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Unknown","70","[c]","31510","28880"
"New entrant CS","2023","Undeclared","London","245","[c]","35770","33630"
"New entrant CS","2023","Undeclared","Outside London","930","[c]","28300","24430"
"New entrant CS","2023","Undeclared","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","5315","[c]","34610","29750"
"New entrant CS","2023","Unknown","Outside London","22860","[c]","28220","25750"
"New entrant CS","2023","Unknown","Overseas","65","[c]","48990","45690"
"New entrant CS","2023","Unknown","Unknown","270","[c]","25080","22400"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
