"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","AA/AO","75","75","24630","23500"
"In post","2023","Analysis","London","EO","355","350","29790","29660"
"In post","2023","Analysis","London","G6/G7","1770","1700","63720","61260"
"In post","2023","Analysis","London","SCS level","165","155","91420","83400"
"In post","2023","Analysis","London","SEO/HEO","2055","2020","39730","39150"
"In post","2023","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","160","155","22140","22150"
"In post","2023","Analysis","Outside London","EO","555","525","26480","25970"
"In post","2023","Analysis","Outside London","G6/G7","1725","1640","56030","53190"
"In post","2023","Analysis","Outside London","SCS level","50","50","82330","75640"
"In post","2023","Analysis","Outside London","SEO/HEO","3405","3285","36130","37270"
"In post","2023","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","35","35","24520","23850"
"In post","2023","Commercial","London","EO","120","115","30320","30120"
"In post","2023","Commercial","London","G6/G7","850","840","65820","65500"
"In post","2023","Commercial","London","SCS level","160","160","121540","117940"
"In post","2023","Commercial","London","SEO/HEO","640","630","39940","41060"
"In post","2023","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA/AO","320","300","23530","22500"
"In post","2023","Commercial","Outside London","EO","620","590","27240","27080"
"In post","2023","Commercial","Outside London","G6/G7","1520","1475","61810","58820"
"In post","2023","Commercial","Outside London","SCS level","130","130","107500","101040"
"In post","2023","Commercial","Outside London","SEO/HEO","2675","2590","37620","37680"
"In post","2023","Commercial","Outside London","Unknown","165","160","42980","42620"
"In post","2023","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA/AO","45","45","25580","25610"
"In post","2023","Communications","London","EO","195","190","30430","30110"
"In post","2023","Communications","London","G6/G7","725","705","61380","59290"
"In post","2023","Communications","London","SCS level","115","115","93510","86850"
"In post","2023","Communications","London","SEO/HEO","1115","1100","41070","41440"
"In post","2023","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA/AO","130","120","22480","22220"
"In post","2023","Communications","Outside London","EO","325","300","27750","27470"
"In post","2023","Communications","Outside London","G6/G7","345","335","56870","55360"
"In post","2023","Communications","Outside London","SCS level","20","15","78880","78740"
"In post","2023","Communications","Outside London","SEO/HEO","1110","1055","37210","37370"
"In post","2023","Communications","Outside London","Unknown","20","20","37080","33340"
"In post","2023","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA/AO","450","400","25670","25610"
"In post","2023","Counter Fraud","London","EO","1345","1280","32480","32520"
"In post","2023","Counter Fraud","London","G6/G7","385","370","66480","65230"
"In post","2023","Counter Fraud","London","SCS level","25","25","92890","84160"
"In post","2023","Counter Fraud","London","SEO/HEO","1405","1360","41400","39790"
"In post","2023","Counter Fraud","Outside London","AA/AO","1830","1585","22570","22520"
"In post","2023","Counter Fraud","Outside London","EO","6090","5585","28420","28120"
"In post","2023","Counter Fraud","Outside London","G6/G7","900","855","60240","57970"
"In post","2023","Counter Fraud","Outside London","SCS level","25","20","80020","78250"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","4670","4440","36840","35000"
"In post","2023","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","10","10","34800","33020"
"In post","2023","Debt","London","AA/AO","435","390","26740","26920"
"In post","2023","Debt","London","EO","155","140","32710","32540"
"In post","2023","Debt","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Debt","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","SEO/HEO","35","35","42610","42060"
"In post","2023","Debt","Outside London","AA/AO","5495","4905","22270","22520"
"In post","2023","Debt","Outside London","EO","1215","1115","28330","28120"
"In post","2023","Debt","Outside London","G6/G7","40","40","60410","57970"
"In post","2023","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Outside London","SEO/HEO","365","340","36510","35000"
"In post","2023","Debt","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","AA/AO","105","100","26090","26560"
"In post","2023","Digital, Data & Technology","London","EO","570","555","30740","30160"
"In post","2023","Digital, Data & Technology","London","G6/G7","2235","2195","62640","60980"
"In post","2023","Digital, Data & Technology","London","SCS level","170","170","100540","93690"
"In post","2023","Digital, Data & Technology","London","SEO/HEO","2480","2440","40840","41400"
"In post","2023","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","AA/AO","780","750","22340","22220"
"In post","2023","Digital, Data & Technology","Outside London","EO","3395","3235","28060","27960"
"In post","2023","Digital, Data & Technology","Outside London","G6/G7","5445","5325","57790","56250"
"In post","2023","Digital, Data & Technology","Outside London","SCS level","220","220","93560","87880"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","10740","10435","38130","37790"
"In post","2023","Digital, Data & Technology","Outside London","Unknown","95","95","36720","33580"
"In post","2023","Digital, Data & Technology","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","EO","20","20","40170","36470"
"In post","2023","Digital, Data & Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","SEO/HEO","50","50","40130","39550"
"In post","2023","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","EO","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","G6/G7","15","15","61520","58550"
"In post","2023","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SEO/HEO","10","10","37950","38470"
"In post","2023","Finance","London","AA/AO","120","110","26240","26810"
"In post","2023","Finance","London","EO","375","360","30900","31020"
"In post","2023","Finance","London","G6/G7","1115","1090","63860","62310"
"In post","2023","Finance","London","SCS level","185","180","92150","84200"
"In post","2023","Finance","London","SEO/HEO","1360","1330","41250","41230"
