"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA/AO","Heterosexual / straight","765","670","23680","22520"
"In post","2023","Declared disabled","Asian","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","AA/AO","Undeclared","70","60","23320","21780"
"In post","2023","Declared disabled","Asian","AA/AO","Unknown","80","60","23240","22520"
"In post","2023","Declared disabled","Asian","EO","Heterosexual / straight","1020","930","29560","28130"
"In post","2023","Declared disabled","Asian","EO","LGBO","35","35","29490","28130"
"In post","2023","Declared disabled","Asian","EO","Undeclared","80","70","29520","28120"
"In post","2023","Declared disabled","Asian","EO","Unknown","65","55","29430","28120"
"In post","2023","Declared disabled","Asian","G6/G7","Heterosexual / straight","300","290","60450","58870"
"In post","2023","Declared disabled","Asian","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO/HEO","Heterosexual / straight","790","760","38600","37960"
"In post","2023","Declared disabled","Asian","SEO/HEO","LGBO","45","45","38870","38920"
"In post","2023","Declared disabled","Asian","SEO/HEO","Undeclared","50","45","38020","37300"
"In post","2023","Declared disabled","Asian","SEO/HEO","Unknown","70","70","36160","34850"
"In post","2023","Declared disabled","Asian","Unknown","Heterosexual / straight","155","145","30730","29050"
"In post","2023","Declared disabled","Asian","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AA/AO","Heterosexual / straight","405","365","25220","25480"
"In post","2023","Declared disabled","Black","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","AA/AO","Undeclared","50","45","25340","25340"
"In post","2023","Declared disabled","Black","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Heterosexual / straight","640","595","30610","30930"
"In post","2023","Declared disabled","Black","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Undeclared","40","35","30370","30070"
"In post","2023","Declared disabled","Black","EO","Unknown","45","40","31250","32520"
"In post","2023","Declared disabled","Black","G6/G7","Heterosexual / straight","145","140","59330","56430"
"In post","2023","Declared disabled","Black","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
