"Status","Year","Disability","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Female","815","745","43400","38760"
"In post","2023","Declared disabled","Attorney General's Departments","Male","390","375","46180","49050"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Female","805","780","42120","35600"
"In post","2023","Declared disabled","Cabinet Office","Male","585","580","48450","41410"
"In post","2023","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","835","780","40260","37420"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","610","595","41800","39650"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Female","110","110","48860","52370"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Male","75","75","45450","39600"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Female","535","500","43990","38210"
"In post","2023","Declared disabled","Department for Education","Male","295","295","44040","38210"
"In post","2023","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Female","1110","1035","34630","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Male","690","675","36120","31930"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Female","145","145","46550","41670"
"In post","2023","Declared disabled","Department for International Trade","Male","125","125","46920","41550"
"In post","2023","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Female","255","250","43670","39260"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Male","195","195","46110","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Female","785","660","29430","22500"
"In post","2023","Declared disabled","Department for Transport","Male","650","605","33160","27490"
"In post","2023","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","Female","11740","9965","28600","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Male","5655","5285","29290","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Female","335","320","44870","41910"
"In post","2023","Declared disabled","Department of Health and Social Care","Male","165","165","48870","41950"
"In post","2023","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Female","75","70","41020","38670"
"In post","2023","Declared disabled","Food Standards Agency","Male","70","70","38590","35180"
"In post","2023","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Female","315","305","45550","40410"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Male","315","310","47180","40950"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","Female","445","390","30580","28080"
"In post","2023","Declared disabled","HM Land Registry","Male","245","225","31970","28080"
"In post","2023","Declared disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs","Female","3815","3380","34510","31540"
"In post","2023","Declared disabled","HM Revenue and Customs","Male","2865","2700","35770","34400"
"In post","2023","Declared disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Female","165","160","44260","39200"
"In post","2023","Declared disabled","HM Treasury","Male","100","100","49690","51000"
"In post","2023","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Female","1765","1605","33610","29890"
"In post","2023","Declared disabled","Home Office","Male","1460","1385","34380","29750"
"In post","2023","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Female","2680","2535","35090","32930"
"In post","2023","Declared disabled","Ministry of Defence","Male","3130","3050","37560","34300"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","Female","7835","7210","30910","28880"
"In post","2023","Declared disabled","Ministry of Justice","Male","4480","4240","32920","31270"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Female","140","135","39730","38640"
"In post","2023","Declared disabled","National Crime Agency","Male","140","135","42260","40280"
"In post","2023","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Female","120","115","47430","50020"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Male","50","50","49270","39790"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Female","65","60","40200","35000"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Male","65","65","38350","33400"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Female","30","30","41090","37900"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
