"Status","Year","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","Heterosexual / straight","1115","1090","60730","56000"
"In post","2023","Commercial","London","LGBO","75","75","58510","56000"
"In post","2023","Commercial","London","Undeclared","135","130","57090","55770"
"In post","2023","Commercial","London","Unknown","385","380","52900","48460"
"In post","2023","Commercial","Outside London","Heterosexual / straight","4245","4090","44170","39840"
"In post","2023","Commercial","Outside London","LGBO","225","225","39980","37340"
"In post","2023","Commercial","Outside London","Undeclared","440","420","42120","40690"
"In post","2023","Commercial","Outside London","Unknown","920","895","44650","39440"
"In post","2023","Commercial","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Heterosexual / straight","1225","1195","49810","46110"
"In post","2023","Communications","London","LGBO","145","145","47370","44520"
"In post","2023","Communications","London","Undeclared","135","135","49150","45250"
"In post","2023","Communications","London","Unknown","490","485","47890","43750"
"In post","2023","Communications","Outside London","Heterosexual / straight","1525","1450","39090","37590"
"In post","2023","Communications","Outside London","LGBO","100","100","37180","34460"
"In post","2023","Communications","Outside London","Undeclared","170","160","37710","34330"
"In post","2023","Communications","Outside London","Unknown","310","300","38800","37140"
"In post","2023","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Heterosexual / straight","40","40","55680","54180"
"In post","2023","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Unknown","30","25","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","Heterosexual / straight","1290","1225","37250","32520"
"In post","2023","Counter Fraud","London","LGBO","70","70","36050","32530"
"In post","2023","Counter Fraud","London","Undeclared","170","155","38020","34370"
"In post","2023","Counter Fraud","London","Unknown","440","415","36740","32540"
"In post","2023","Counter Fraud","Outside London","Heterosexual / straight","5235","4820","30240","28120"
"In post","2023","Counter Fraud","Outside London","LGBO","335","325","30390","28120"
"In post","2023","Counter Fraud","Outside London","Undeclared","650","585","29690","28120"
"In post","2023","Counter Fraud","Outside London","Unknown","1395","1255","30830","28120"
"In post","2023","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","Heterosexual / straight","3320","3260","52550","51950"
"In post","2023","Digital, Data and Technology","London","LGBO","315","315","52630","54690"
"In post","2023","Digital, Data and Technology","London","Undeclared","460","450","51700","50180"
"In post","2023","Digital, Data and Technology","London","Unknown","1210","1190","48660","43650"
"In post","2023","Digital, Data and Technology","Outside London","Heterosexual / straight","12040","11690","42690","39460"
"In post","2023","Digital, Data and Technology","Outside London","LGBO","765","750","39930","37300"
"In post","2023","Digital, Data and Technology","Outside London","Undeclared","1645","1600","42180","39460"
"In post","2023","Digital, Data and Technology","Outside London","Unknown","3330","3245","41920","38470"
"In post","2023","Digital, Data and Technology","Overseas","Heterosexual / straight","30","30","45170","43730"
"In post","2023","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Economics","London","Heterosexual / straight","1085","1060","52440","54780"
"In post","2023","Economics","London","LGBO","110","110","49630","46600"
"In post","2023","Economics","London","Undeclared","120","120","53870","55410"
"In post","2023","Economics","London","Unknown","290","290","48590","43320"
"In post","2023","Economics","Outside London","Heterosexual / straight","380","370","42950","37690"
"In post","2023","Economics","Outside London","LGBO","40","40","38100","34800"
"In post","2023","Economics","Outside London","Undeclared","50","50","40340","34670"
"In post","2023","Economics","Outside London","Unknown","80","80","41740","35330"
"In post","2023","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","London","Heterosexual / straight","1870","1820","51920","47220"
"In post","2023","Finance","London","LGBO","95","95","49860","46380"
"In post","2023","Finance","London","Undeclared","220","215","49980","46300"
"In post","2023","Finance","London","Unknown","450","440","48790","43750"
"In post","2023","Finance","Outside London","Heterosexual / straight","5660","5395","40550","37590"
"In post","2023","Finance","Outside London","LGBO","230","225","38980","34450"
"In post","2023","Finance","Outside London","Undeclared","605","570","40150","36920"
"In post","2023","Finance","Outside London","Unknown","1035","985","37130","34170"
"In post","2023","Finance","Overseas","Heterosexual / straight","35","35","47870","45780"
"In post","2023","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2023","Finance","Overseas","Unknown","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Geography","Outside London","Heterosexual / straight","305","290","34140","34370"
"In post","2023","Geography","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Geography","Outside London","Undeclared","35","30","33760","34370"
"In post","2023","Geography","Outside London","Unknown","125","120","30410","28070"
"In post","2023","Human Resources","London","Heterosexual / straight","2205","2125","49170","43760"
"In post","2023","Human Resources","London","LGBO","180","180","51320","49960"
"In post","2023","Human Resources","London","Undeclared","205","200","46880","43650"
"In post","2023","Human Resources","London","Unknown","360","350","45280","40810"
"In post","2023","Human Resources","Outside London","Heterosexual / straight","7505","7155","37330","34300"
"In post","2023","Human Resources","Outside London","LGBO","405","395","37210","34170"
"In post","2023","Human Resources","Outside London","Undeclared","725","695","35310","33770"
"In post","2023","Human Resources","Outside London","Unknown","1150","1100","34580","31970"
"In post","2023","Human Resources","Overseas","Heterosexual / straight","60","60","51720","43690"
"In post","2023","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Overseas","Unknown","175","170","58850","58220"
"In post","2023","Human Resources","Unknown","Heterosexual / straight","20","20","[c]","[c]"
