"Status","Year","Disability","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Economics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Commercial","35","35","49320","43300"
"In post","2023","Declared disabled","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Other","[c]","[c]","[c]","[c]"
