"Status","Year","Profession_of_post","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","EO","20","15","27920","28120"
"In post","2023","Commercial","East Midlands (England)","Outside London","G6","15","15","75130","74320"
"In post","2023","Commercial","East Midlands (England)","Outside London","G7","30","30","57760","56000"
"In post","2023","Commercial","East Midlands (England)","Outside London","HEO","25","25","33170","32820"
"In post","2023","Commercial","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","SEO","50","50","43180","42360"
"In post","2023","Commercial","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","EO","20","20","27300","27470"
"In post","2023","Commercial","East of England","Outside London","G6","20","20","76870","73970"
"In post","2023","Commercial","East of England","Outside London","G7","45","45","61520","64170"
"In post","2023","Commercial","East of England","Outside London","HEO","65","60","33610","33470"
"In post","2023","Commercial","East of England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","SEO","100","95","42270","41000"
"In post","2023","Commercial","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","London","AO","50","50","25510","25200"
"In post","2023","Commercial","London","London","EO","115","110","30780","30950"
"In post","2023","Commercial","London","London","G6","275","275","75870","72500"
"In post","2023","Commercial","London","London","G7","485","475","61150","58280"
"In post","2023","Commercial","London","London","HEO","290","285","35250","35410"
"In post","2023","Commercial","London","London","SCS level","165","160","120850","117940"
"In post","2023","Commercial","London","London","SEO","325","315","44910","43750"
"In post","2023","Commercial","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","EO","20","15","27360","26080"
"In post","2023","Commercial","North East (England)","Outside London","G6","10","10","74190","72510"
"In post","2023","Commercial","North East (England)","Outside London","G7","45","45","58660","56000"
"In post","2023","Commercial","North East (England)","Outside London","HEO","45","40","32670","33020"
"In post","2023","Commercial","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","SEO","60","60","40860","39090"
"In post","2023","Commercial","North West (England)","Outside London","AO","30","25","22180","21690"
"In post","2023","Commercial","North West (England)","Outside London","EO","85","80","27500","27650"
"In post","2023","Commercial","North West (England)","Outside London","G6","85","85","73440","69940"
"In post","2023","Commercial","North West (England)","Outside London","G7","185","180","59560","56000"
"In post","2023","Commercial","North West (England)","Outside London","HEO","205","200","33000","33070"
"In post","2023","Commercial","North West (England)","Outside London","SCS level","20","20","96060","87160"
"In post","2023","Commercial","North West (England)","Outside London","SEO","310","300","40610","39860"
"In post","2023","Commercial","North West (England)","Outside London","Unknown","20","20","40760","42250"
"In post","2023","Commercial","Northern Ireland","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","SEO","10","10","68790","69790"
"In post","2023","Commercial","Scotland","Outside London","AA","15","15","23870","22920"
"In post","2023","Commercial","Scotland","Outside London","AO","40","40","26900","28490"
"In post","2023","Commercial","Scotland","Outside London","EO","55","55","29130","27140"
"In post","2023","Commercial","Scotland","Outside London","G6","25","25","77670","78140"
"In post","2023","Commercial","Scotland","Outside London","G7","65","65","59550","56630"
"In post","2023","Commercial","Scotland","Outside London","HEO","90","90","35250","34170"
"In post","2023","Commercial","Scotland","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Outside London","SEO","75","75","42930","42700"
"In post","2023","Commercial","Scotland","Outside London","Unknown","15","10","38040","33690"
"In post","2023","Commercial","South East (England)","Outside London","AO","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Outside London","EO","105","100","27620","27470"
"In post","2023","Commercial","South East (England)","Outside London","G6","35","35","77320","74000"
"In post","2023","Commercial","South East (England)","Outside London","G7","85","85","58990","58140"
"In post","2023","Commercial","South East (England)","Outside London","HEO","130","125","34180","34300"
"In post","2023","Commercial","South East (England)","Outside London","SCS level","10","10","112380","112720"
"In post","2023","Commercial","South East (England)","Outside London","SEO","180","175","43130","42700"
"In post","2023","Commercial","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Outside London","AO","135","130","23540","22320"
"In post","2023","Commercial","South West (England)","Outside London","EO","135","130","26860","27080"
"In post","2023","Commercial","South West (England)","Outside London","G6","125","120","72180","70710"
"In post","2023","Commercial","South West (England)","Outside London","G7","280","275","55030","55470"
"In post","2023","Commercial","South West (England)","Outside London","HEO","400","380","33400","33830"
"In post","2023","Commercial","South West (England)","Outside London","SCS level","45","45","106840","99300"
"In post","2023","Commercial","South West (England)","Outside London","SEO","485","465","42130","42620"
"In post","2023","Commercial","South West (England)","Outside London","Unknown","140","140","43740","42620"
"In post","2023","Commercial","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","SEO","[c]","[c]","[c]","[c]"
